client_id,street,city,zip,site_client_id,location_id,address,table_name
Papa Bear,5260 Calhoun Memorial Hwy,Easley,29640,1094,3,"Papa Bear, 5260 Calhoun Memorial Hwy, Easley, SC, 29640",q4_new_car_wash_papa_bear
Century Car Wash,620 W Service Rd,West Memphis,72301,278,7,"Century Car Wash, 620 W Service Rd, West Memphis, AR, 72301",q4_new_car_wash_century_car_wash
Bubble Down,10737 Big Bend Rd,Riverview,33579,240,4,"Bubble Down, 10737 Big Bend Rd, Riverview, FL, 33579",q4_new_car_wash_bubble_down
Mountain Express,821 Shepherd St,Hendersonville,28792,1039,1,"Mountain Express, 821 Shepherd St, Hendersonville, NC, 28792",q4_new_car_wash_mountain_express
Jet Express Franklin,1121 Georgia Rd,Franklin,28734,645,1,"Jet Express Franklin, 1121 Georgia Rd, Franklin, NC, 28734",q4_new_car_wash_jet_express_franklin
Riptide,3711 E Franklin Blvd,Gastonia,28056,1155,5,"Riptide, 3711 E Franklin Blvd, Gastonia, NC, 28056",q4_new_car_wash_riptide
Heroes Car Wash,1370 NW Maynard Rd,Cary,27513,626,9,"Heroes Car Wash, 1370 NW Maynard Rd, Cary, NC, 27513",q4_new_car_wash_heroes_car_wash
Haffners,69 Parker St,Lawrence,1843,599,1,"Haffners, 69 Parker St, Lawrence, MA, 1843",q4_new_car_wash_haffners
V Express Car Wash,479 Lexington Rd,Versailles,40383,1495,1,"V Express Car Wash, 479 Lexington Rd, Versailles, KY, 40383",q4_new_car_wash_v_express_car_wash
Waters Car Wash,2755 10th Ave N,Palm Springs,33461,1594,3,"Waters Car Wash, 2755 10th Ave N, Palm Springs, FL, 33461",q4_new_car_wash_waters_car_wash
Sunny Daze Car Wash,609 N Mayo Trl,Paintsville,41240,1364,1,"Sunny Daze Car Wash, 609 N Mayo Trl, Paintsville, KY, 41240",q4_new_car_wash_sunny_daze_car_wash
Carroll Clean Car Wash,11260 Dolfield Blvd,Owings Mills,21117,274,1,"Carroll Clean Car Wash, 11260 Dolfield Blvd, Owings Mills, MD, 21117",q4_new_car_wash_carroll_clean_car_wash
Squeaky Clean Car Wash 2,3931 Cerrillos Rd,Santa Fe,87507,1321,1,"Squeaky Clean Car Wash 2, 3931 Cerrillos Rd, Santa Fe, NM, 87507",q4_new_car_wash_squeaky_clean_car_wash_2
Blue Iguana,2118 E Kearney St,Springfield,65803,93,4,"Blue Iguana, 2118 E Kearney St, Springfield, MO, 65803",q4_new_car_wash_blue_iguana
Roadrunner,811 S Rochester St,Mukwonago,53149,1181,1,"Roadrunner, 811 S Rochester St, Mukwonago, WI, 53149",q4_new_car_wash_roadrunner
Zips Express Car Wash,2907 Eagle Dr,Woodstock,30189,1657,1,"Zips Express Car Wash, 2907 Eagle Dr, Woodstock, GA, 30189",q4_new_car_wash_zips_express_car_wash
Blue Iguana,4304 S Fremont Ave,Springfield,65804,91,5,"Blue Iguana, 4304 S Fremont Ave, Springfield, MO, 65804",q4_new_car_wash_blue_iguana
Woodies,3401 34th St S,St. Petersburg,33711,1623,3,"Woodies, 3401 34th St S, St. Petersburg, FL, 33711",q4_new_car_wash_woodies
Clean,1020 Pear Drive,Huntsville,77320,316,2,"Clean, 1020 Pear Drive, Huntsville, TX, 77320",q4_new_car_wash_clean
JJscarwash,404 FM 517 W,Dickinson,77539,651,4,"JJscarwash, 404 FM 517 W, Dickinson, TX, 77539",q4_new_car_wash_jjscarwash
Mr Clean Car Wash,1382 Pleasant Hill Rd,Lawrenceville,30044,1060,13,"Mr Clean Car Wash, 1382 Pleasant Hill Rd, Lawrenceville, GA, 30044",q4_new_car_wash_mr_clean_car_wash
Haffners,1150 Bridge St,Lowell,1850,603,7,"Haffners, 1150 Bridge St, Lowell, MA, 1850",q4_new_car_wash_haffners
Seaway Car Wash,142 Heineberg Drive,Colchester,5446,1227,2,"Seaway Car Wash, 142 Heineberg Drive, Colchester, VT, 5446",q4_new_car_wash_seaway_car_wash
FoamWorks Express,4780 Riverside Dr.,Macon,31201,513,7,"FoamWorks Express, 4780 Riverside Dr., Macon, GA, 31201",q4_new_car_wash_foamworks_express
Elks Edge,547 CC Camp Rd,Elkin,28621,465,1,"Elks Edge, 547 CC Camp Rd, Elkin, NC, 28621",q4_new_car_wash_elks_edge
Pirates Cove,110 Mollie Drive,Goldsboro,27534,1107,1,"Pirates Cove, 110 Mollie Drive, Goldsboro, NC, 27534",q4_new_car_wash_pirates_cove
Papa Bear,3436 Clemson Blvd,Anderson,29621,1095,1,"Papa Bear, 3436 Clemson Blvd, Anderson, SC, 29621",q4_new_car_wash_papa_bear
San Diego Car Care Costa Verde,12889 El Camino Real,San Diego,92130,1210,4,"San Diego Car Care Costa Verde, 12889 El Camino Real, San Diego, CA, 92130",q4_new_car_wash_san_diego_car_care_costa_verde
Zips Express Car Wash,301 Grand Hill Pl,Holly Springs,27540,1642,3,"Zips Express Car Wash, 301 Grand Hill Pl, Holly Springs, NC, 27540",q4_new_car_wash_zips_express_car_wash
True Clean,29002 Crossroads Ln,Evergreen,80439,1456,1,"True Clean, 29002 Crossroads Ln, Evergreen, CO, 80439",q4_new_car_wash_true_clean
Wash Rite,75 Teletech Dr,Moundsville,26041,1560,7,"Wash Rite, 75 Teletech Dr, Moundsville, WV, 26041",q4_new_car_wash_wash_rite
Great North Auto Wash,2701 N Lincoln Rd,Escanaba,49829,582,1,"Great North Auto Wash, 2701 N Lincoln Rd, Escanaba, MI, 49829",q4_new_car_wash_great_north_auto_wash
Woodies,24749 FL-54,Lutz,33559,1632,5,"Woodies, 24749 FL-54, Lutz, FL, 33559",q4_new_car_wash_woodies
Mistic Express Car Wash,750 Cincinnati Ave,Xenia,45385,1025,2,"Mistic Express Car Wash, 750 Cincinnati Ave, Xenia, OH, 45385",q4_new_car_wash_mistic_express_car_wash
TruShine,3033 Boones Creek Rd,Johnson City,37615,1463,4,"TruShine, 3033 Boones Creek Rd, Johnson City, TN, 37615",q4_new_car_wash_trushine
Blue Iguana,1137 W Kearney St,Springfield,65803,88,6,"Blue Iguana, 1137 W Kearney St, Springfield, MO, 65803",q4_new_car_wash_blue_iguana
Cadillac Express Carwash,9520 Cullen Blvd,Houston,77051,257,7,"Cadillac Express Carwash, 9520 Cullen Blvd, Houston, TX, 77051",q4_new_car_wash_cadillac_express_carwash
Rolling Thunder,800 E Main St,Palmyra,17078,1200,1,"Rolling Thunder, 800 E Main St, Palmyra, PA, 17078",q4_new_car_wash_rolling_thunder
Woodies,5601 66th St N,St. Petersburg,33709,1628,7,"Woodies, 5601 66th St N, St. Petersburg, FL, 33709",q4_new_car_wash_woodies
Super Scrub Car Wash,4405 Pacific Ave,Stockton,95207,1375,1,"Super Scrub Car Wash, 4405 Pacific Ave, Stockton, CA, 95207",q4_new_car_wash_super_scrub_car_wash
Detricks,1036 Glenforest Rd,Myrtle Beach,29579,417,4,"Detricks, 1036 Glenforest Rd, Myrtle Beach, SC, 29579",q4_new_car_wash_detricks
Rocket Wash 2,211 Fieldale Rd,Mebane,27302,1193,7,"Rocket Wash 2, 211 Fieldale Rd, Mebane, NC, 27302",q4_new_car_wash_rocket_wash_2
Rocket Wash 2,3985 US-421,Wilkesboro,28697,1197,3,"Rocket Wash 2, 3985 US-421, Wilkesboro, NC, 28697",q4_new_car_wash_rocket_wash_2
Rub A Dub,707 Taugenbaugh Blvd,Rifle,81650,1204,1,"Rub A Dub, 707 Taugenbaugh Blvd, Rifle, CO, 81650",q4_new_car_wash_rub_a_dub
Aqua Blue Car Wash,85 Peachtree Industrial Blvd,Sugar Hill,30518,26,1,"Aqua Blue Car Wash, 85 Peachtree Industrial Blvd, Sugar Hill, GA, 30518",q4_new_car_wash_aqua_blue_car_wash
Heroes Car Wash,1420 E Innes St,Salisbury,28146,620,8,"Heroes Car Wash, 1420 E Innes St, Salisbury, NC, 28146",q4_new_car_wash_heroes_car_wash
Rocket Wash,694 Braves Blvd NE,Rome,30161,1187,5,"Rocket Wash, 694 Braves Blvd NE, Rome, GA, 30161",q4_new_car_wash_rocket_wash
Wash N Roll,5307 Cane Ridge Rd,Nashville,37013,1550,1,"Wash N Roll, 5307 Cane Ridge Rd, Nashville, TN, 37013",q4_new_car_wash_wash_n_roll
Zips Express Car Wash,23685 Walton Ave,New Caney,77357,1656,18,"Zips Express Car Wash, 23685 Walton Ave, New Caney, TX, 77357",q4_new_car_wash_zips_express_car_wash
Paradise Falls Carwash,4350 Austell Rd,Austell,30106,1097,3,"Paradise Falls Carwash, 4350 Austell Rd, Austell, GA, 30106",q4_new_car_wash_paradise_falls_carwash
Encino Car Wash,17432 Ventura Blvd,Los Angeles,91316,467,1,"Encino Car Wash, 17432 Ventura Blvd, Los Angeles, CA, 91316",q4_new_car_wash_encino_car_wash
Edge Express,4717 Veterans Pwky,Garner,27529,445,5,"Edge Express, 4717 Veterans Pwky, Garner, NC, 27529",q4_new_car_wash_edge_express
Mr D Car Wash,525 E Sumner St,Hartford,53027,1063,1,"Mr D Car Wash, 525 E Sumner St, Hartford, WI, 53027",q4_new_car_wash_mr_d_car_wash
Lexington Auto Spa,1124 Winchester Rd,Lexington,40505,678,1,"Lexington Auto Spa, 1124 Winchester Rd, Lexington, KY, 40505",q4_new_car_wash_lexington_auto_spa
Woodies,4545 W Gandy Blvd,Tampa,33611,1634,1,"Woodies, 4545 W Gandy Blvd, Tampa, FL, 33611",q4_new_car_wash_woodies
Rocket Wash 2,1846 US-421,Wilkesboro,28697,1189,4,"Rocket Wash 2, 1846 US-421, Wilkesboro, NC, 28697",q4_new_car_wash_rocket_wash_2
Route 66 Car Wash,1650 W Holt Ave,Pomona,91768,1202,1,"Route 66 Car Wash, 1650 W Holt Ave, Pomona, CA, 91768",q4_new_car_wash_route_66_car_wash
Magic Brush,4550 Barranca Pkwy,Irvine,92604,864,4,"Magic Brush, 4550 Barranca Pkwy, Irvine, CA, 92604",q4_new_car_wash_magic_brush
Mistic Express Car Wash,2650 EAST WHIPP ROAD,CENTERVILLE,45440,1026,1,"Mistic Express Car Wash, 2650 EAST WHIPP ROAD, CENTERVILLE, OH, 45440",q4_new_car_wash_mistic_express_car_wash
Wash Up,460 Morthland Dr,Valparaiso,46383,1581,1,"Wash Up, 460 Morthland Dr, Valparaiso, IN, 46383",q4_new_car_wash_wash_up
Mach 1 Express Wash,2210 S Harper Rd,Corinth,38834,850,12,"Mach 1 Express Wash, 2210 S Harper Rd, Corinth, MS, 38834",q4_new_car_wash_mach_1_express_wash
Legacy Express Wash,2583 E 5th Ave,Columbus,68601,676,1,"Legacy Express Wash, 2583 E 5th Ave, Columbus, NE, 68601",q4_new_car_wash_legacy_express_wash
Classic Touch Car Wash,2758 Reynolda Rd,Winston-Salem,27106,309,1,"Classic Touch Car Wash, 2758 Reynolda Rd, Winston-Salem, NC, 27106",q4_new_car_wash_classic_touch_car_wash
Snappy Kedzie Express Wash,3549 S Kedzie Ave,Chicago,60632,1252,1,"Snappy Kedzie Express Wash, 3549 S Kedzie Ave, Chicago, IL, 60632",q4_new_car_wash_snappy_kedzie_express_wash
Buff it Auto Wash,1699 Stick Ross Mountain Rd,Tahlequah,74464,248,2,"Buff it Auto Wash, 1699 Stick Ross Mountain Rd, Tahlequah, OK, 74464",q4_new_car_wash_buff_it_auto_wash
The Auto Spa,3212 University Blvd,Durant,74701,1398,3,"The Auto Spa, 3212 University Blvd, Durant, OK, 74701",q4_new_car_wash_the_auto_spa
Quick n Clean,470 E Kenosha St,Broken Arrow,74012,1124,1,"Quick n Clean, 470 E Kenosha St, Broken Arrow, OK, 74012",q4_new_car_wash_quick_n_clean
Snappy Car Wash,4510 Winkler Ave,Fort Myers,33913,1250,6,"Snappy Car Wash, 4510 Winkler Ave, Fort Myers, FL, 33913",q4_new_car_wash_snappy_car_wash
IKO Car Wash,4450 S Pine Island Rd,Davie,33328,633,1,"IKO Car Wash, 4450 S Pine Island Rd, Davie, FL, 33328",q4_new_car_wash_iko_car_wash
Five Star,117 Turnersburg Hwy,Statesville,28625,502,5,"Five Star, 117 Turnersburg Hwy, Statesville, NC, 28625",q4_new_car_wash_five_star
Mendham Car Wash,104 E Main St,Mendham,7945,1016,1,"Mendham Car Wash, 104 E Main St, Mendham, NJ, 7945",q4_new_car_wash_mendham_car_wash
Vibe Car Wash,801 Spring Creek Pkwy,Plano,75023,1503,1,"Vibe Car Wash, 801 Spring Creek Pkwy, Plano, TX, 75023",q4_new_car_wash_vibe_car_wash
Edge Express,17000 Jefferson Davis Hwy,Dumfries,22026,444,1,"Edge Express, 17000 Jefferson Davis Hwy, Dumfries, VA, 22026",q4_new_car_wash_edge_express
Kind Car Wash,3106 N National Rd,Columbus,47201,661,1,"Kind Car Wash, 3106 N National Rd, Columbus, IN, 47201",q4_new_car_wash_kind_car_wash
Rocks Edge,116 Carmel Dr,King,27021,1198,1,"Rocks Edge, 116 Carmel Dr, King, NC, 27021",q4_new_car_wash_rocks_edge
U S Car Wash,845 N Adair St,Cornelius,97113,1490,1,"U S Car Wash, 845 N Adair St, Cornelius, OR, 97113",q4_new_car_wash_u_s_car_wash
StoneWash Car Care Center,818 Paris Rd,Mayfield,42066,1331,1,"StoneWash Car Care Center, 818 Paris Rd, Mayfield, KY, 42066",q4_new_car_wash_stonewash_car_care_center
American Pride,1203 N Brightleaf Blvd,Smithfield,27577,21,3,"American Pride, 1203 N Brightleaf Blvd, Smithfield, NC, 27577",q4_new_car_wash_american_pride
Century Car Wash,328 E Main St,Senatobia,38668,280,6,"Century Car Wash, 328 E Main St, Senatobia, MS, 38668",q4_new_car_wash_century_car_wash
