client_name,client_id,site_id,operational_start,open_year,proforma_y1,proforma_y2,proforma_y3,proforma_y4,proforma_y5,model5_y1,model5_y2,model5_y3,model5_y4,model5_y5,actual_y1,actual_y2,actual_y3,actual_y4,actual_y5,actual_mature_wash,model5_mature
Ford CarWash,fordroadcw_000592,1.0,01-2024,2024,9462.0,12489.0,13517.0,14012.0,15118.0,3230.0,4248.0,4587.0,5008.0,4729.0,7659,12478,14096.0,,,11452,4149.0
Splash Car Wash,splashcarwash_000318,1.0,02-2021,2021,5223.0,6894.0,7611.0,7812.0,8429.0,4880.0,6918.0,6942.0,6912.0,6329.0,6601,6968,6927.0,397.0,,41,6522.0
Jupiter Galaxy Car Wash,jupitercw_000637,1.0,02-2024,2024,8175.0,10790.0,11912.0,12348.0,13192.0,6548.0,8281.0,8707.0,9975.0,9707.0,1049,1064,378.0,,,622,7835.0
Cedar Place,buckyscw_000301,1.0,03-2021,2021,9806.0,12942.0,14008.0,14521.0,15667.0,2909.0,4241.0,4227.0,4142.0,3737.0,1969,2910,3679.0,3515.0,3305.0,3284,4019.0
Varsity Carwash  Duff,varsitycarwash_000227,3.0,03-2022,2022,7109.0,9383.0,10155.0,10527.0,11358.0,4822.0,6550.0,7097.0,7677.0,7165.0,7174,8997,9331.0,9752.0,10834.0,9407,6422.0
Avatar,avatar_000499,1.0,03-2023,2023,4417.0,5830.0,6563.0,6738.0,7270.0,9734.0,13232.0,13906.0,15303.0,14386.0,10303,14042,,,,11694,12729.0
Big Dan's Bradenton 14th St,bigdans_000378,13.0,03-2023,2023,8921.0,11774.0,12871.0,13342.0,14396.0,5746.0,7808.0,8645.0,10360.0,10277.0,15941,17739,17738.0,20284.0,,18425,7510.0
Heroes Express Salisbury,carolinacarwash_000283,8.0,03-2023,2023,4690.0,6190.0,6700.0,6945.0,7493.0,5411.0,7341.0,7491.0,7854.0,7166.0,12442,16980,18218.0,21778.0,,18178,7058.0
Big Peach Tallahassee,bigpeachcw_000300,9.0,03-2024,2024,7091.0,9359.0,10434.0,10816.0,11669.0,2883.0,3660.0,3586.0,3635.0,3275.0,2409,3284,3676.0,,,2924,3466.0
American Pride Six Forks,americanpride_000238,4.0,04-2021,2021,7821.0,10322.0,11172.0,11581.0,12495.0,6034.0,8119.0,8524.0,9384.0,8829.0,9575,15388,17547.0,18738.0,17887.0,17049,7792.0
Wash & Wax Pros,carwashcafe_000425,1.0,04-2022,2022,4071.0,5374.0,5816.0,6029.0,6505.0,2548.0,3227.0,3142.0,3164.0,2838.0,1822,2014,1659.0,1572.0,1521.0,1572,3055.0
Atlantic Blvd,luvcarwash_000457,35.0,04-2023,2023,6948.0,9170.0,10025.0,10392.0,11212.0,5744.0,7697.0,7990.0,8671.0,8091.0,3839,5482,5574.0,5387.0,,5116,7381.0
Oasis Auto Spa,oasisautospa_000475,1.0,04-2023,2023,6417.0,8469.0,9717.0,9977.0,10765.0,7143.0,9646.0,10047.0,10948.0,10241.0,2651,4925,5828.0,4997.0,,5632,9266.0
Raceway Elgin,racewaycw_000646,1.0,04-2024,2024,2355.0,3108.0,3364.0,3487.0,3763.0,3800.0,4866.0,5046.0,5213.0,4789.0,2845,5135,4815.0,,,4533,4737.0
Reseda,luvcarwash_000457,56.0,04-2024,2024,6947.0,9169.0,10023.0,10390.0,11099.0,7948.0,12804.0,13529.0,14235.0,13201.0,15362,18317,16085.0,,,16732,12340.0
Varsity Carwash Lincoln,varsitycarwash_000227,1.0,05-2020,2020,4486.0,5920.0,6408.0,6642.0,7167.0,4913.0,6432.0,6884.0,7411.0,6947.0,5940,9260,7075.0,6705.0,6380.0,6490,6279.0
Super Scrub Car Wash,superscrubcw_000402,1.0,05-2022,2022,3679.0,4856.0,5466.0,5666.0,6113.0,3103.0,4452.0,4597.0,4800.0,4513.0,1896,3286,3756.0,3905.0,3823.0,3500,4207.0
Baymeadows,luvcarwash_000457,36.0,05-2023,2023,9102.0,12013.0,13393.0,13748.0,14833.0,4605.0,6255.0,6495.0,7007.0,6506.0,2889,5136,6171.0,5564.0,,5832,6016.0
Classie Express Wash,classicexpcw_000556,1.0,05-2023,2023,4020.0,5305.0,5857.0,6071.0,6551.0,3327.0,4257.0,4534.0,4900.0,4625.0,966,2605,3932.0,3808.0,,3804,4143.0
Havasu Express Car Wash,lakehavasuexp_000487,1.0,05-2023,2023,3879.0,5120.0,5652.0,5859.0,6321.0,3694.0,5116.0,5086.0,5021.0,4595.0,1116,2705,5587.0,5056.0,,5533,4802.0
True Clean,trueclean_000554,1.0,05-2023,2023,4105.0,5418.0,5865.0,6079.0,6559.0,3893.0,5944.0,6134.0,6259.0,5739.0,6225,9912,10225.0,10492.0,,10178,5678.0
Lickety Split Express,licketysplitexp_000558,1.0,05-2024,2024,4985.0,6579.0,7264.0,7456.0,8044.0,3896.0,5680.0,5762.0,5793.0,5308.0,6268,9610,10885.0,,,9962,5382.0
Van Nuys,luvcarwash_000457,61.0,05-2024,2024,7564.0,9984.0,10914.0,11313.0,12086.0,8937.0,14384.0,15413.0,16623.0,15657.0,20338,20713,18770.0,,,18770,13861.0
