site_id,mae_site
1280,1441.8870025198157
3519,1441.8866518186744
1110,1440.6584784018335
1408,1439.5653667390318
597,1438.1233101485059
3546,1437.9054551372126
1208,1436.1649180948386
33,1434.813748027348
639,1425.1868680158932
1730,1423.7369621254572
1350,1423.0940194742927
99,1418.2274944709466
656,1416.1423788986083
242,1416.0478899409918
598,1413.363602821661
1463,1412.8350711475377
384,1411.6759854574445
642,1406.7714194959171
563,1403.321137818278
420,1398.8107623286571
534,1394.6800264905748
641,1391.7703603705809
1506,1389.884051844612
1148,1389.7240768969461
1404,1387.947491415657
1534,1386.0867437354048
523,1384.6553098167199
1154,1384.6318906094375
279,1372.2910726042535
14,1371.2032130091675
490,1369.6361445792804
559,1369.3115749007618
1134,1363.6651738769465
637,1363.1636720598087
92,1357.4430102920549
1040,1347.1801296107649
852,1341.6975021039632
1133,1341.6034022726708
1015,1337.0065228428248
1196,1330.338606996685
315,1330.1446572303807
798,1329.8581470375648
3506,1318.1021459919295
583,1315.8754316214536
61,1311.4574091609666
750,1308.5713175122205
532,1307.725310728234
1076,1307.0870196231042
1397,1304.0493803838447
244,1301.7258305918083
18,1299.9669935701047
1139,1299.6929811411658
1087,1297.717907968814
1008,1296.8729787479128
653,1292.045359571025
1202,1286.7903708789402
1197,1286.0199760448015
3434,1282.2579037875319
712,1271.4963436821818
571,1271.152740688343
1501,1269.2291709592498
1598,1260.600758262293
1288,1256.5695224812105
661,1250.4948637142445
1253,1249.4230065898576
1372,1247.6396853914719
255,1244.6055707016676
1844,1242.5099027805604
383,1238.7055762474436
669,1235.533106208206
1381,1233.9143634192123
478,1233.2823330926449
1082,1229.4840089284223
520,1228.0904446145444
1035,1225.8973817862927
588,1222.383110189409
380,1222.062782731012
854,1217.2221071997067
275,1209.2931793052235
6,1208.5255996323328
1074,1200.5066779833069
512,1196.7303135492955
1344,1192.4753886394665
271,1191.6929504360894
3484,1188.1002333564534
1129,1180.6660530290544
1049,1172.7415112261367
60,1171.9368246747256
294,1171.6648991575216
3528,1169.5081761895467
507,1168.1490755332386
494,1165.5521845769888
1412,1162.1817194812065
1366,1157.170023366506
489,1156.097568266547
96,1153.8708811016015
3424,1153.4783489748977
272,1151.0301729429596
582,1147.588802063736
552,1145.1471696270107
285,1143.0717763615364
1124,1142.6778803421562
1613,1141.8009315660643
521,1141.2626772836911
466,1139.2502840331624
1529,1135.5307660385888
1653,1133.4477880037862
587,1133.1818139115865
1538,1130.503530890944
320,1124.9093639984058
1012,1123.0903804436996
1768,1121.445907210973
721,1120.7430850096064
299,1120.2645879892782
1009,1119.9799899977406
1170,1112.598773709
775,1110.7272081771882
651,1104.7731637046695
1401,1101.2320790249355
1817,1100.3028106589834
1226,1094.7189115759354
89,1091.6935722746273
1136,1090.2974525387347
429,1088.2724759999328
68,1087.1371095558336
1103,1079.7670726928002
540,1075.5971855906505
536,1075.0013389713256
1762,1066.0862299454507
610,1065.1156945040618
1545,1061.4268937552033
284,1057.6929897077853
1113,1047.8393279547918
1247,1045.418026936018
86,1042.4874411746578
1565,1035.522509034974
3432,1027.3585806078954
629,1025.7333422973077
1173,1024.8766501124153
253,1024.4567138630596
29,1023.8265716782247
1003,1020.1526348749071
602,1015.5869551919851
961,1014.8512065876315
488,1010.4112575883806
1428,1003.0760736777025
1521,987.5529462204468
1274,983.9168808649583
1294,982.4040925480094
1547,979.7574668809917
95,970.5982647189659
695,970.4028197387488
3505,966.8532750711789
264,961.1983925138575
1230,958.9471856755611
261,958.6213942910441
1207,957.3875630872864
46,950.8570368192635
1083,947.4588194207437
871,941.741414887457
1436,938.142396471447
590,936.4513883207043
97,934.6744816126334
273,932.7757287151212
1246,931.8804819906421
414,930.4173854166904
1041,923.4490800952426
560,920.8836809093365
1452,920.1954254426929
1259,918.9777589400184
1334,915.0085279489865
1127,909.5013596545509
851,907.6000480278049
1531,906.2483919867019
1956,903.1134161395757
1029,902.2267687396467
1616,901.0691602446964
280,900.6349220126461
865,899.2923038977356
1790,898.3421755591795
281,896.4271370714612
1385,894.9496988985303
648,890.4604184865178
548,883.6231369878911
1169,878.8946075291855
1455,874.9682019758687
1326,874.4192761997056
1212,872.7217515166202
373,861.1719645899593
1358,861.0283186497842
1456,860.9050262498536
369,857.8437550075741
867,854.3379292261249
1063,853.3839206311372
3445,845.9475766374885
1260,843.963329167051
592,842.468776561417
1163,842.1835916831023
257,839.0937002818149
643,838.5261137971619
1364,837.0865171089449
1966,835.7030119353283
342,833.277791678247
1433,832.7332449031505
1359,830.8779965466565
3504,830.3282744407542
1451,829.309204305422
310,825.0450407646007
1335,824.3164537886532
626,821.8999649602914
1099,820.0000866782038
25,816.1596086900331
623,812.8164599739497
525,812.8107946951083
675,811.1221255637568
101,809.2720573562225
1960,804.2540076510477
666,802.9154901278984
372,800.0540041885012
