zip5,city_sample,state_sample,n_site_days,latitude,longitude,state_geocode,county_name,has_lat_lon
31005,Bonaire,GA,727,32.546,-83.6047,GA,Houston,True
31015,Cordele,GA,728,31.9566,-83.7835,GA,Crisp,True
31029,Forsyth,GA,727,33.0508,-83.9362,GA,Monroe,True
31032,Gray,GA,728,33.0172,-83.54,GA,Jones,True
31201,Macon,GA,728,32.8095,-83.6168,GA,Bibb,True
31216,Macon,GA,727,32.7486,-83.7477,GA,Bibb,True
31220,Macon,GA,727,32.8595,-83.802,GA,Bibb,True
31525,Brunswick,GA,728,31.2804,-81.5305,GA,Glynn,True
31909,Columbus,GA,728,32.5369,-84.9274,GA,Muscogee,True
32065,Orange Park,FL,720,30.1382,-81.7742,FL,Clay,True
32256,Jacksonville,FL,565,30.2214,-81.5571,FL,Duval,True
32303,Tallahassee,FL,728,30.4874,-84.3189,FL,Leon,True
32308,Tallahassee,FL,728,30.4771,-84.2246,FL,Leon,True
32526,Pensacola,FL,728,30.4756,-87.3179,FL,Escambia,True
32609,Gainesville,FL,728,29.7005,-82.308,FL,Alachua,True
32707,Casselberry,FL,706,28.6617,-81.3122,FL,Seminole,True
32750,Longwood,FL,728,28.712,-81.3552,FL,Seminole,True
32953,Merritt Island,FL,728,28.3888,-80.7301,FL,Brevard,True
32958,Sebastian,FL,728,27.7901,-80.4784,FL,Indian River,True
32966,Vero Beach,FL,728,27.6372,-80.4794,FL,Indian River,True
33067,Coral Springs,FL,728,26.3033,-80.2415,FL,Broward,True
33076,Coral Springs,FL,728,26.3168,-80.2753,FL,Broward,True
33160,North Miami Beach,FL,728,25.9449,-80.1391,FL,Miami-Dade,True
33311,Fort Lauderdale,FL,728,26.1421,-80.1728,FL,Broward,True
33317,Davie,FL,728,26.1122,-80.2264,FL,Broward,True
33321,Tamarac,FL,346,26.212,-80.2696,FL,Broward,True
33322,Sunrise,FL,727,26.1502,-80.2745,FL,Broward,True
33328,Davie,FL,728,26.0671,-80.2723,FL,Broward,True
33408,North Palm Beach,FL,727,26.8289,-80.0603,FL,Palm Beach,True
33409,West Palm Beach,FL,728,26.7162,-80.0965,FL,Palm Beach,True
33418,Palm Beach Gardens,FL,728,26.8234,-80.1387,FL,Palm Beach,True
33431,Boca Raton,FL,1398,26.3799,-80.0975,FL,Palm Beach,True
33436,Boynton Beach,FL,688,26.5354,-80.1124,FL,Palm Beach,True
33461,Palm Springs,FL,728,26.6232,-80.0946,FL,Palm Beach,True
33486,Boca Raton,FL,728,26.3481,-80.1104,FL,Palm Beach,True
33496,Boca Raton,FL,728,26.403,-80.1813,FL,Palm Beach,True
33511,Brandon,FL,722,27.9056,-82.2881,FL,Hillsborough,True
33534,Gibsonton,FL,725,27.8411,-82.3698,FL,Hillsborough,True
