zip5,total_washes,avg_washes,n_site_days,retail_total,membership_total,voucher_total,precip_mean,snowfall_mean,sunshine_mean,wind_mean,region,state,city,retail_share,membership_share,voucher_share,latitude,longitude,has_lat_lon,kmeans_cluster,dbscan_cluster,tsne_x,tsne_y
24202,137660,189.353507565337,727,110399,26834,427,1179.4,32.55,3217.371561,16.51448087,South,VA,Bristol,0.8019686183350283,0.19492953653929973,0.0031018451256719453,36.6609,-82.2126,True,5,1,1.5204017,6.7085376
24211,195362,268.7235213204952,727,156589,38338,435,505.80000000000007,179.76,3692.431383,11.741256830000001,South,VA,Abingdon,0.8015325395931655,0.1962408247253816,0.0022266356814528926,36.6673,-81.9648,True,1,-1,-15.308301,-1.3329605
24382,334273,459.1662087912088,728,250130,73351,10792,854.8000000000001,40.25,3173.933297,20.36420765,South,VA,Wytheville,0.7482805969970653,0.2194344143858463,0.03228498861708843,36.9407,-81.0941,True,0,-1,0.53533965,-5.183273
24502,193443,265.7184065934066,728,167604,25831,8,931.5,34.65,3229.634733,17.18606557,South,VA,Lynchburg,0.8664257688311285,0.13353287531727692,4.135585159452655e-05,37.3825,-79.2181,True,1,1,-1.4953295,9.397179
25813,57485,79.07152682255845,727,47842,9643,0,1045.5,89.39,3037.011278,19.51092896,South,WV,Glen Morgan,0.8322518917978603,0.1677481082021397,0.0,37.7516,-81.0731,True,1,-1,-8.92727,13.90087
26041,432613,594.2486263736264,728,325517,106862,234,1144.1,57.12,2925.4226419999995,17.45136612,South,WV,Moundsville,0.7524438701564677,0.24701523070272968,0.0005408991408025187,39.9148,-80.731,True,0,-1,-3.652634,-5.1790915
26101,705326,484.76013745704466,1455,530248,174908,170,1121.6,65.1,2986.723206,16.90191257,South,WV,Parkersburg,0.7517771923904691,0.24798178430966675,0.00024102329986417628,39.2644,-81.5354,True,4,-1,3.0184186,-23.252922
26105,274940,377.66483516483515,728,207821,67037,82,1104.0,59.92,3003.449169,16.87377049,South,WV,Vienna,0.7558776460318615,0.24382410707790791,0.0002982468902305958,39.3251,-81.5411,True,0,-1,-3.9698853,-3.9947019
26330,403121,554.4993122420908,727,302716,100300,105,1252.5,76.72,2861.371308,17.56857923,South,WV,Bridgeport,0.750930861949638,0.24880867034959728,0.0002604677007647828,39.2954,-80.2427,True,0,-1,-4.052056,-4.9716043
27021,268926,369.40384615384613,728,198986,59779,10161,904.9,11.27,3249.8101250000004,18.17377049,South,NC,King,0.7399284561552248,0.22228791563478428,0.03778362820999085,36.295,-80.356,True,0,1,3.93813,-3.6984124
27106,115053,158.25722145804676,727,71144,14017,29892,889.8,10.92,3279.243344,17.66803279,South,NC,Winston-Salem,0.6183584956498309,0.12183080841003711,0.25981069594013195,36.1428,-80.3069,True,2,-1,9.621267,-14.266392
27302,404249,555.2870879120879,728,319349,79952,4948,1031.3,13.02,3205.8499470000006,18.23251366,South,NC,Mebane,0.7899809275966051,0.19777909159948448,0.012239980803910462,36.0979,-79.2719,True,0,1,1.8932418,-6.5175896
27407,153599,210.98763736263737,728,123123,29316,1160,941.6999999999999,10.43,3276.718506,17.58715847,South,NC,Greensboro,0.8015872499169916,0.19086061758214573,0.007552132500862636,36.0334,-79.8626,True,5,1,4.9680567,1.2778808
27513,315080,432.8021978021978,728,234526,80549,5,1095.2,9.03,3229.7524499999995,16.67431694,South,NC,Cary,0.7443379459184969,0.2556461850958487,1.586898565443697e-05,35.7956,-78.7941,True,0,1,2.8488774,-4.430914
27514,125260,172.06043956043956,728,103705,19252,2303,1066.8,10.22,3233.3255059999997,16.01120219,South,NC,Chapel Hill,0.8279179307041354,0.15369631167172282,0.018385757624141786,35.9203,-79.0372,True,5,1,5.264411,3.859841
27529,766624,526.8893470790377,1455,575177,138923,52524,1048.7006185567009,10.114975945017182,3249.420819876976,17.66812968190378,South,NC,Garner,0.750272623867763,0.18121399799641025,0.06851337813582668,35.6813,-78.5975,True,4,-1,3.9820051,-22.667257
27534,373965,256.8440934065934,1456,288140,61153,24672,1097.1499999999999,8.925,3261.0402305000002,17.58797814,South,NC,Goldsboro,0.7704999130934713,0.16352599842231225,0.06597408848421643,35.3664,-77.9221,True,4,-1,3.579928,-20.295488
27536,192207,264.0206043956044,728,169269,22739,199,982.6,18.69,3197.464897,18.02431694,South,NC,Henderson,0.8806599135307247,0.11830474436414908,0.0010353421051262442,36.3301,-78.3981,True,5,1,-1.8814536,9.269954
27540,255931,351.55357142857144,728,169255,52742,33934,1142.5,8.89,3242.629117,16.83743169,South,NC,Holly Springs,0.6613305930113976,0.20607898222567803,0.13259042476292437,35.6263,-78.8458,True,0,-1,9.722963,-9.675236
27560,243969,335.12225274725273,728,176652,39057,28260,1095.2,9.03,3229.7524499999995,16.67431694,South,NC,Morrisville,0.7240755997688231,0.16009001143587914,0.11583438879529777,35.8344,-78.8466,True,5,1,9.045444,-9.84204
27577,448336,615.8461538461538,728,355862,87810,4664,1055.7,9.38,3244.148708,17.22513661,South,NC,Smithfield,0.7937395167909782,0.19585757110738375,0.010402912101638058,35.5068,-78.3479,True,0,1,2.5554075,-7.256957
27610,300178,412.3324175824176,728,244124,50965,5089,1095.9,10.08,3211.2921969999998,16.28060109,South,NC,Raleigh,0.8132641299495632,0.16978259565990844,0.016953274390528288,35.7667,-78.6008,True,5,1,3.4887578,-2.554051
27614,290467,398.99313186813185,728,218177,70891,1399,1159.8,11.83,3213.250675,16.86147541,South,NC,Raleigh,0.7511249126406786,0.24405870546395977,0.0048163818953616076,35.9457,-78.6433,True,0,1,2.8041298,-3.8673646
27615,568713,781.1991758241758,728,431182,131261,6270,1145.1,10.5,3198.040856,16.54480874,South,NC,Raleigh,0.7581715206088132,0.23080358634319947,0.011024893047987297,35.8887,-78.6393,True,0,1,0.88651085,-9.353575
27707,397736,546.3406593406594,728,297410,97694,2632,1010.8000000000001,10.64,3216.166969,15.85163934,South,NC,Durham,0.7477573063539634,0.24562523885190177,0.006617454794134803,35.9631,-78.9315,True,0,1,2.752231,-5.8863025
27949,92495,127.05357142857143,728,69978,13455,9062,1083.1,20.72,3273.8132470000005,34.76885246,South,NC,Kitty Hawk,0.7565598140440024,0.14546732255797612,0.09797286339802151,36.0646,-75.7057,True,1,-1,-17.5275,9.211194
28034,266987,366.74038461538464,728,209577,56256,1154,880.8000000000001,6.79,3280.060994,17.6068306,South,NC,Dallas,0.784970803821909,0.21070688835036913,0.004322307827721949,35.3349,-81.1862,True,0,1,4.3577485,-3.0700529
28043,238523,327.6414835164835,728,190023,48489,11,959.0,8.75,3296.464719,17.28825137,South,NC,Forest City,0.7966653111020741,0.2032885717519904,4.611714593561208e-05,35.325,-81.846,True,5,1,4.6309967,-2.1081438
28056,582129,799.6277472527472,728,456873,120139,5117,859.1,6.79,3275.1175749999998,17.41174863,South,NC,Gastonia,0.7848311972088661,0.20637865490295107,0.00879014788818286,35.2172,-81.1252,True,0,1,1.8329337,-9.375809
28146,551257,757.2211538461538,728,413608,137649,0,876.5,11.2,3230.3822420000006,17.9795082,South,NC,Salisbury,0.7502997694360344,0.24970023056396562,0.0,35.6187,-80.4022,True,0,1,1.4444762,-8.861336
28152,344662,236.7184065934066,1456,257020,58571,29071,800.1,7.3500000000000005,3283.455578,18.76530055,South,NC,Shelby,0.7457160928677952,0.1699375039894157,0.08434640314278917,35.2689,-81.5337,True,4,-1,3.9792376,-20.365553
28390,175597,241.20467032967034,728,133212,41177,1208,1024.8,5.6,3280.798783,15.80983607,South,NC,Spring Lake,0.7586234388970199,0.23449717250294708,0.00687938860003303,35.183,-78.9786,True,5,1,6.813589,-1.2084436
