month_offset,year_month,site_age_months,calendar_month,calendar_month_sin,calendar_month_cos,latitude,longitude,region_code,cbsa_code,peer_ref_level,peer_recent,peer_seasonal,peer_count,peer_level_resolved,peer_trend_ratio,h3_ref_level,h3_seasonal_factor,h3_peer_count,h3_used,h3_vs_cbsa_ratio,ramp_factor,anchor_wash,log_anchor,maturity_indicator,site_train_mean,site_train_median,site_train_max,site_train_std,site_train_recent6,site_train_months,site_vs_peer_ratio,predicted_washes,predicted_washes_low,predicted_washes_high,cbsa_id,cbsa_name,sample_label,sample_lat,sample_lon
26,2028-08,26,8,-0.8660254037844384,-0.5000000000000004,32.7767,-96.797,2,0,10527.75,10036.875,1.0472232682106586,15,cbsa,0.953373227897699,10527.75,1.0472232682106586,0,0,,1.0,11024.904761904761,9.308002761519795,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12443.893620096389,3441.316520408976,44997.45591837416,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
27,2028-09,27,9,-1.0,-1.8369701987210297e-16,32.7767,-96.797,2,0,10527.75,10036.875,0.9419564311635267,15,cbsa,0.953373227897699,10527.75,0.9419564311635267,0,0,,1.0,9916.681818181818,9.202074485286413,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,9976.628516900542,2759.00273510432,36075.758569507074,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
28,2028-10,28,10,-0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,1.0668773652317145,15,cbsa,0.953373227897699,10527.75,1.0668773652317145,0,0,,1.0,11231.818181818182,9.326594967435454,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12635.888040301454,3494.4119252918176,45691.712934988245,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
29,2028-11,29,11,-0.5000000000000004,0.8660254037844384,32.7767,-96.797,2,0,10527.75,10036.875,0.8048426129212621,15,cbsa,0.953373227897699,10527.75,0.8048426129212621,0,0,,1.0,8473.181818181818,9.04477938696079,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8449.452788202396,2336.667473715623,30553.449826789496,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
30,2028-12,30,12,-2.4492935982947064e-16,1.0,32.7767,-96.797,2,0,10527.75,10036.875,0.8155804680703163,15,cbsa,0.953373227897699,10527.75,0.8155804680703163,0,0,,1.0,8586.227272727272,9.05803117739191,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8323.142721379463,2301.7368536925023,30096.70920866552,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
31,2029-01,31,1,0.49999999999999994,0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.8767505427385519,15,cbsa,0.953373227897699,10527.75,0.8767505427385519,0,0,,1.0,9230.21052631579,9.13034547017747,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8588.28441398599,2375.060888345329,31055.468740804055,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
32,2029-02,32,2,0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,0.9319130268500917,15,cbsa,0.953373227897699,10527.75,0.9319130268500917,0,0,,1.0,9810.947368421053,9.191356041362878,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,9667.095420394331,2673.4024084589755,34956.478520148354,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
33,2029-03,33,3,1.0,6.123233995736766e-17,32.7767,-96.797,2,0,10527.75,10036.875,1.2569037468644897,15,cbsa,0.953373227897699,10527.75,1.2569037468644897,0,0,,1.0,13232.368421052632,9.490496829468592,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11516.53110159375,3184.857565297265,41644.08796774459,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
34,2029-04,34,4,0.8660254037844387,-0.49999999999999983,32.7767,-96.797,2,0,10527.75,10036.875,0.9533043622806392,15,cbsa,0.953373227897699,10527.75,0.9533043622806392,0,0,,1.0,10036.15,9.214048488406723,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10309.385421384752,2851.0255269764984,37279.01653668237,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
35,2029-05,35,5,0.49999999999999994,-0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.960575621571561,15,cbsa,0.953373227897699,10527.75,0.960575621571561,0,0,,1.0,10112.7,9.221646219345152,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,9912.930122940115,2741.3871605782306,35845.42345400298,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
36,2029-06,36,6,1.2246467991473532e-16,-1.0,32.7767,-96.797,2,0,10527.75,10036.875,1.0005755763396285,15,cbsa,0.953373227897699,10527.75,1.0005755763396285,0,0,,1.0,10533.809523809523,9.262440245753009,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11584.584498917395,3203.6775012135927,41890.170893206196,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
37,2029-07,37,7,-0.4999999999999998,-0.8660254037844388,32.7767,-96.797,2,0,10527.75,10036.875,0.9761141473045726,15,cbsa,0.953373227897699,10527.75,0.9761141473045726,0,0,,1.0,10276.285714285714,9.237691468570308,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10438.107548800981,2886.623194165189,37744.47923115422,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
