cluster_id,role,client_name,client_id,site_id,address,state,lat,lon,opened,carwash_type,dist_from_entrant_km,wash_per_mo,wash_before_entry,wash_after_entry,decline_pct,google_maps_all_markers,google_earth
10.0,neighbor,Hurricane Bay Express,000003_hurricane,1.0,30 Patriot Dr,KY,37.8601265,-85.5185246,2020-01-01,Express Tunnel,6.9,,3755.0,2204.0,41.3,"https://www.google.com/maps/dir/37.825304,-85.453567/37.8601265,-85.5185246","https://earth.google.com/web/@37.842715,-85.486046,0a,11841d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
11.0,entrant,Wash N Roll,washnroll_000485,2.0,7128 Hwy 70 S,TN,36.074531,-86.923798,2022-08-01,Express Tunnel,0.0,14874.0,,,,"https://www.google.com/maps/dir/36.074531,-86.923798/36.145437,-86.870853/36.1196537,-86.7745102","https://earth.google.com/web/@36.113207,-86.856387,0a,23785d,35y,0h,0t,0r"
11.0,neighbor,Champion CW,championcarwash_000085,4.0,6303 Charlotte Pike,TN,36.145437,-86.870853,2020-01-01,Express Tunnel,9.2,,7545.0,4924.0,34.7,"https://www.google.com/maps/dir/36.074531,-86.923798/36.145437,-86.870853/36.1196537,-86.7745102","https://earth.google.com/web/@36.113207,-86.856387,0a,23785d,35y,0h,0t,0r"
11.0,neighbor,Champion CW,championcarwash_000085,6.0,2640 8th Ave S,TN,36.1196537,-86.7745102,2020-01-01,Express Tunnel,14.3,,10498.0,5500.0,47.6,"https://www.google.com/maps/dir/36.074531,-86.923798/36.145437,-86.870853/36.1196537,-86.7745102","https://earth.google.com/web/@36.113207,-86.856387,0a,23785d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12.0,entrant,The Auto Spa,mainstreet_000067,3.0,3212 University Blvd,OK,34.0049678,-96.4088824,2023-06-01,Express Tunnel,0.0,6498.0,,,,"https://www.google.com/maps/dir/34.0049678,-96.4088824/34.005524,-96.397396/33.9967499,-96.3997585","https://earth.google.com/web/@34.002414,-96.402012,0a,3582d,35y,0h,0t,0r"
12.0,neighbor,University Park Auto SPA,cleanmachine,1.0,3005 W University Blvd,OK,34.005524,-96.397396,2020-01-01,Express Tunnel,1.1,,2315.0,1158.0,50.0,"https://www.google.com/maps/dir/34.0049678,-96.4088824/34.005524,-96.397396/33.9967499,-96.3997585","https://earth.google.com/web/@34.002414,-96.402012,0a,3582d,35y,0h,0t,0r"
12.0,neighbor,The Auto Spa,mainstreet_000067,1.0,2002 W Main St,OK,33.9967499,-96.3997585,2020-01-01,Flex,1.2,,7453.0,5203.0,30.2,"https://www.google.com/maps/dir/34.0049678,-96.4088824/34.005524,-96.397396/33.9967499,-96.3997585","https://earth.google.com/web/@34.002414,-96.402012,0a,3582d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
