client_id,site_id,address1,company_name,file_name,matched_address_in_file,year_5_max_hourly[car_wash_volume_estimate],tunnel_length_predicted,tunnel_length_actual,project_cost_total_investment[car_wash_acquisition_budget],project_cost_owner_investment[car_wash_acquisition_budget],project_cost_bank_debt_total[car_wash_acquisition_budget],total_debt_monthly_payment[bank_debt_allocation],2020_volume,2021_volume,2022_volume,2023_volume,2024_volume,2025_volume,2026_volume,operational_start
primocw_000691,1,13106 Valley Blvd,INDEPENDENT STATION,"Sonny's Express Exterior Proforma 13106 Valley Blvd., La Puente_0695w00000QAu7fAAD.xlsx","13106 Valley blvd., La Puente, CA 91746, Average Daily Wash Hours",119.11,42.3986,,0.0,0.0,0.0,0.0,,,,,,27403.0,20988.0,04-2025
primocw_000691,1,13106 Valley Blvd,INDEPENDENT STATION,"Sonny's Express Exterior Proforma 13106 Valley Blvd., La Puente_0695w00000QAu7fAAD.xlsx","13106 Valley Blvd., La Puente",119.11,42.3986,,0.0,0.0,0.0,0.0,,,,,,27403.0,20988.0,04-2025
primocw_000691,1,13106 Valley Blvd,INDEPENDENT STATION,"Sonny's Express Exterior Proforma 13106 Valley Blvd., La Puente_0695w00000QAu7fAAD.xlsx","13106 Valley blvd., La Puente, CA 91746",119.11,42.3986,,0.0,0.0,0.0,0.0,,,,,,27403.0,20988.0,04-2025
412somerset_000727,1,412 Somerset St,Iuri Oganezov,"Sonny's Express Proforma - 412 Somerset St., North Plainfield, NJ 07060_069Uc00000F9OTtIAN.pdf","412 Somerset St., North Plainfield, NJ 07060",38.0,17.6775,,2200000.0,440000.0,1760000.0,15377.06,,,,,,13143.0,11534.0,04-2025
bubbledown_000358,6,35952 US Hwy 19 N,Jerold _Jay_ Ode,"Sonny's Express Exterior Proforma 35952 US Hwy 19 N, Palm Harbor, FL 34684_0695w00000Y5LyUAAV.xlsx","35952 US Hwy 19 N, Palm Harbor, FL 34684, Average Daily Wash Hours",221.01,73.4562,40,5200000.0,780000.0,4420000.0,38357.79,,,,,8982.0,122304.0,71172.0,11-2024
bubbledown_000358,6,35952 US Hwy 19 N,Jerold _Jay_ Ode,"Sonny's Express Exterior Proforma 35952 US Hwy 19 N, Palm Harbor, FL 34684_0695w00000Y5LyUAAV.xlsx","35952 US Hwy 19 N, Palm Harbor, FL 34684",221.01,73.4562,40,5200000.0,780000.0,4420000.0,38357.79,,,,,8982.0,122304.0,71172.0,11-2024
bubbledown_000358,6,35952 US Hwy 19 N,Jerold _Jay_ Ode,"Sonny's Express Exterior Proforma 35952 US Hwy 19 N, Palm Harbor, FL 34684_0695w00000Y5LyUAAV.xlsx",35952 US Hwy 19 N,221.01,73.4562,40,5200000.0,780000.0,4420000.0,38357.79,,,,,8982.0,122304.0,71172.0,11-2024
obxpress_000458,1,4011 N Croatan Hwy,Jim Watters,Sonny's Express Exterior Proforma_0695w000009mpupAAA.xlsx,"4011 N Croatan Hwy., Kitty Hawk, NC 27949, Average Daily Wash Hours",44.92,19.7866,,0.0,0.0,0.0,0.0,,,5349.0,39588.0,36052.0,35143.0,15889.0,10-2022
obxpress_000458,1,4011 N Croatan Hwy,Jim Watters,Sonny's Express Exterior Proforma_0695w000009mpupAAA.xlsx,"OBXpress Car Wash, 4011 N Croatan Hwy., Kitty Hawk, NC 27949",44.92,19.7866,,0.0,0.0,0.0,0.0,,,5349.0,39588.0,36052.0,35143.0,15889.0,10-2022
obxpress_000458,1,4011 N Croatan Hwy,Jim Watters,Sonny's Express Exterior Proforma_0695w000009mpupAAA.xlsx,4011 N Croatan Hwy.,44.92,19.7866,,0.0,0.0,0.0,0.0,,,5349.0,39588.0,36052.0,35143.0,15889.0,10-2022
