loc_group,ll_key,dup_type,n_sites_here,n_clients_here,client_name,client_id,site_id,lat,lon,operational_start,first_month,last_month,months_active,mem_wash_count,ret_wash_count,total_washes
29,"29.801,-95.4098",cross_operator,2,2,ClearWater,clearwater_000397,16,29.801015,-95.409759,04-2024,2024-04,2026-02,23,169361,68039,237400
30,"29.9131,-95.4786",cross_operator,2,2,BlueWave,bluewave_000567,52,29.9131246,-95.4786013,02-2026,2026-02,2026-05,4,59860,9994,69854
30,"29.9131,-95.4786",cross_operator,2,2,ClearWater,clearwater_000397,5,29.9131246,-95.4786013,07-2022,2022-07,2026-02,44,632735,146206,778941
31,"29.9381,-95.5176",cross_operator,2,2,Brite Brothers,britebrothers_000760,1,29.9380989,-95.5175678,07-2025,2025-07,2026-05,11,4366,6170,10536
31,"29.9381,-95.5176",cross_operator,2,2,Cadillac Express Carwash,cadillacexpresscw_000080,1,29.9380989,-95.5175678,01-2020,2020-01,2026-05,77,442532,341183,783715
32,"30.0018,-95.6394",cross_operator,2,2,BlueWave,bluewave_000567,53,30.001788,-95.639365,02-2026,2026-02,2026-05,4,46642,8607,55249
32,"30.0018,-95.6394",cross_operator,2,2,ClearWater,clearwater_000397,6,30.001788,-95.639365,08-2022,2022-08,2026-02,43,403164,99668,502832
33,"30.1028,-81.7048",cross_operator,2,2,Luv Car Wash,luvcarwash_000457,24,30.10281,-81.704756,12-2022,2022-12,2026-05,42,303071,139140,442211
33,"30.1028,-81.7048",cross_operator,2,2,Scrubbles Express Wash,scrubbles_000069,2,30.10281,-81.704756,01-2020,2020-01,2022-12,36,110877,174969,285846
34,"30.1997,-81.6206",cross_operator,2,2,Luv Car Wash,luvcarwash_000457,15,30.199675,-81.620606,08-2022,2022-08,2026-05,46,287116,123070,410186
34,"30.1997,-81.6206",cross_operator,2,2,Scrubbles Express Wash,scrubbles_000069,6,30.199675,-81.620606,07-2022,2022-07,2022-07,1,0,25,25
35,"30.2212,-95.5828",cross_operator,2,2,BlueWave,bluewave_000567,61,30.221237,-95.582849,02-2026,2026-02,2026-05,4,30150,4041,34191
35,"30.2212,-95.5828",cross_operator,2,2,ClearWater,clearwater_000397,13,30.221237,-95.582849,05-2023,2023-05,2026-02,34,226890,44906,271796
36,"30.2536,-81.5377",cross_operator,2,2,Luv Car Wash,luvcarwash_000457,22,30.253554,-81.537669,12-2022,2022-12,2026-05,42,261471,186681,448152
36,"30.2536,-81.5377",cross_operator,2,2,Scrubbles Express Wash,scrubbles_000069,1,30.253554,-81.537669,01-2020,2020-01,2022-12,36,77222,255734,332956
37,"30.2828,-95.5735",cross_operator,2,2,BlueWave,bluewave_000567,51,30.282843,-95.57352,02-2026,2026-02,2026-05,4,48578,7324,55902
37,"30.2828,-95.5735",cross_operator,2,2,ClearWater,clearwater_000397,3,30.282843,-95.57352,05-2022,2022-05,2026-02,46,389263,78510,467773
38,"30.3248,-81.4104",cross_operator,2,2,Luv Car Wash,luvcarwash_000457,23,30.324796,-81.410368,12-2022,2022-12,2026-05,42,197395,91430,288825
38,"30.3248,-81.4104",cross_operator,2,2,Scrubbles Express Wash,scrubbles_000069,3,30.324796,-81.410368,01-2020,2020-01,2022-12,36,63883,96564,160447
39,"30.3369,-95.4661",cross_operator,2,2,BlueWave,bluewave_000567,55,30.336875,-95.466125,02-2026,2026-02,2026-05,4,52333,11676,64009
39,"30.3369,-95.4661",cross_operator,2,2,ClearWater,clearwater_000397,9,30.336875,-95.466125,10-2022,2022-10,2026-02,41,417365,99227,516592
40,"30.3447,-95.7697",cross_operator,2,2,BlueWave,bluewave_000567,58,30.3446872,-95.7697499,02-2026,2026-02,2026-05,4,45430,9280,54710
40,"30.3447,-95.7697",cross_operator,2,2,ClearWater,clearwater_000397,10,30.3446872,-95.7697499,02-2023,2023-02,2026-02,37,347226,81332,428558
41,"30.3542,-95.5844",cross_operator,2,2,BlueWave,bluewave_000567,60,30.3542302,-95.5844037,02-2026,2026-02,2026-05,4,29475,5104,34579
41,"30.3542,-95.5844",cross_operator,2,2,ClearWater,clearwater_000397,15,30.3542302,-95.5844037,11-2023,2023-11,2026-02,28,184143,38649,222792
42,"30.4226,-95.4852",cross_operator,2,2,BlueWave,bluewave_000567,62,30.422646,-95.4851599,02-2026,2026-02,2026-05,4,55019,10895,65914
42,"30.4226,-95.4852",cross_operator,2,2,ClearWater,clearwater_000397,14,30.422646,-95.4851599,08-2023,2023-08,2026-02,31,419798,106985,526783
43,"30.7099,-86.1231",cross_operator,2,2,A Proper Wash,aproperwash_000155,1,30.7098899,-86.1231318,01-2020,2020-01,2021-11,23,57568,77219,134787
43,"30.7099,-86.1231",cross_operator,2,2,Take 5 Car Wash,quickandcleancw_000262,4,30.7098899,-86.1231318,12-2021,2021-12,2023-06,19,103616,61551,165167
44,"30.8844,-83.2727",cross_operator,2,2,Cascade Car Wash,cascadecw_000441,1,30.884393,-83.2727115,08-2022,2022-08,2022-11,4,5674,5954,11628
44,"30.8844,-83.2727",cross_operator,2,2,Magnolia,magnolia_000414,39,30.884393,-83.2727115,11-2022,2022-11,2026-05,43,164927,116365,281292
45,"30.8966,-83.3269",cross_operator,2,2,Magnolia,magnolia_000414,11,30.896624,-83.326897,08-2022,2022-08,2026-05,46,255046,125445,380491
45,"30.8966,-83.3269",cross_operator,2,2,Splash Zone Car Wash,splashzonecw_000335,1,30.896624,-83.326897,08-2021,2021-08,2022-08,13,49523,44053,93576
46,"31.322,-85.8303",cross_operator,2,2,Blue Water Express,bluewaterexp_000408,1,31.3220495,-85.8303326,07-2022,2022-07,2022-12,6,3865,28003,31868
46,"31.322,-85.8303",cross_operator,2,2,Magnolia,magnolia_000414,40,31.3220495,-85.8303326,12-2022,2022-12,2026-05,42,192874,260155,453029
47,"31.9978,-81.252",cross_operator,2,2,Luv Car Wash,luvcarwash_000457,37,31.997837,-81.252005,07-2023,2023-07,2026-05,35,133287,66346,199633
47,"31.9978,-81.252",cross_operator,2,2,Paradise Bay Express,paradisebay_000076,2,31.997837,-81.252005,04-2021,2021-04,2023-07,28,42474,62904,105378
48,"32.344,-97.3975",cross_operator,2,2,BlueWave,bluewave_000567,50,32.3440442,-97.3974515,03-2026,2026-03,2026-05,3,55397,10421,65818
48,"32.344,-97.3975",cross_operator,2,2,ClearWater,clearwater_000397,2,32.3440442,-97.3974515,04-2022,2022-04,2026-03,48,692914,181615,874529
49,"32.5237,-97.3525",cross_operator,2,2,BlueWave,bluewave_000567,56,32.52373,-97.352547,03-2026,2026-03,2026-05,3,41534,9901,51435
49,"32.5237,-97.3525",cross_operator,2,2,ClearWater,clearwater_000397,8,32.52373,-97.352547,10-2022,2022-10,2026-03,42,463262,149449,612711
50,"32.5485,-82.9727",cross_operator,2,2,Big Peach Car Wash,bigpeachcw_000300,16,32.548518,-82.972705,04-2025,2025-04,2025-10,7,9228,10108,19336
50,"32.5485,-82.9727",cross_operator,2,2,Dublin Wash,dublinwash_000802,1,32.548518,-82.972705,10-2025,2025-10,2026-05,8,17097,12010,29107
51,"32.7178,-96.3209",cross_operator,2,2,BlueWave,bluewave_000567,54,32.717794,-96.320949,03-2026,2026-03,2026-05,3,45826,8568,54394
51,"32.7178,-96.3209",cross_operator,2,2,ClearWater,clearwater_000397,7,32.717794,-96.320949,08-2022,2022-08,2026-03,44,619984,207660,827644
52,"32.7244,-81.1202",cross_operator,2,2,Castaway Car Wash,iaislandcarwash_000198,3,32.7244346,-81.1201964,12-2023,2023-12,2024-01,2,715,4713,5428
52,"32.7244,-81.1202",cross_operator,2,2,Trident Express Car Wash,tridentexpcw_000630,1,32.7244346,-81.1201964,01-2024,2024-01,2026-05,29,119612,112507,232119
53,"32.9743,-96.6994",cross_operator,2,2,Carmel Car Wash,5031505carmel,1,32.9743208,-96.6993815,01-2020,2020-01,2021-09,21,4698,115032,119730
53,"32.9743,-96.6994",cross_operator,2,2,Carnation Auto Spa,carnationautospa_000352,1,32.9743208,-96.6993815,09-2021,2021-09,2022-01,4,206,11353,11559
54,"33.2177,-96.6834",cross_operator,2,2,BlueWave,bluewave_000567,59,33.217686,-96.683395,03-2026,2026-03,2026-05,3,19150,4648,23798
54,"33.2177,-96.6834",cross_operator,2,2,ClearWater,clearwater_000397,12,33.217686,-96.683395,08-2023,2023-08,2026-03,32,177832,63092,240924
55,"33.2738,-84.2918",cross_operator,2,2,Blue Penguin Car Wash,bluepenguincw_000433,2,33.273799,-84.291788,03-2022,2022-03,2026-05,51,221065,232060,453125
55,"33.2738,-84.2918",cross_operator,2,2,Dirty Dog's Car Wash,dirtydogs_000082,4,33.273799,-84.291788,01-2020,2020-01,2022-03,27,99081,173201,272282
56,"33.5172,-112.1858",cross_operator,2,2,Rinse My Ride,rinsemyride_000430,1,33.5171611,-112.1857956,02-2022,2022-02,2025-03,38,5286,38249,43535
56,"33.5172,-112.1858",cross_operator,2,2,Super Shine Car Wash,supershinecw_000658,3,33.5171611,-112.1857956,03-2025,2025-03,2025-09,7,1847,5383,7230
57,"33.5925,-102.3869",cross_operator,2,2,Champion Xpress CW,championxpresscw_000216,13,33.5924598,-102.3869413,04-2022,2022-04,2022-04,1,0,947,947
57,"33.5925,-102.3869",cross_operator,2,2,Grime Scene,grimescene_000454,1,33.5924598,-102.3869413,04-2022,2022-04,2026-05,50,333534,140606,474140
58,"33.6033,-83.8324",same_operator,2,1,Zips Express Car Wash,zips_000468,19,33.603253,-83.832356,10-2024,2024-10,2026-05,20,19750,30978,50728
58,"33.6033,-83.8324",same_operator,2,1,Zips Express Car Wash,zips_000468,24,33.603253,-83.832356,10-2024,2024-10,2025-01,4,0,116,116
59,"33.6052,-83.8767",cross_operator,2,2,Charliee's Car Wash,charliescw_000634,1,33.605179,-83.876709,02-2024,2024-02,2026-05,28,172555,144888,317443
59,"33.6052,-83.8767",cross_operator,2,2,Rocket Wash,rocketwash_000183,7,33.605179,-83.876709,06-2023,2023-06,2023-12,2,0,478,478
60,"33.6374,-84.0187",cross_operator,2,2,Big Peach Car Wash,bigpeachcw_000300,7,33.6374352,-84.0186611,08-2023,2023-08,2026-03,32,81267,64253,145520
