state,calendar_month,month_level,ref_level,peer_count,seasonal_factor,ref_recent
CT,11,57.105000000000004,57.105,1,1.0000000000000002,57.10500000000001
CT,12,57.105000000000004,57.105,1,1.0000000000000002,57.10500000000001
DE,4,5007.0,3633.0,1,1.3781998348472337,3413.8333333333335
DE,5,3612.0,3633.0,1,0.9942196531791907,3413.8333333333335
DE,6,3595.0,3633.0,1,0.9895403248004404,3413.8333333333335
DE,7,3554.0,3633.0,1,0.9782548857693366,3413.8333333333335
DE,8,3979.0,3633.0,1,1.0952380952380953,3413.8333333333335
DE,9,3378.0,3633.0,1,0.9298100743187449,3413.8333333333335
DE,10,3557.0,3633.0,1,0.9790806496008808,3413.8333333333335
DE,11,2657.0,3633.0,1,0.7313515001376273,3413.8333333333335
DE,12,3358.0,3633.0,1,0.9243049821084504,3413.8333333333335
FL,1,9145.688311688311,10140.244623655914,69,0.9019198896200761,10123.358126721763
FL,2,10543.012658227848,10140.244623655914,69,1.0397197552445951,10123.358126721763
FL,3,12699.443037974683,10140.244623655914,69,1.2523803428122908,10123.358126721763
FL,4,11735.630952380952,10140.244623655914,69,1.1573321342764458,10123.358126721763
FL,5,11449.65934065934,10140.244623655914,69,1.1291304860583666,10123.358126721763
FL,6,8780.344086021505,10140.244623655914,69,0.865890756278016,10123.358126721763
FL,7,8671.79569892473,10140.244623655914,69,0.8551860453834145,10123.358126721763
FL,8,8475.252525252525,10140.244623655914,69,0.8358035569951466,10123.358126721763
FL,9,8436.676767676769,10140.244623655914,69,0.8319993334278213,10123.358126721763
FL,10,11107.930693069307,10140.244623655914,69,1.0954302490056211,10123.358126721763
FL,11,11735.567307692309,10140.244623655914,69,1.1573258578313494,10123.358126721763
FL,12,10914.174311926605,10140.244623655914,69,1.0763225855977094,10123.358126721763
GA,1,8344.5,9520.137226277373,45,0.876510474761604,8507.57740585774
GA,2,9237.555555555555,9520.137226277373,45,0.9703174792542024,8507.57740585774
GA,3,11722.9,9520.137226277373,45,1.2313793090757754,8507.57740585774
GA,4,12228.82,9520.137226277373,45,1.2845214002006349,8507.57740585774
GA,5,9854.843137254902,9520.137226277373,45,1.0351576771449973,8507.57740585774
GA,6,9859.462962962964,9520.137226277373,45,1.035642945959748,8507.57740585774
GA,7,9326.964912280702,9520.137226277373,45,0.9797090830304968,8507.57740585774
GA,8,9414.344262295082,9520.137226277373,45,0.9888874538814123,8507.57740585774
GA,9,9110.548387096775,9520.137226277373,45,0.9569765824330708,8507.57740585774
GA,10,10118.138461538461,9520.137226277373,45,1.0628143503657166,8507.57740585774
GA,11,8604.432835820895,9520.137226277373,45,0.9038139505038897,8507.57740585774
GA,12,7349.985915492958,9520.137226277373,45,0.7720462153849644,8507.57740585774
ID,1,5986.25,7785.690476190476,2,0.7688784980993826,8251.833333333334
ID,2,5544.5,7785.690476190476,2,0.7121397924764296,8251.833333333334
ID,3,6995.75,7785.690476190476,2,0.8985394450747556,8251.833333333334
ID,4,7649.0,7785.690476190476,2,0.9824433713864569,8251.833333333334
ID,5,8956.75,7785.690476190476,2,1.1504117749595564,8251.833333333334
ID,6,10396.75,7785.690476190476,2,1.3353664690106086,8251.833333333334
ID,7,11151.5,7785.690476190476,2,1.432307132437714,8251.833333333334
ID,8,10433.5,7785.690476190476,2,1.340086666931703,8251.833333333334
ID,9,9458.5,7785.690476190476,2,1.21485692616797,8251.833333333334
ID,10,7179.25,7785.690476190476,2,0.922108324490289,8251.833333333334
ID,11,4976.5,7785.690476190476,2,0.6391854409340701,8251.833333333334
ID,12,5114.5,7785.690476190476,2,0.6569102657806293,8251.833333333334
IL,1,7576.0,5627.037974683544,4,1.3463566505299909,4930.8
IL,2,7956.0,5627.037974683544,4,1.41388773912574,4930.8
IL,3,5946.428571428572,5627.037974683544,4,1.0567599860143098,4930.8
IL,4,5681.571428571428,5627.037974683544,4,1.009691325015618,4930.8
IL,5,6835.714285714285,5627.037974683544,4,1.2147979659047379,4930.8
IL,6,6270.0,5627.037974683544,4,1.114262961829863,4930.8
IL,7,4910.285714285715,5627.037974683544,4,0.8726235252680806,4930.8
IL,8,5594.125,5627.037974683544,4,0.9941509236597261,4930.8
IL,9,5528.125,5627.037974683544,4,0.9824218398509907,4930.8
IL,10,5342.75,5627.037974683544,4,0.9494782199866828,4930.8
IL,11,4452.125,5627.037974683544,4,0.7912022310903953,4930.8
IL,12,5132.5,5627.037974683544,4,0.9121139795202189,4930.8
IN,1,13696.875,13069.735294117647,8,1.0479841168753137,14864.575
IN,2,14954.125,13069.735294117647,8,1.14417963818521,14864.575
IN,3,14779.875,13069.735294117647,8,1.1308473100179806,14864.575
IN,4,13038.125,13069.735294117647,8,0.9975814128284699,14864.575
IN,5,15115.111111111111,13069.735294117647,8,1.1564971111476172,14864.575
IN,6,13314.111111111111,13069.735294117647,8,1.01869783981803,14864.575
IN,7,11747.666666666666,13069.735294117647,8,0.8988450341418919,14864.575
IN,8,12812.444444444445,13069.735294117647,8,0.9803139968879858,14864.575
IN,9,12011.3,13069.735294117647,8,0.919016317446458,14864.575
IN,10,18122.3,13069.735294117647,8,1.3865850831849962,14864.575
IN,11,15082.0,13069.735294117647,8,1.1539636925001857,14864.575
IN,12,13000.214285714286,13069.735294117647,8,0.9946807638533697,14864.575
KS,1,5861.285714285715,5712.289473684211,4,1.0260834541540498,5633.9
KS,2,7320.0,5712.289473684211,4,1.281447663624595,5633.9
KS,3,7051.428571428572,5712.289473684211,4,1.2344312388077676,5633.9
KS,4,6025.857142857143,5712.289473684211,4,1.054893518722659,5633.9
KS,5,6388.142857142857,5712.289473684211,4,1.1183156747521665,5633.9
KS,6,5451.571428571428,5712.289473684211,4,0.9543583975717832,5633.9
KS,7,5257.714285714285,5712.289473684211,4,0.9204215419992114,5633.9
KS,8,5725.857142857143,5712.289473684211,4,1.0023751718527985,5633.9
KS,9,5406.714285714285,5712.289473684211,4,0.9465056542779088,5633.9
KS,10,6087.428571428572,5712.289473684211,4,1.0656722841992827,5633.9
KS,11,4204.0,5712.289473684211,4,0.7359571008029778,5633.9
KS,12,6090.75,5712.289473684211,4,1.0662537373253418,5633.9
KY,1,3830.6315789473683,5302.631768953069,16,0.7224019592263096,5607.0722891566265
KY,2,5206.368421052632,5302.631768953069,16,0.9818461186643094,5607.0722891566265
KY,3,6032.315789473684,5302.631768953069,16,1.1376078996834964,5607.0722891566265
KY,4,5056.736842105263,5302.631768953069,16,0.9536277573925609,5607.0722891566265
KY,5,4995.95,5302.631768953069,16,0.9421642342301247,5607.0722891566265
KY,6,5255.761904761905,5302.631768953069,16,0.9911610184841445,5607.0722891566265
KY,7,4790.619047619048,5302.631768953069,16,0.9034417731338884,5607.0722891566265
KY,8,5431.95652173913,5302.631768953069,16,1.024388786252,5607.0722891566265
KY,9,4734.8,5302.631768953069,16,0.8929151044811887,5607.0722891566265
KY,10,6238.68,5302.631768953069,16,1.1765252183882535,5607.0722891566265
KY,11,4213.32,5302.631768953069,16,0.7945714851762866,5607.0722891566265
KY,12,5037.48,5302.631768953069,16,0.949996194247254,5607.0722891566265
LA,1,6663.0,8047.45,1,0.8279641377082182,8081.5
LA,2,8124.5,8047.45,1,1.009574461475374,8081.5
LA,3,9388.0,8047.45,1,1.1665807181156764,8081.5
LA,4,9773.5,8047.45,1,1.2144840912338692,8081.5
LA,5,8337.5,8047.45,1,1.0360424730815352,8081.5
LA,6,7040.5,8047.45,1,0.8748734071041138,8081.5
LA,7,7003.0,8047.45,1,0.870213545905846,8081.5
LA,8,8482.0,8047.45,1,1.053998471565527,8081.5
LA,9,8420.5,8047.45,1,1.0463562992003679,8081.5
LA,10,8711.5,8047.45,1,1.0825168220989259,8081.5
LA,11,7963.5,8047.45,1,0.9895681240641445,8081.5
LA,12,7135.5,8047.45,1,0.8866783888063922,8081.5
MA,1,9260.166666666666,7970.283505154639,9,1.161836547053542,7284.354166666667
MA,2,11113.444444444445,7970.283505154639,9,1.3943599919948924,7284.354166666667
MA,3,7364.222222222223,7970.283505154639,9,0.9239598839187518,7284.354166666667
MA,4,7385.333333333333,7970.283505154639,9,0.9266086116707141,7284.354166666667
MA,5,8840.666666666666,7970.283505154639,9,1.1092035384875736,7284.354166666667
MA,6,9447.555555555555,7970.283505154639,9,1.1853474910203026,7284.354166666667
MA,7,7591.444444444444,7970.283505154639,9,0.9524685589332943,7284.354166666667
MA,8,7426.777777777777,7970.283505154639,9,0.9318084824679876,7284.354166666667
MA,9,7026.388888888889,7970.283505154639,9,0.8815732695511642,7284.354166666667
MA,10,6859.611111111111,7970.283505154639,9,0.8606483203106614,7284.354166666667
MA,11,5712.222222222223,7970.283505154639,9,0.716689966991506,7284.354166666667
MA,12,7443.666666666667,7970.283505154639,9,0.9339274646695577,7284.354166666667
MD,2,16670.0,19127.272727272728,1,0.8715304182509506,18317.666666666668
MD,3,22036.0,19127.272727272728,1,1.1520722433460076,18317.666666666668
MD,4,22830.0,19127.272727272728,1,1.193583650190114,18317.666666666668
MD,5,21018.0,19127.272727272728,1,1.0988498098859316,18317.666666666668
MD,6,17940.0,19127.272727272728,1,0.9379277566539924,18317.666666666668
MD,7,18508.0,19127.272727272728,1,0.9676235741444866,18317.666666666668
MD,8,22025.0,19127.272727272728,1,1.1514971482889733,18317.666666666668
MD,9,17980.0,19127.272727272728,1,0.9400190114068441,18317.666666666668
MD,10,18727.0,19127.272727272728,1,0.9790731939163497,18317.666666666668
MD,11,14974.0,19127.272727272728,1,0.782861216730038,18317.666666666668
MD,12,17692.0,19127.272727272728,1,0.9249619771863118,18317.666666666668
MI,1,8149.2307692307695,7279.175141242938,11,1.1195266786559648,6657.767857142857
MI,2,8920.666666666666,7279.175141242938,11,1.2255051559514256,6657.767857142857
MI,3,7954.2,7279.175141242938,11,1.0927337020553953,6657.767857142857
MI,4,7365.133333333333,7279.175141242938,11,1.0118087819598358,6657.767857142857
MI,5,8423.2,7279.175141242938,11,1.1571640792478195,6657.767857142857
MI,6,7669.333333333333,7279.175141242938,11,1.0535992313029818,6657.767857142857
MI,7,6742.0,7279.175141242938,11,0.9262038444164686,6657.767857142857
MI,8,6998.388888888889,7279.175141242938,11,0.9614260892332227,6657.767857142857
MI,9,6893.1578947368425,7279.175141242938,11,0.9469696443599814,6657.767857142857
MI,10,6973.9473684210525,7279.175141242938,11,0.9580683570735232,6657.767857142857
MI,11,5625.263157894737,7279.175141242938,11,0.7727885438588593,6657.767857142857
MI,12,7752.210526315789,7279.175141242938,11,1.06498475114202,6657.767857142857
MO,1,11519.5,12450.871287128713,9,0.9251962962550634,11195.851063829787
MO,2,13214.833333333334,12450.871287128713,9,1.0613581193305226,11195.851063829787
MO,3,16611.0,12450.871287128713,9,1.3341235016357358,11195.851063829787
MO,4,14363.285714285714,12450.871287128713,9,1.1535968353583408,11195.851063829787
MO,5,14140.42857142857,12450.871287128713,9,1.1356979158596285,11195.851063829787
MO,6,12645.777777777777,12450.871287128713,9,1.0156540442957234,11195.851063829787
MO,7,12494.2,12450.871287128713,9,1.0034799743626037,11195.851063829787
MO,8,13968.363636363636,12450.871287128713,9,1.121878406276969,11195.851063829787
MO,9,12034.636363636364,12450.871287128713,9,0.9665698155660288,11195.851063829787
MO,10,12561.384615384615,12450.871287128713,9,1.0088759513858396,11195.851063829787
MO,11,9428.692307692309,12450.871287128713,9,0.7572716872785737,11195.851063829787
MO,12,10795.23076923077,12450.871287128713,9,0.8670261317688274,11195.851063829787
MS,1,8085.0,9809.563492063493,8,0.8241956950012337,9475.0
MS,2,9699.636363636364,9809.563492063493,8,0.9887938817546706,9475.0
MS,3,12723.636363636364,9809.563492063493,8,1.2970644793655217,9475.0
MS,4,11630.272727272728,9809.563492063493,8,1.1856055304277602,9475.0
MS,5,9954.727272727272,9809.563492063493,8,1.0147981896219158,9475.0
MS,6,9609.454545454546,9809.563492063493,8,0.9796006267994649,9475.0
MS,7,9506.833333333334,9809.563492063493,8,0.9691392834171383,9475.0
MS,8,11364.583333333334,9809.563492063493,8,1.1585207988640822,9475.0
MS,9,9537.461538461539,9809.563492063493,8,0.9722615635423432,9475.0
MS,10,10671.692307692309,9809.563492063493,8,1.0878865625699174,9475.0
MS,11,8318.692307692309,9809.563492063493,8,0.8480186008707333,9475.0
MS,12,7851.714285714285,9809.563492063493,8,0.8004142378064812,9475.0
MT,1,22224.5,21713.928571428572,2,1.0235135446306682,16862.666666666668
MT,2,22882.5,21713.928571428572,2,1.0538166746163589,16862.666666666668
MT,3,29154.5,21713.928571428572,2,1.342663530650175,16862.666666666668
MT,4,26472.5,21713.928571428572,2,1.2191483412556128,16862.666666666668
MT,5,21318.666666666668,21713.928571428572,2,0.9817968497288881,16862.666666666668
MT,6,22618.666666666668,21713.928571428572,2,1.041666255475693,16862.666666666668
MT,7,22877.0,21713.928571428572,2,1.0535633809766607,16862.666666666668
MT,8,22220.666666666668,21713.928571428572,2,1.0233370066393637,16862.666666666668
MT,9,20519.666666666668,21713.928571428572,2,0.945000191889121,16862.666666666668
MT,10,17914.666666666668,21713.928571428572,2,0.8250311134503309,16862.666666666668
MT,11,14897.0,21713.928571428572,2,0.6860573364693497,16862.666666666668
MT,12,17926.0,21713.928571428572,2,0.8255530518594055,16862.666666666668
NC,1,11517.931034482759,12248.764595103577,36,0.9403341002313843,11719.10994764398
NC,2,11706.193548387097,12248.764595103577,36,0.9557040187601146,11719.10994764398
NC,3,15393.486486486487,12248.764595103577,36,1.256737882989441,11719.10994764398
