client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
bluewaveexpress_9402387c3599af4875cb4d3b66ce96ca98a8a411ddc0cffb794984bf15eae342,2024-01-01,29.665756,-95.181168,TX,South,PASADENA,77504-1209,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446c074dfffff
bluewaveexpress_9ff775a6a4fad0d1ad9c8710cb87729fa182a5ad099841659fcb180f19b5f007,2024-01-01,39.352355,-74.456205,TX,South,HOUSTON,77077-1628,young,12100,"Atlantic City-Hammonton, NJ",882a132cb5fffff
bluewaveexpress_aa98369f050223fbba8f3d37a932dc5f965cc293ce5121de1877ce9483e24472,2024-01-01,33.9967499,-96.3997585,TX,South,GROVES,77619-2907,young,20460,"Durant, OK",8826cc2899fffff
bluewaveexpress_b764e8508158c1eeccc78b6342ac1e6196cd53a34c123ea1f02fc7b5030c3823,2024-01-01,33.968317,-84.027426,TX,South,SAN ANTONIO,78224-1020,young,12060,"Atlanta-Sandy Springs-Roswell, GA",8844c176a7fffff
bluewaveexpress_ba3d1705793e621c17a7a8d9ecd81ff4b50f3d4807913668bd18b101e429c04e,2024-01-01,29.572449,-98.2389819,TX,South,CIBOLO,78108-3122,young,41700,"San Antonio-New Braunfels, TX",88489c54a3fffff
bluewaveexpress_bade6886bdb5c4828c09db0c9665e3e31b23fb36708493e966d76c296250fe27,2024-01-01,29.4685353,-95.0868765,TX,South,LEAGUE CITY,77573-4968,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446c1061fffff
bluewaveexpress_def56e9b137f843a14bcdffdbf6d52380d91bac32175b3ecef36d95ad63e87ef,2024-01-01,33.7617077,-96.5824205,TX,South,DENISON,75020-3584,young,43300,"Sherman-Denison, TX",8826c8814bfffff
bluewaveexpress_e21f844696701efac40cc30380e5671663ed1f2aa102fa2fc3ed7d7dd47b5d8f,2024-01-01,29.879263,-95.719304,TX,South,CYPRESS,77433-3329,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446dda33fffff
bluewaveexpress_e7300b81cfdfd6066249cfb94cf4d7005e9aa97c6bc061d37fed01eaff3d72c7,2024-01-01,29.8031816,-95.486465,TX,South,HOUSTON,77055-3502,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446cad1dfffff
bluewaveexpress_e7508d6ecf2117c86295b9b71705766eac062d07367191c9e60fa9652e378dc8,2024-01-01,29.801015,-95.409759,TX,South,HOUSTON,77008-3693,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446c320bfffff
bluewaveexpress_ffb141e25e679b0e2821aac1a8f4f56816fc82ebfd16ea282f6af57d5a334336,2024-01-01,29.915706,-95.584965,TX,South,HOUSTON,77065-4305,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446dd927fffff
blusaharacarwash_1,2024-11-19,36.144831,-115.223724,NV,West,Las Vegas,89146,young,29820,"Las Vegas-Henderson-Paradise, NV",882986b8c7fffff
bluwavefl_1,2024-03-18,26.493543,-81.8046573,FL,South,Fort Myers,33912,young,15980,"Cape Coral-Fort Myers, FL",8844130891fffff
bubblebay_1,2024-02-08,42.0653996,-71.016278,MA,Northeast,Brockton,02301,young,14460,"Boston-Cambridge-Newton, MA-NH",882a339537fffff
bubbledown_5,2024-01-11,28.2179191,-82.2588074,FL,South,Zephyrhills,33543,young,45300,"Tampa-St. Petersburg-Clearwater, FL",88441a086bfffff
bubbledown_6,2024-11-22,28.099303,-82.740366,FL,South,Palm Harbor,34684,young,45300,"Tampa-St. Petersburg-Clearwater, FL",88441ab847fffff
buffitautowash_4,2024-10-24,35.0684992,-94.627127,OK,South,Poteau,74953,young,22900,"Fort Smith, AR-OK",8826e94d57fffff
bulldogexpress_1,2024-11-19,34.5679558,-83.3038851,GA,South,Toccoa,30577,young,45740,"Toccoa, GA",8844ce4341fffff
cadillacexpresscarwash_8,2024-03-29,29.717932,-95.313413,TX,South,Houston,77023,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446ca935fffff
calibercapital_2837373608458ed51b1d53145da3acbd84bbbcc68b8df09b5aa6f32a41719e75,2024-01-01,28.034077,-80.672085,FL,South,PALM BAY,32907-1109,young,37340,"Palm Bay-Melbourne-Titusville, FL",8844a82169fffff
calibercapital_30846e4a879f32ab1256b61aef974f4415bbd7f589297279fc5b368628ccd3ea,2024-01-01,27.508429,-81.493523,FL,South,SEBRING,33870-1626,young,42700,"Sebring, FL",8844ad08e3fffff
calibercapital_5dd76f20cdeaecb477cf7bd3b5ae4e7dd8d3370cc018a92636ebb8564e496f39,2024-01-01,34.0877012,-84.2650764,GA,South,ALPHARETTA,30004-3889,young,12060,"Atlanta-Sandy Springs-Roswell, GA",8844c1219dfffff
calibercapital_66efbe1b66590027e7f8290ecb00d373e0a409da2b501ae075176fb32f1d295e,2024-01-01,27.5849206,-80.3773537,FL,South,VERO BEACH,32962,young,42680,"Sebastian-Vero Beach, FL",8844a81921fffff
calibercapital_7ef47db7efabba1554b8ed6f40037d966a5c04fb3cb150607d2759e9718c5b4e,2024-01-01,28.465182,-81.276232,FL,South,ORLANDO,32822-5530,young,36740,"Orlando-Kissimmee-Sanford, FL",8844a90107fffff
calibercapital_8876a98bc215f36e7a4eb6dbaf465e8ea16e4355fc44e2cd910635a358e0f79b,2024-01-01,27.4684473,-80.3330603,FL,South,FORT PIERCE,34946,young,38940,"Port St. Lucie, FL",8844a8cc63fffff
carwashcompany_1,2024-01-18,38.0294787,-85.5923771,KY,South,Mount Washington,40047,young,31140,"Louisville/Jefferson County, KY-IN",882668b51dfffff
cascadecarwash_3,2024-04-16,31.2087712,-82.3823678,GA,South,Waycross,31501,young,48180,"Waycross, GA",8844f1716dfffff
centurycarwash_9,2024-05-29,35.01991,-89.840712,TN,South,Memphis,38141,young,32820,"Memphis, TN-MS-AR",882659a45dfffff
championxpress-paterson_d107d365237e15c03a8bf3c1bbdc38c406b0aae3680de162e291291c36ec64f0,2024-01-01,39.092194,-108.527841,CO,West,GRAND JUNCTION,81506,young,24300,"Grand Junction, CO",88269c1ac1fffff
