client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
gateexpress_2,2024-01-09,30.0611968,-81.5066026,FL,South,Saint Johns,32259,young,27260,"Jacksonville, FL",8844f05217fffff
gateexpress_20,2024-05-11,30.2593677,-81.4667972,FL,South,Jacksonville,32224,young,27260,"Jacksonville, FL",8844f042b5fffff
gateexpress_21,2024-07-31,30.242152,-81.5197215,FL,South,Jacksonville,32256,young,27260,"Jacksonville, FL",8844f055a9fffff
gateexpress_4,2024-01-03,29.963635,-81.488713,FL,South,St. Augustine,32092,young,27260,"Jacksonville, FL",8844f0c835fffff
gateexpress_5,2024-01-23,30.1234741,-81.3980103,FL,South,Ponte Vedra Beach,32081,young,27260,"Jacksonville, FL",8844f05adbfffff
gateexpress_6,2024-01-16,30.2382919,-81.3867508,FL,South,Ponte Vedra Beach,32082,young,27260,"Jacksonville, FL",8844f04025fffff
gateexpress_7,2024-01-30,30.09541,-81.52176,FL,South,Saint Johns,32259,young,27260,"Jacksonville, FL",8844f05281fffff
gateexpress_8,2024-02-06,30.163314,-81.5999599,FL,South,Jacksonville,32258,young,27260,"Jacksonville, FL",8844f0563dfffff
gateexpress_9,2024-02-19,30.287164,-81.450161,FL,South,Jacksonville,32224,young,27260,"Jacksonville, FL",8844f0408bfffff
gogreennclean1_3,2024-10-01,39.8414799,-74.9633474,NJ,Northeast,Gibbsboro,08056,young,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",882a137b53fffff
goshine_1,2024-11-19,32.4669702,-90.108616,MS,South,Madison,39110,young,27140,"Jackson, MS",88445c3863fffff
greenwayautowash_1,2024-03-14,42.790152,-83.7456,MI,Midwest,Fenton,48430,young,22420,"Flint, MI",88274d04e9fffff
heroescarwash_10,2024-08-20,35.738892,-77.955324,NC,South,Wilson,27896,young,48980,"Wilson, NC",882ad4c9a1fffff
jammincarwash_3,2024-04-16,28.210344,-82.354471,FL,South,Wesley Chapel,33544,young,45300,"Tampa-St. Petersburg-Clearwater, FL",88441a0131fffff
joehollandexpresscarwash_1,2024-10-02,38.3691698,-81.6986407,WV,South,South Charleston,25303,young,16620,"Charleston, WV",882a9caf19fffff
jupitergalaxycarwash_1,2024-02-21,26.934891,-80.137243,FL,South,Jupiter,33458,young,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",8844aea16dfffff
kiwicarwash_3,2024-07-23,32.6264407,-85.4037566,AL,South,Opelika,36801,young,12220,"Auburn-Opelika, AL",8844ee755dfffff
licketysplitexpress_1,2024-05-21,39.6072578,-119.2244436,NV,West,Fernley,89408,young,22280,"Fernley, NV",88298941a9fffff
