n_pre_nbrs,n_pre_nbrs_5km,n_matured_pre_nbrs,nbr_mat_min_strict,nbr_mat_std_strict,nbr_mat_median_strict,nbr_mat_cv_strict,local_recent_wash_mean,op_n_sites_preT,op_n_prior_matured,op_track_mean_strict,op_track_goodfrac_strict,site_key,client_id,t_open,y,realized_mature,express_like,group,oof_prob
9,1,3,4337.153846153846,3055.442532115626,9250.076923076924,0.3895922983826452,5598.388888888889,2,1,9940.76923076923,1.0,aquawave_000292::3,aquawave_000292,2023-06-01,1,8303.923076923076,True,aquawave_000292,0.4177973522207695
5,2,0,,,,,8805.806666666665,6,0,,,blueiguanacw_000349::7,blueiguanacw_000349,2023-06-01,1,12118.615384615385,True,blueiguanacw_000349,0.4782005631010502
2,1,2,800.6153846153846,10825.097713184856,8455.115384615385,1.2803015950417191,7537.166666666667,2,0,,,bluewave_000567::10,bluewave_000567,2023-06-01,1,9402.076923076924,True,bluewave_000567,0.7364846477734944
2,0,0,,,,,4949.416666666666,2,0,,,bluewave_000567::6,bluewave_000567,2023-06-01,1,13161.46153846154,True,bluewave_000567,0.4059998702154121
2,0,1,10301.615384615385,,10301.615384615385,,5136.583333333333,2,0,,,bluewave_000567::7,bluewave_000567,2023-06-01,0,15105.153846153846,True,bluewave_000567,0.33954062919332334
3,1,3,800.6153846153846,7818.355289568583,5697.2307692307695,1.0374922380737972,7135.333333333333,2,0,,,bluewave_000567::9,bluewave_000567,2023-06-01,0,6672.846153846154,True,bluewave_000567,0.6454116611989111
8,0,3,18.076923076923077,9640.306335312109,22.153846153846153,1.7258136123477048,8147.8125,3,0,,,bubbledown_000358::4,bubbledown_000358,2023-06-01,1,17799.30769230769,True,bubbledown_000358,0.713193171155322
8,0,2,8858.76923076923,1073.4424866705017,9617.807692307691,0.1116098929207161,6379.4,33,5,10442.553846153847,1.0,championxpresscw_000216::36,championxpresscw_000216,2023-06-01,0,7115.846153846154,True,championxpresscw_000216,0.3091262589445794
6,0,2,5576.153846153846,1004.1949756606098,6286.226923076923,0.1597452634066041,9421.611111111111,1,0,,,clean_000473::1,clean_000473,2023-06-01,0,8517.692307692309,True,clean_000473,0.37804121855485273
6,0,2,5576.153846153846,1004.1949756606098,6286.226923076923,0.1597452634066041,9421.611111111111,1,0,,,clean_000473::2,clean_000473,2023-06-01,1,11394.23076923077,True,clean_000473,0.37804121855485273
7,0,1,12352.53846153846,,12352.53846153846,,5407.555555555556,7,0,,,edgeexpress_000446::7,edgeexpress_000446,2023-06-01,0,4318.615384615385,True,edgeexpress_000446,0.31444800300463177
