site_client_id,location_id,client_id,street,city,zip,new_operational_start_date,quarter,current_count,previous_count,yoy_percent_change,location_match_source
483,4,Express Wash,445 Florida Central Pkwy,Longwood,32750,,2025,280999.48,231897.0,21.17,site_client
485,1,Expressway 55,800 Motor Pkwy,Brentwood,11717,,2025,32227.46,36227.78,-11.04,site_client
486,1,Extreme Express,655 W San Carlos St,San Jose,95126,,2025,308670.99,286874.0,7.6,site_client
488,1,Fast Lap Car Wash,3830 N 51st Ave,Phoenix,85031,,2025,100176.0,98031.0,2.19,site_client
491,1,Fast Pass Car Wash,638 North H Street,Lompoc,93436,,2025,64747.43,72009.97,-10.09,site_client
493,1,Fast Trac,550 Maxham Rd,Austell,30168,,2025,80504.78,89951.0,-10.5,site_client
494,1,Fastlane Express Car Wash,924 E 30th Ave,Hutchinson,67502,,2025,36298.44,43826.95,-17.18,site_client
498,1,Fine N Shine,1304 TX-121,Bonham,75418,,2025,38843.86,40096.53,-3.12,site_client
499,1,Finz Car Wash,801 W Yamato Rd,Boca Raton,33431,,2025,170605.44,168423.38,1.3,site_client
500,1,Firehose Car Wash,1269 E 17th St,Idaho Falls,83404,,2025,96935.56,72870.0,33.03,site_client
501,7,Five Star,1200 Blowing Rock Rd,Boone,28607,,2025,207518.42,149306.0,38.99,site_client
502,5,Five Star,117 Turnersburg Hwy,Statesville,28625,,2025,355422.74,308423.0,15.24,site_client
503,6,Five Star,3803 W Gate City Blvd,Greensboro,27407,,2025,131887.31,125245.0,5.3,site_client
504,1,Flawless Auto Bath Inc,380 PORT RICHMOND AVE,STATEN ISLAND,10302,,2025,60293.11,57881.0,4.17,site_client
508,8,FoamWorks Express,369 Westfork Ct,Lithia Springs,30122,,2025,74568.98,68269.0,9.23,site_client
509,3,FoamWorks Express,4701 Hartley Bridge Rd,Macon,31216,,2025,97309.62,92230.0,5.51,site_client
510,9,FoamWorks Express,5551 Thomaston Rd.,Macon,31220,,2025,222059.85,194388.0,14.24,site_client
511,6,FoamWorks Express,5200 Altama Ave,Brunswick,31525,,2025,155226.61,143149.0,8.44,site_client
512,10,FoamWorks Express,1303 16th Ave E,Cordele,31015,,2025,146663.29,113062.0,29.72,site_client
513,7,FoamWorks Express,4780 Riverside Dr.,Macon,31201,,2025,65067.0,56282.0,15.61,site_client
515,1,Foothills Car Wash,5010 E Ray Rd,Phoenix,85044,,2025,135293.74,160080.0,-15.48,site_client
525,1,Fusion Express,760 Benetook Ave,Mildura,3500,,2025,51423.0,48487.0,6.06,site_client
528,1,Gallo Car Wash,3020 NW 13th St,Gainesville,32609,,2025,298345.32,240336.0,24.14,site_client
552,3,Glacier Express,90 24th St W,Billings,59102,,2025,105680.87,106012.0,-0.31,site_client
555,1,Glo Car Wash,8409 Bedford Euless Rd,Hurst,76053,,2025,101509.49,59893.0,69.48,site_client
556,1,Gloss Car Wash,5712 Lawrenceville Hwy,Lilburn,30047,,2025,96008.43,134570.0,-28.66,site_client
557,2,Go Clean Car Wash,3218 N Monroe St,Tallahassee,32303,,2025,53906.0,61820.0,-12.8,site_client
558,1,Go Clean Car Wash,2315 Capital Cir NE,Tallahassee,32308,,2025,67297.81,83141.0,-19.06,site_client
559,3,Go Clean Car Wash,1 Veteran Blvd,Eufaula,36027,,2025,85359.0,82370.0,3.63,site_client
560,2,Go Clean Pensacola,6658 Mobile Hwy,Pensacola,32526,,2025,89872.0,79567.0,12.95,site_client
563,1,Go Green N Clean1,196 Onix Dr,Kennett Square,19348,,2025,142111.14,143978.0,-1.3,site_client
579,1,Googie,8016 Santa Fe Springs Rd.,Whittier,90602,,2025,253607.14,239030.61,6.1,site_client
580,1,Grand Prix Car Wash,3080 San Pablo Dam Rd,San Pablo,94803,,2025,24113.25,25095.0,-3.91,site_client
582,1,Great North Auto Wash,2701 N Lincoln Rd,Escanaba,49829,,2025,81887.87,72375.87,13.14,site_client
583,1,Green Ocean Car Wash,187 Teaticket Hwy,Falmouth,02536,,2025,107813.66,99077.0,8.82,site_client
588,1,Grime Scene,513 TX-114,Levelland,79336,,2025,157391.57,149959.0,4.96,site_client
590,1,Gwatzilla Car Wash,1701 T P White Dr,Jacksonville,72076,,2025,97642.46,94046.0,3.82,site_client
591,1,H2GLO CAR WASH,1905 Electric Rd,Cave Spring,24018,,2025,189753.19,172653.43,9.9,site_client
592,1,H2O Auto Spa,2545 HYLAN BLVD,STATEN ISLAND,10306,,2025,74370.26,69827.0,6.51,site_client
593,5,Haffners,2221 Main St,Tewksbury,01876,,2025,38458.47,39849.0,-3.49,site_client
594,2,Haffners,469 Haverhill St,Lawrence,01841,,2025,106936.81,98502.0,8.56,site_client
596,6,Haffners,96 Pleasant Valley St,Methuen,01844,,2025,93111.43,86513.0,7.63,site_client
597,10,Haffners,215 Lowell Rd,Hudson,03051,,2025,72579.58,72993.0,-0.57,site_client
599,1,Haffners,69 Parker St,Lawrence,01843,,2025,299211.1,275306.0,8.68,site_client
600,3,Haffners,330 S Broadway,Lawrence,01843,,2025,111628.69,108306.0,3.07,site_client
602,8,Haffners,73 Plaistow Rd,Haverhill,01830,,2025,90305.93,87454.0,3.26,site_client
603,7,Haffners,1150 Bridge St,Lowell,01850,,2025,100461.0,86862.0,15.66,site_client
616,1,Happy Car Wash 2,527 NW North Albany Rd,Albany,97321,,2025,55189.92,49715.67,11.01,site_client
618,1,Havasu Express,108 N Lake Havasu Ave,Lake Havasu City,86403,,2025,59314.0,30504.0,94.45,site_client
620,8,Heroes Car Wash,1420 E Innes St,Salisbury,28146,,2025,295202.99,259298.0,13.85,site_client
623,3,Heroes Car Wash,2000 Hendersonville Rd,Asheville,28803,,2025,225573.83,217168.0,3.87,site_client
626,9,Heroes Car Wash,1370 NW Maynard Rd,Cary,27513,,2025,239099.47,204379.0,16.99,site_client
627,1,Hippo Car Wash,510 W Bosanko Ave,Coeur d'Alene,83815,,2025,104477.22,102971.0,1.46,site_client
629,1,Hitech Autocare,1675 Ave Victor M Labiosa,San Juan,00926,,2025,62507.39,52371.43,19.35,site_client
633,1,IKO Car Wash,4450 S Pine Island Rd,Davie,33328,,2025,78084.0,70910.0,10.12,site_client
634,1,Imperial Car Wash,8795 Little Rd,New Port Richey,34654,,2025,105184.88,109551.0,-3.99,site_client
637,1,International Auto Spa,4975 Clark Rd,Sarasota,34233,,2025,115767.0,127664.0,-9.32,site_client
642,1,Jammin Car Wash,21356 Walmart Way,Lutz,33548,,2025,173353.76,191790.0,-9.61,site_client
643,1,Jc Auto Wash,701 S Dewey St,North Platte,69101,,2025,10872.56,12018.82,-9.54,site_client
644,1,Jet Express Car Wash,1501 S Main St,Blacksburg,24060,,2025,46204.74,56798.81,-18.65,site_client
645,1,Jet Express Franklin,1121 Georgia Rd,Franklin,28734,,2025,132154.13,111042.0,19.01,site_client
648,1,Jimmy Suds Car Wash,935 S Kipling Pkwy,Lakewood,80226,,2025,143412.97,152689.0,-6.08,site_client
649,1,JJ Express Car Wash,2185 US-70,Thatcher,85552,,2025,68422.0,97971.0,-30.16,site_client
650,3,JJscarwash,121 Maple Leaf Dr,League City,77573,,2025,237883.0,228247.0,4.22,site_client
651,4,JJscarwash,404 FM 517 W,Dickinson,77539,,2025,256607.0,239557.0,7.12,site_client
652,1,JJscarwash,2221 W Parkwood Ave,Friendswood,77546,,2025,123436.0,117402.0,5.14,site_client
656,1,Jules Car Wash,10060 US-301,Riverview,33569,,2025,156139.65,159408.71,-2.05,site_client
657,2,Jules Car Wash,654 W Brandon Blvd,Brandon,33511,,2025,49224.97,54103.0,-9.02,site_client
661,1,Kind Car Wash,3106 N National Rd,Columbus,47201,,2025,199490.16,181190.0,10.1,site_client
663,1,Kiwi Car Wash,4915 20th St,Vero Beach,32966,,2025,367117.26,373193.0,-1.63,site_client
665,1,Koala Car Wash,1560 Lexington Rd,Athens,30605,,2025,59525.12,70093.0,-15.08,site_client
666,1,Kuhnsville Car Wash,5627 Tilghman St,Allentown,18104,,2025,79722.46,77741.0,2.55,site_client
667,1,Kwik Car Wash,4000 Catnip Hill Rd,Nicholasville,40356,,2025,10344.6,8571.59,20.68,site_client
669,1,LA Xpress Car Wash,444 North Franklin Street,Lancaster,17602,,2025,39464.44,36431.07,8.33,site_client
672,1,Lakes Edge,7916 Bradley Long Dr,Sherrills Ford,28673,,2025,115358.68,90650.0,27.26,site_client
673,1,Lathrop Arco Car Wash,2050 Crestwood Ave,Manteca,95336,,2025,144267.36,146530.0,-1.54,site_client
676,1,Legacy Express Wash,2583 E 5th Ave,Columbus,68601,,2025,157229.67,141474.0,11.14,site_client
678,1,Lexington Auto Spa,1124 Winchester Rd,Lexington,40505,,2025,45901.87,40119.0,14.41,site_client
681,1,Lightning Fast,2045 W Oaklawn Rd,Pleasanton,78064,,2025,48130.91,50713.0,-5.09,site_client
686,1,Liquid Sunshine,4132 Southside Blvd,Jacksonville,32256,,2025,33047.29,55577.0,-40.54,site_client
687,1,Local Car Wash,331 W Loudon St,Chambersburg,17201,,2025,32031.97,32418.11,-1.19,site_client
689,2,Lonestar Suds Express,12606 Indiana Ave,Lubbock,79423,,2025,307162.41,289464.0,6.11,site_client
693,1,Louisville Honda World,1 Swope Autocenter Dr,Louisville,40299,,2025,34265.18,40434.62,-15.26,site_client
850,12,Mach 1 Express Wash,2210 S Harper Rd,Corinth,38834,,2025,117819.94,105611.0,11.56,site_client
851,6,Mach 1 Express Wash,157 Plaza Dr,Forest City,28043,,2025,121517.36,118330.0,2.69,site_client
853,13,Mach 1 Express Wash,20945 N Dupont Blvd,Georgetown,19947,,2025,43424.92,47553.0,-8.68,site_client
856,5,Mach 1 Express Wash,5201 NJ-70,Pennsauken Township,08109,,2025,72424.88,83882.0,-13.66,site_client
857,15,Mach 1 Express Wash,155 Plaza Blvd,Madison,35758,,2025,38732.0,37524.0,3.22,site_client
858,1,Mach 1 Express Wash,1559 Rome Hwy,Cedartown,30125,,2025,80208.0,81824.0,-1.97,site_client
861,10,Mach 1 Express Wash,9 Hillview Ave NE,Cartersville,30121,,2025,55714.24,60853.0,-8.44,site_client
863,9,Mach 1 Express Wash,1624 Old Monrovia Rd NW,Huntsville,35806,,2025,67503.0,69732.0,-3.2,site_client
864,4,Magic Brush,4550 Barranca Pkwy,Irvine,92604,,2025,119505.0,107430.0,11.24,site_client
865,3,Magic Brush,2122 W Highland Ave,San Bernardino,92407,,2025,23415.0,28228.0,-17.05,site_client
866,2,Magic Brush,27503 McCall Blvd,Menifee,92585,,2025,58599.0,61813.51,-5.2,site_client
867,1,Magic Brush,22330 Cactus Ave,Moreno Valley,92553,,2025,14989.82,14656.98,2.27,site_client
870,1,Magic City Car Wash,619 N Broadway,Minot,58703,,2025,83201.3,79560.0,4.58,site_client
1003,1,Magnus Car Wash,Kendall Dr,San Bernardino,92407,,2025,13492.23,27942.07,-51.71,site_client
1012,1,Mega Shine,18282 E Thirteen Mile Rd,Roseville,48066,,2025,57442.36,47001.0,22.22,site_client
1016,1,Mendham Car Wash,104 E Main St,Mendham,07945,,2025,32960.0,29976.0,9.95,site_client
1018,1,Mint Carwash,3751 Frankford Rd,Dallas,75287,,2025,75607.0,78966.0,-4.25,site_client
1019,1,Mint Express Carwash,8640 Barker Cypress Rd,Houston,77095,,2025,131208.91,143248.0,-8.4,site_client
1021,3,Mint Express Carwash,23040 Morton Ranch Rd,Katy,77449,,2025,116326.0,117395.0,-0.91,site_client
1024,3,Mistic Express Car Wash,1052 Kauffman Ave,Fairborn,45324,,2025,12991.53,17616.72,-26.25,site_client
1025,2,Mistic Express Car Wash,750 Cincinnati Ave,Xenia,45385,,2025,46679.36,40664.69,14.79,site_client
1026,1,Mistic Express Car Wash,2650 EAST WHIPP ROAD,CENTERVILLE,45440,,2025,46116.63,41243.69,11.81,site_client
1027,1,Mojo Xpress Wash,332 South Green St,Swainsboro,30401,,2025,83612.95,84797.49,-1.4,site_client
1028,2,Mojo Xpress Wash,141 Hopkins Corner Dr,Waynesboro,30830,,2025,64337.0,60941.69,5.57,site_client
1029,1,Monkey Shine,2518 Bob Bullock Loop,Laredo,78045,,2025,66424.99,71510.08,-7.11,site_client
1035,1,Monsters Express LLC,2160 NW Federal Hwy,Stuart,34994,,2025,151569.6,164023.0,-7.59,site_client
1037,1,Mountain Edge,200 E Commonwealth Dr,Wytheville,24382,,2025,261533.94,257509.0,1.56,site_client
1038,2,Mountain Express,226 Old Chimney Rock Rd,Hendersonville,28792,,2025,78210.46,76525.79,2.2,site_client
1039,1,Mountain Express,821 Shepherd St,Hendersonville,28792,,2025,114837.96,95584.0,20.14,site_client
1040,1,Moyka 441,1955 S State Rd 7,Davie,33317,,2025,174444.98,181464.0,-3.87,site_client
1041,3,Moyka 441,1080 NW 31st Ave,Fort Lauderdale,33311,,2025,55709.19,66609.0,-16.36,site_client
1043,12,Mr Clean Car Wash,4175 Jimmy Carter Blvd,Norcross,30093,,2025,37697.69,57441.31,-34.37,site_client
