date,age_in_months,latitude,longitude,month,month_sin,month_cos,less_cluster_id,more_cluster_id,less_cluster_month_avg,less_cluster_month_std,less_cluster_month_mean,less_cluster_month_median,less_cluster_month_p25,less_cluster_month_p75,more_cluster_daily_avg,more_cluster_std,more_cluster_month_avg,more_cluster_month_median,more_cluster_month_p25,more_cluster_month_p75,cluster_id,site_id,monthly_volume,cluster_growth_rate,cluster_age_avg,age_sq,log_age,is_early,is_growth,is_mature,lat_lon_interaction,age_saturation,growth_velocity,p50,std_use,p10,p90
2026-11-01,11,32.6466149,-96.5333187,11,-0.5000000000000004,0.8660254037844384,5,8,15261.4,4544.653100072655,15261.4,16659.0,12218.0,17420.0,9905.5,3510.5868066852763,9905.5,10410.0,7677.25,12433.75,5,_forecast_new_,15261.4,-0.15194028191972153,15261.4,121,2.4849066497880004,0,1,0,-3151.4860806178685,0.7243166860701286,1271.7833333333333,19784.378421267866,4544.653100072655,17569.66662208729,21999.09022044844
2026-12-01,12,32.6466149,-96.5333187,12,-2.4492935982947064e-16,1.0,5,8,14241.666666666666,3766.1845856693394,14241.666666666666,14822.0,12520.5,16253.0,10819.25,4231.5096194019125,10819.25,10161.0,8826.75,14109.25,5,_forecast_new_,14241.666666666666,-0.06681781051104974,14241.666666666666,144,2.5649493574615367,0,1,0,-3151.4860806178685,0.7615941559557649,1095.5128205128206,15866.111321429642,3766.1845856693394,14030.764760073716,17701.457882785566
2027-01-01,13,32.6466149,-96.5333187,1,0.49999999999999994,0.8660254037844387,5,8,14891.5,11907.911387439492,14891.5,13899.5,9097.25,17971.25,10912.166666666666,3828.0050307113647,10912.166666666666,12789.0,7298.0,13261.0,5,_forecast_new_,14891.5,0.04562902282036285,14891.5,169,2.6390573296152584,0,1,0,-3151.4860806178685,0.7944319501654965,1063.6785714285713,15922.2503418357,11907.911387439492,10119.256962002735,21725.243721668663
2027-02-01,14,32.6466149,-96.5333187,2,0.8660254037844386,0.5000000000000001,5,8,17490.444444444445,9339.34077051361,17490.444444444445,14652.0,11922.0,20284.0,12818.666666666666,4558.253659488733,12818.666666666666,14456.0,8403.25,15711.75,5,_forecast_new_,17490.444444444445,0.1745253630893091,17490.444444444445,196,2.70805020110221,0,1,0,-3151.4860806178685,0.8232006455858831,1166.0296296296297,19302.94569216939,9339.34077051361,14751.674617003273,23854.216767335507
2027-03-01,15,32.6466149,-96.5333187,3,1.0,6.123233995736766e-17,5,8,13736.0,4604.059209002421,13736.0,13561.0,12040.25,16919.25,14953.25,5604.336310150625,14953.25,15516.5,10644.25,19410.5,5,_forecast_new_,13736.0,-0.21465689201722848,13736.0,225,2.772588722239781,0,1,0,-3151.4860806178685,0.8482836399575129,858.5,16098.054367363207,4604.059209002421,13854.392633502677,18341.716101223737
2027-04-01,16,32.6466149,-96.5333187,4,0.8660254037844387,-0.49999999999999983,5,8,16037.875,6149.174449526886,16037.875,16279.0,11765.0,19930.0,13909.416666666666,5115.350986950649,13909.416666666666,14485.5,9319.25,17456.5,5,_forecast_new_,16037.875,0.16757971753057666,16037.875,256,2.833213344056216,0,1,0,-3151.4860806178685,0.8700616617426719,943.4044117647059,18250.740411618342,6149.174449526886,15254.109225759692,21247.371597476995
2027-05-01,17,32.6466149,-96.5333187,5,0.49999999999999994,-0.8660254037844387,5,8,16629.625,9028.718370328885,16629.625,14577.0,12813.5,18036.5,13164.916666666666,4405.12277113679,13164.916666666666,14462.5,9663.75,15767.5,5,_forecast_new_,16629.625,0.03689703280515655,16629.625,289,2.8903717578961645,0,1,0,-3151.4860806178685,0.8889014796847765,923.8680555555555,17470.780446279878,9028.718370328885,13070.882661798569,21870.678230761187
2027-06-01,18,32.6466149,-96.5333187,6,1.2246467991473532e-16,-1.0,5,8,14086.0,4185.033858883342,14086.0,14331.5,12293.25,16935.25,12389.916666666666,4161.487899523293,12389.916666666666,14245.5,8583.75,14845.75,5,_forecast_new_,14086.0,-0.15295744792802002,14086.0,324,2.9444389791664403,0,1,0,-3151.4860806178685,0.9051482536448665,741.3684210526316,15838.094794437164,4185.033858883342,13798.633549949443,17877.556038924882
2027-07-01,19,32.6466149,-96.5333187,7,-0.4999999999999998,-0.8660254037844388,5,8,14755.375,4044.053798479936,14755.375,14188.5,12813.0,18245.5,12446.166666666666,4249.503561023513,12446.166666666666,13547.0,9071.5,15428.0,5,_forecast_new_,14755.375,0.04752058781769142,14755.375,361,2.995732273553991,0,0,1,-3151.4860806178685,0.9191208703639936,737.76875,16517.588709960964,4044.053798479936,14546.830223714489,18488.34719620744
2027-08-01,20,32.6466149,-96.5333187,8,-0.8660254037844384,-0.5000000000000004,5,8,16783.125,3370.619503783498,16783.125,15838.0,14319.0,19588.5,14347.333333333334,4784.421658472485,14347.333333333334,15390.5,11073.25,17567.5,5,_forecast_new_,16783.125,0.13742449785247746,16783.125,400,3.044522437723423,0,0,1,-3151.4860806178685,0.9311096086675776,799.1964285714286,19240.12492766537,3370.619503783498,17597.546138657657,20882.70371667308
2027-09-01,21,32.6466149,-96.5333187,9,-1.0,-1.8369701987210297e-16,5,8,15280.25,3999.301751556139,15280.25,14301.5,12743.75,16607.0,12420.5,4166.088671425731,12420.5,14139.5,8474.75,14909.5,5,_forecast_new_,15280.25,-0.08954679179235092,15280.25,441,3.091042453358316,0,0,1,-3151.4860806178685,0.9413755384972874,694.5568181818181,17371.78688906534,3999.301751556139,15422.837083080518,19320.736695050164
