source_file,client_name,client_id,site_id,state,lat,lon,proforma_type,operational_start,proforma_assumed_open,open_year,factor_area_profile_choice,factor_area_profile_score,factor_nearest_competition_choice,factor_nearest_competition_score,factor_weekly_hours_choice,factor_weekly_hours_score,factor_type_of_site_choice,factor_type_of_site_score,factor_site_accessibility_choice,factor_site_accessibility_score,factor_entrance_stack_up_choice,factor_entrance_stack_up_score,factor_free_vacuum_slots_choice,factor_free_vacuum_slots_score,factor_pay_stations_choice,factor_pay_stations_score,factor_visibility_choice,factor_visibility_score,factor_traffic_speed_choice,factor_traffic_speed_score,cumulative_site_score,demog_avg_household_size_value,demog_avg_household_size_score,demog_pct_pop_25_65_value,demog_pct_pop_25_65_score,demog_pct_hh_income_35k_value,demog_pct_hh_income_35k_score,demog_base_price_carwash_value,demog_base_price_carwash_score,cumulative_demographic_score,traffic_count,traffic_incr_y3,traffic_incr_y4,traffic_incr_y5,avg_daily_wash_hours,weekly_hours_operation,plateau_loo_location,m5in_era_anchor,m5in_n_era,m5in_pay,m5in_vac,m5in_tos,proforma_y1,proforma_y2,proforma_y3,proforma_y4,proforma_y5,coldstart_v15_y1,coldstart_v15_y2,coldstart_v15_y3,coldstart_v15_y4,coldstart_v15_y5,model5_y1,model5_y2,model5_y3,model5_y4,model5_y5,model5_mature,actual_y1,actual_y2,actual_y3,actual_y4,actual_y5,actual_mature_wash,actual_nobs_y1,actual_nobs_y2,actual_nobs_y3,actual_nobs_y4,actual_nobs_y5,proforma_y5_monthly,proforma_y5_yearly,proforma_y5_daily,year5_max_hourly,tunnel_length_ft,tunnel_length_m,tunnel_length_actual_m,actuals_suspect
"Sonny's Express Exterior Proforma 2416 Dempster St., Evanston_0695w00000SjPaGAAV.xlsx",Evanston Car Wash,evanstoncw_000480,1.0,IL,42.04049,-87.7079,Express Exterior,08-2022,08-2022,2022,Business,0.1,Multiple in 4 Miles / Multiple in 2 Miles,0.125,More Than 70 Hours,0.15,Inside Lot No Light,0.05,Easy In & Easy Out,0.15,Less Than 10 Vehicles,0.05,Less Than 12 Vehicles,0.05,1,0.05,400 - 500 Feet Both Directions,0.1,30 - 40 MPH,0.1,0.925,3.0,0.0,0.514,-0.0108,0.756,0.192,5.0,0.0,0.0453,12464.0,0.01,0.0,0.0,12.0,84.0,6435.7699834897385,,0,0.05,0.05,0.05,2481.0,3275.0,3580.0,3674.0,3964.0,5678.0,6154.0,6350.0,6483.0,6767.0,2723.0,3216.0,3298.0,3506.0,3349.0,3098.0,2320,2306,3132.0,3731.0,,3304,12,12,12,11,0,3964.0,47568.0,130.3,40.9,60.9,18.56,,False
Sonny's Express Exterior Proforma_0695w00000NTSyBAAX.xlsx,Jones,luvcarwash_000457,10.0,NV,36.085064,-115.2247,Express Exterior,08-2022,08-2022,2022,Business,0.1,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,Less Than 12 Vehicles,0.05,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.0,2.47,0.0,0.532,-0.0054,0.716,0.1619999999999999,5.0,0.0,0.0391499999999999,44494.0,0.01,0.01,0.01,12.0,84.0,11072.066122929,7787.0,1,0.1,0.05,0.15,9519.0,12564.0,13735.0,14237.0,15361.0,7854.0,10722.0,10630.0,9816.0,9547.0,6945.0,10332.0,10178.0,9786.0,8712.0,9825.0,5066,6680,6817.0,5910.0,,6284,12,12,12,11,0,15361.0,184332.0,505.0,158.5,178.5,54.41,,False
"Sonny's Express Exterior Proforma 13020 US-1, Sebastian_0695w00000RVGPpAAP.xlsx",Pelican Car Wash,pelicancw_000512,1.0,FL,27.832146,-80.480688,Express Exterior,08-2023,08-2023,2023,Shopping,0.15,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot No Light,0.05,Easy In Or Easy Out One Way,0.05,14 - 10 Vehicles,0.075,Less Than 12 Vehicles,0.05,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,0.975,2.1,0.0,0.4,-0.045,0.67,0.1275,5.0,0.0,0.020625,23994.0,0.02,0.01,0.01,12.0,84.0,8718.679409775123,,0,0.1,0.05,0.05,4916.0,6488.0,7163.0,7352.0,7933.0,7120.0,8443.0,8499.0,8484.0,8456.0,4996.0,6455.0,6457.0,6711.0,6123.0,6139.0,4387,5774,6341.0,,,6673,12,12,11,0,0,7933.0,95196.0,260.8,81.8,101.8,31.03,,False
Sonny's Express Exterior Proforma (traffic volume)_0695w000009kd1pAAA.xlsx,Hercules/Elite Care Auto,elitecare_000384,1.0,OH,40.72053,-82.543567,Express Exterior,09-2022,09-2022,2022,Shopping,0.15,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In Or Easy Out One Way,0.05,More Than 20 Vehicles,0.15,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,30 - 40 MPH,0.1,1.175,2.2,0.0,0.484,-0.0198,0.569,0.0517499999999999,5.0,0.0,0.0079874999999999,13694.0,0.0,0.0,0.0,12.0,84.0,8190.735372557412,,0,0.1,0.1,0.075,3117.0,4114.0,4452.0,4615.0,4980.0,6032.0,7675.0,8299.0,8436.0,8458.0,4214.0,5842.0,6276.0,6644.0,6097.0,5741.0,5232,6329,6886.0,6644.0,,6142,12,12,12,10,0,4980.0,59760.0,163.7,51.4,71.4,21.76,,False
Sonny's Express Exterior Proforma_0695w00000NRw9rAAD.xlsx,Dunn,luvcarwash_000457,42.0,FL,28.656632,-81.531356,Express Exterior,09-2023,09-2023,2023,Business,0.1,One in 4 Miles,0.15,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In/Out With Divided Highway,0.1,20 - 15 Vehicles,0.125,More Than 20 Vehicles,0.15,3 or More,0.15,Less Than 300 Feet Both Directions,0.0,30 - 40 MPH,0.1,1.175,2.6,0.0,0.499,-0.0153,0.632,0.099,5.0,0.0,0.020925,32005.0,0.01,0.01,0.01,12.0,84.0,14582.712724913175,26186.25,1,0.15,0.15,0.15,7904.0,10433.0,11405.0,11822.0,12755.0,11155.0,13953.0,14789.0,15647.0,16069.0,13653.0,18608.0,19599.0,21591.0,20297.0,17911.0,6883,10931,12287.0,,,11265,12,12,10,0,0,12755.0,153060.0,419.3,131.6,151.6,46.21,,False
"Sonny's Express Exterior Proforma 3972 Teays Valley Rd., Hurricane_0695w00000Q8nOVAAZ.xlsx",Thoroughbred Teays,thoroughbredcw_000304,18.0,WV,38.448511,-81.942794,Express Exterior,09-2023,09-2023,2023,Business,0.1,One in 4 Miles,0.15,More Than 70 Hours,0.15,Corner Lot Without Light,0.125,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,40 - 50 MPH,0.05,1.15,2.6,0.0,0.503,-0.0141,0.79,0.2175,5.0,0.0,0.05085,24938.0,0.01,0.0,0.0,12.0,84.0,8343.902687206286,,0,0.1,0.1,0.125,6205.0,8189.0,8952.0,9188.0,9913.0,6738.0,8064.0,8740.0,9806.0,10499.0,5276.0,6879.0,7409.0,8656.0,8483.0,6556.0,3876,6559,7409.0,,,6974,12,12,10,0,0,9913.0,118956.0,325.9,102.3,122.3,37.28,,False
SONNY'S Flex Proforma_069f2000007O43iAAC.xls,Virginia Car Wash Co.,napcowash_000528,1.0,VA,36.817316,-76.442251,Flex,09-2023,09-2023,2023,SHOPPING,0.15,ONE IN 4 MILES,0.15,MORE THAN 70 HOURS,0.15,CORNER LOT WITH LIGHT,0.15,EASY IN & EASY OUT,0.15,LESS THAN 20 VEHICLES,0.125,LESS THAN 20 VEHICLES,0.1,2.0,0.1,MORE THAN 500 FEET BOTH DIRECTIONS,0.15,LESS THAN 50  MPH,0.05,1.275,2.8,0.0,51.7,-0.0098999999999999,0.817,0.2377499999999999,6.0,-0.075,0.0382124999999999,19000.0,,,,,,5972.4566828024335,4678.833333333333,1,0.1,0.1,0.15,4833.0,6379.0,6904.0,7157.0,7722.0,4879.0,5784.0,6238.0,6975.0,7460.0,3795.0,4903.0,5254.0,6117.0,5989.0,4662.0,1650,3009,3493.0,,,2896,12,12,10,0,0,7722.0,92664.0,253.9,79.7,99.7,30.39,,False
Sonny's Express Exterior Proforma_0695w0000097wpaAAA.xlsx,Cadillac Express Little York,cadillacexpresscw_000080,3.0,TX,29.870405,-95.395894,Express Exterior,10-2020,10-2020,2020,Business,0.1,One in 4 Miles,0.15,More Than 70 Hours,0.15,Corner Lot Without Light,0.125,Easy In/Out With Divided Highway,0.1,20 - 15 Vehicles / Less Than 10 Vehicles,0.125,More Than 20 Vehicles,0.15,3 or More,0.15,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.25,3.4,-0.1999999999999999,0.498,-0.0156,0.52,0.015,8.0,-0.2249999999999999,-0.1063999999999999,24621.0,0.02,0.02,0.02,12.0,84.0,11061.136368003898,,0,0.15,0.15,0.125,5662.0,7473.0,8250.0,8552.0,9228.0,8117.0,10506.0,10947.0,11127.0,11125.0,8910.0,12566.0,13010.0,13770.0,12603.0,12184.0,8870,12365,13955.0,12246.0,11536.0,11070,12,12,12,12,12,9228.0,110736.0,303.4,95.2,115.2,35.11,,False
Sonny's Express Exterior Proforma  (vehicle market)_0695w00000IU9N0AAL.xlsx,Aladdin Car Wash,aladdincw_000434,1.0,TX,31.0889,-97.378205,Express Exterior,10-2022,10-2022,2022,Shopping,0.15,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Inside Lot No Light,0.05,Easy In & Easy Out,0.15,More Than 20 Vehicles,0.15,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,30 - 40 MPH,0.1,1.075,2.34,0.0,0.48,-0.021,0.623,0.09225,5.0,0.0,0.0178124999999999,35227.0,0.02,0.02,0.02,12.0,84.0,5682.086584412117,,0,0.1,0.1,0.05,8729.0,11521.0,12719.0,13185.0,14226.0,4560.0,5485.0,5807.0,6240.0,6509.0,3340.0,4378.0,4606.0,5153.0,4920.0,4177.0,2279,2855,2812.0,2319.0,,2449,12,12,12,9,0,14226.0,170712.0,467.7,146.8,166.8,50.84,,False
Sonny's Express Exterior Proforma_0695w00000CFRZEAA5.xlsx,Dix Hill Car Wash,dixhillscw_000517,1.0,NY,40.832405,-73.361128,Express Exterior,10-2022,10-2022,2022,Shopping,0.15,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In/Out With Divided Highway,0.1,Less Than 10 Vehicles,0.05,Less Than 12 Vehicles,0.05,1,0.05,300 - 400 Feet Both Directions,0.05,Less Than 30 MPH,0.15,0.8000000000000003,3.0,0.0,0.51,-0.012,0.86,0.27,5.0,0.0,0.0645,25596.0,,,,12.0,84.0,3290.0014799068554,3240.875,4,0.05,0.05,0.075,4189.0,5528.0,5984.0,6203.0,6692.0,2962.0,3156.0,3150.0,3068.0,3056.0,1334.0,1549.0,1536.0,1558.0,1420.0,1487.0,2684,2866,2626.0,2251.0,,2276,12,12,12,9,0,6692.0,80304.0,220.0,69.0,89.0,27.13,,False
Sonny's Express Exterior Proforma_0695w000009mpupAAA.xlsx,OBXpress,obxpress_000458,1.0,NC,36.071209,-75.695873,Express Exterior,10-2022,10-2022,2022,Business,0.1,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot No Light,0.05,Easy In & Easy Out,0.15,Less Than 10 Vehicles,0.05,Less Than 12 Vehicles,0.05,1,0.05,More Than 500 Feet Both Directions / 400 - 500 Feet Both Directions,0.15,More Than 50 MPH,0.0,0.9000000000000001,2.4,0.0,0.526,-0.0072,0.786,0.2145,5.0,0.0,0.051825,13981.0,,,,12.0,84.0,7156.959197807139,,0,0.05,0.05,0.05,2725.0,3596.0,3893.0,4035.0,4354.0,5866.0,6936.0,7393.0,8160.0,8678.0,2909.0,3747.0,3968.0,4561.0,4440.0,3561.0,3042,2946,2964.0,3045.0,,3259,12,12,12,9,0,4354.0,52248.0,143.1,44.9,64.9,19.78,,False
Sonny's Express Exterior Proforma_0695w00000M3aHzAAJ.xlsx,Thoroughbred Seymour,thoroughbredcw_000304,4.0,IN,38.957211,-85.864575,Express Exterior,10-2022,10-2022,2022,Shopping,0.15,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,30 - 40 MPH,0.1,1.2,2.5,0.0,0.51,-0.012,0.67,0.1275,5.0,0.0,0.028875,31586.0,,,,12.0,84.0,8051.032122568201,,0,0.1,0.1,0.075,8029.0,10597.0,11470.0,11890.0,12828.0,6627.0,7636.0,7894.0,7780.0,7811.0,4976.0,6246.0,6417.0,6586.0,6052.0,6066.0,8634,10312,9813.0,8359.0,,8620,12,12,12,9,0,12828.0,153936.0,421.7,132.4,152.4,46.45,,False
Sonny's Express Exterior Proforma_0695w00000NQGu9AAH.xlsx,Blue Rhino Car Wash,bluerhinocw_000596,1.0,GA,34.044253,-84.695038,Express Exterior,10-2023,10-2023,2023,Shopping,0.15,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In Or Easy Out One Way,0.05,14 - 10 Vehicles,0.075,More Than 20 Vehicles,0.15,2,0.1,Less Than 300 Feet Both Directions,0.0,40 - 50 MPH,0.05,0.775,2.83,0.0,0.53,-0.006,0.805,0.22875,5.0,0.0,0.0556875,34076.0,0.02,0.02,0.02,12.0,84.0,9122.799801870073,2223.5833333333335,1,0.1,0.15,0.075,5740.0,7576.0,8364.0,8670.0,9354.0,7121.0,8761.0,9109.0,9421.0,9559.0,5582.0,7482.0,7730.0,8325.0,7732.0,7175.0,5918,7069,7442.0,,,7164,12,12,9,0,0,9354.0,112248.0,307.5,96.5,116.5,35.51,,False
"Sonny's Express Exterior Proforma 3111 Teays Valley Rd., Hurricane_0695w00000Q8kRHAAZ.xlsx",Thoroughbred Hurricane,thoroughbredcw_000304,15.0,WV,38.434292,-82.013593,Express Exterior,10-2023,10-2023,2023,Business,0.1,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,Less Than 12 Vehicles,0.05,2,0.1,400 - 500 Feet Both Directions,0.1,30 - 40 MPH,0.1,1.1,2.51,0.0,0.5,-0.015,0.752,0.189,5.0,0.0,0.0435,14583.0,0.0,0.0,0.0,12.0,84.0,8460.426625000724,,0,0.1,0.05,0.075,3446.0,4549.0,4923.0,5103.0,5506.0,6893.0,8190.0,8748.0,9623.0,10186.0,4781.0,6189.0,6569.0,7525.0,7290.0,5888.0,2920,4424,5847.0,,,5370,12,12,9,0,0,5506.0,66072.0,181.0,56.8,76.8,23.41,,False
Sonny's Express Exterior Proforma_069f2000007PSrqAAG.xlsx,Clean Wave Express Carwash,cleanwave_000278,1.0,CA,33.802604,-118.07235,Express Exterior,11-2020,11-2020,2020,Business,0.1,Multiple in 4 Miles,0.125,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In/Out With Divided Highway,0.1,14 - 10 Vehicles,0.075,Less Than 12 Vehicles,0.05,2,0.1,300 - 400 Feet Both Directions,0.05,30 - 40 MPH,0.1,1.0,2.8,0.0,0.493,-0.0171,0.8,0.225,5.0,0.0,0.051975,53812.0,0.0,0.0,0.0,12.0,84.0,7756.627689087414,,0,0.1,0.05,0.15,10878.0,14357.0,15540.0,16108.0,17380.0,5493.0,7510.0,7750.0,7569.0,7600.0,4201.0,6257.0,6416.0,6525.0,5997.0,5952.0,10019,13299,12332.0,13704.0,14877.0,14486,12,12,12,12,12,17380.0,208560.0,571.4,179.3,199.3,60.75,,False
Sonny's Express Exterior Proforma Update_0695w00000HJAnSAAX.xlsx,Magic City Car Wash,magiccitycw_000357,1.0,ND,48.242594,-101.296108,Express Exterior,11-2021,11-2021,2021,Business,0.1,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,30 - 40 MPH,0.1,0.975,2.2,0.0,0.525,-0.0075,0.772,0.204,5.0,0.0,0.049125,25042.0,0.02,0.02,0.02,12.0,84.0,6087.967993995477,,0,0.1,0.1,0.075,4922.0,6497.0,7172.0,7435.0,8022.0,5256.0,5806.0,5876.0,5703.0,5729.0,3690.0,4441.0,4467.0,4514.0,4151.0,4289.0,5542,5616,6160.0,5933.0,7036.0,6332,12,12,12,12,8,8022.0,96264.0,263.7,82.8,102.8,31.33,,False
Sonny's Express Exterior Proforma_0695w00000EPxlQAAT.xlsx,Stevens Creek Xpress,stevenscreek_000445,1.0,CA,37.324219,-121.964759,Express Exterior,11-2022,11-2022,2022,Business,0.1,One in 2 Miles,0.075,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,Less Than 300 Feet Both Directions,0.0,30 - 40 MPH,0.1,1.05,2.6,0.0,0.533,-0.0051,0.848,0.261,5.0,0.0,0.063975,51924.0,0.0,0.0,0.0,12.0,84.0,11381.620867271127,12186.708333333332,2,0.1,0.1,0.15,11943.0,15763.0,17061.0,17685.0,19082.0,8464.0,11102.0,11301.0,10934.0,10998.0,7012.0,10021.0,10136.0,10212.0,9402.0,9461.0,8950,19776,23692.0,24294.0,,24086,12,12,12,8,0,19082.0,228984.0,627.4,196.9,216.9,66.11,,False
Sonny's Express Exterior Proforma_0695w00000AAVe5AAH.xlsx,Big Dan's Bradenton 301,bigdans_000378,19.0,FL,27.466827,-82.563773,Express Exterior,11-2023,11-2023,2023,Shopping,0.15,One in 2 Miles,0.075,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In & Easy Out,0.15,20 - 15 Vehicles / Less Than 10 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,30 - 40 MPH,0.1,1.25,2.4,0.0,0.47,-0.024,0.551,0.03825,6.0,-0.075,-0.0151874999999999,40502.0,0.02,0.02,0.02,12.0,84.0,10129.92437813315,,0,0.1,0.1,0.15,10265.0,13549.0,14958.0,15505.0,16729.0,7684.0,9678.0,10840.0,12516.0,13574.0,6356.0,8723.0,9709.0,11672.0,11587.0,8409.0,10930,14329,15869.0,,,14962,12,12,8,0,0,16729.0,200748.0,550.0,172.6,192.6,58.7,,False
Sonny's Express Exterior Proforma (Market share)_069f2000008N6nuAAC.xlsx,Mr. D Cranston,mrdcarwash_000205,3.0,WI,42.53266,-89.021182,Express Exterior,11-2023,11-2023,2023,Business,0.1,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot No Light,0.05,Easy In & Easy Out,0.15,14 - 10 Vehicles,0.075,Less Than 12 Vehicles,0.05,2,0.1,More Than 500 Feet Both Directions,0.15,30 - 40 MPH,0.1,1.075,2.5,0.0,0.492,-0.0174,0.559,0.04425,5.0,0.0,0.0067125,19660.0,0.0,0.0,0.0,12.0,84.0,7684.587830917571,,0,0.1,0.05,0.05,4088.0,5396.0,5841.0,6054.0,6532.0,6072.0,7255.0,7630.0,7612.0,7638.0,4512.0,5874.0,6139.0,6377.0,5857.0,5730.0,434,380,588.0,,,454,12,8,8,0,0,6532.0,78384.0,214.8,67.4,87.4,26.64,,False
Sonny's Express Exterior Proforma_0695w00000NQsShAAL.xlsx,Thoroughbred Campbellsville,thoroughbredcw_000304,6.0,KY,37.33921,-85.355993,Express Exterior,11-2023,11-2023,2023,Shopping,0.15,One in 4 Miles,0.15,More Than 70 Hours,0.15,Corner Lot Without Light,0.125,Easy In/Out With Divided Highway,0.1,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,30 - 40 MPH,0.1,1.2,2.3,0.0,0.49,-0.018,0.6,0.0749999999999999,5.0,0.0,0.0142499999999999,17402.0,,,,12.0,84.0,7774.244047891132,,0,0.1,0.1,0.125,4361.0,5755.0,6229.0,6457.0,6967.0,6201.0,7496.0,7606.0,7619.0,7594.0,4722.0,6219.0,6270.0,6540.0,5967.0,5940.0,2156,3259,3670.0,,,3570,12,12,8,0,0,6967.0,83604.0,229.1,71.9,91.9,28.01,,False
Sonny's Express Exterior Proforma_0695w00000D8SHiAAN.xlsx,Suds Deluxe Tomball,sudsdeluxe_000305,1.0,TX,30.114038,-95.554531,Express Exterior,12-2020,12-2020,2020,Business,0.1,One in 2 Miles,0.075,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In & Easy Out,0.15,More Than 20 Vehicles,0.15,12 - 20 Vehicles,0.1,3 or More,0.15,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.15,3.0,0.0,0.503,-0.0141,0.898,0.2985,5.0,0.0,0.0711,26100.0,0.11,0.11,0.11,12.0,84.0,8705.079082945807,,0,0.15,0.1,0.075,6619.0,8736.0,10496.0,10880.0,11739.0,6512.0,8296.0,8805.0,9259.0,9456.0,6494.0,9014.0,9507.0,10410.0,9732.0,8711.0,7426,9486,9068.0,9289.0,8015.0,7312,12,12,12,12,12,11739.0,140868.0,385.9,121.1,141.1,43.01,,False
Sonny's Express Exterior Proforma (As is)_0695w00000AAGRMAA5.xlsx,Waterworks Express Car Wash,rivercities_000269,1.0,WI,45.089664,-87.650392,Express Exterior,12-2020,12-2020,2020,Business,0.1,One in 4 Miles,0.15,More Than 70 Hours,0.15,Corner Lot Without Light,0.125,Easy In & Easy Out,0.15,Less Than 10 Vehicles,0.05,Coin or None,-0.25,Live Person,0.0,More Than 500 Feet Both Directions,0.15,Less Than 30 MPH,0.15,0.7750000000000001,2.2,0.0,0.099,-0.1353,0.598,0.0734999999999999,5.0,0.0,-0.01545,17032.0,0.0,0.0,0.0,12.0,84.0,7426.493019509199,,0,0.0,-0.25,0.125,2497.0,3296.0,3567.0,3698.0,3990.0,5844.0,7008.0,7383.0,7374.0,7399.0,895.0,1169.0,1224.0,1273.0,1169.0,1141.0,3112,4572,5052.0,4255.0,3912.0,3480,12,12,12,12,12,3990.0,47880.0,131.2,41.2,61.2,18.65,,False
Sonny's Express Exterior Proforma_069f200000960PmAAI.xlsx,Soapy Shark Okeechobee,soapyshark_000467,1.0,FL,26.706031,-80.08515,Express Exterior,12-2022,12-2022,2022,Business,0.1,One in 2 Miles,0.075,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In Or Easy Out One Way,0.05,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,40 - 50 MPH,0.05,0.925,2.2,0.0,0.504,-0.0138,0.614,0.0854999999999999,5.0,0.0,0.0179249999999999,53091.0,0.02,0.02,0.02,12.0,84.0,7142.306324111784,13992.916666666666,1,0.1,0.1,0.075,10292.0,13584.0,14997.0,15546.0,16773.0,5832.0,6917.0,7044.0,7170.0,7231.0,4463.0,5767.0,5836.0,6185.0,5710.0,5484.0,5150,8868,8953.0,7678.0,,7751,12,12,12,7,0,16773.0,201276.0,551.4,173.0,193.0,58.83,,False
