client_id_location_id,calendar_year,actual,predicted,n_months,abs_error,hit
luvcarwash_50,2024,77546.0,122579.0331125174,11,45033.0331125174,0
luvcarwash_50,2025,98318.0,122906.15738848226,11,24588.157388482257,0
luvcarwash_54,2025,214979.0,122102.82484175352,11,92876.17515824648,0
luvcarwash_728b1259977f18dcbad480ce0870c40bff7f1233aef3e020087ee925ad24dacb,2024,54427.0,132210.0373321746,12,77783.0373321746,0
luvcarwash_728b1259977f18dcbad480ce0870c40bff7f1233aef3e020087ee925ad24dacb,2025,58326.0,112354.88376270184,10,54028.88376270184,0
luvcarwash_9c1af8af11c0258b74ccced5e031e45cd0d15862fef95d2b865aa6b926645345,2024,105683.0,77060.99154585673,12,28622.008454143273,0
mach1expresswash_6,2024,118337.0,148459.3092042161,12,30122.309204216086,0
mach1expresswash_6,2025,120186.0,147753.97474921562,12,27567.974749215617,0
magicbrush_3,2024,37406.0,56769.77270539568,12,19363.772705395677,1
magicbrush_3,2025,31612.0,50279.600713095504,12,18667.600713095504,1
michiganwashcollc_29cfbf06b76c497d2ee0e60a73400f07b54210ac3d7a64a0ce7d38e036fe4704,2024,83210.0,108567.46689319614,12,25357.466893196135,0
michiganwashcollc_540fa11a6bf835a369a2113f84daac981cd5e381bc0b4d2fc403efa6903aa71c,2024,110600.0,36427.15999314892,12,74172.84000685108,0
mightywash_4329ad575ba1b3aa800f3b8e18a94de2b08ff061949bbb009ea54571232ae311,2024,143437.0,179611.776814877,12,36174.776814877,0
mintexpresscarwash_1,2024,142841.0,107438.35515158938,12,35402.64484841062,0
mintexpresscarwash_1,2025,132354.0,108031.24709864732,12,24322.75290135268,0
misticexpresscarwash_2,2024,39458.0,32999.00218859981,12,6458.997811400193,1
misticexpresscarwash_2,2025,44932.0,33074.57368097918,12,11857.426319020822,1
mrcleancarwash_11,2024,108404.0,128518.47101049998,12,20114.471010499983,0
mrcleancarwash_11,2025,99983.0,115698.47991725049,12,15715.479917250486,1
mrcleancarwash_14,2024,85044.0,119665.32034108597,12,34621.32034108597,0
mrcleancarwash_14,2025,68684.0,107384.53441431056,12,38700.53441431056,0
mrcleancarwash_6,2024,84366.0,73843.34654202979,12,10522.653457970213,1
mrcleancarwash_6,2025,60196.0,72836.59659011352,12,12640.59659011352,1
oilstop_aa79b8d07ee9fe541c12784960200bc07e14b0dd484180b3d936b701e870cd16,2024,144010.0,106319.2575739061,12,37690.7424260939,0
oilstop_b8849068a00b4ad5d448fc3586ee426a9bb3107fbb76f975d9b4cc03d79853e6,2024,86858.0,38624.19651938705,12,48233.80348061295,0
olliewash_1,2024,181346.0,63862.72493021768,12,117483.27506978232,0
olliewash_1,2025,177642.0,63270.9310957957,12,114371.0689042043,0
papabear_1,2024,284055.0,196143.9018379266,12,87911.09816207341,0
papabear_1,2025,326761.0,195248.54371953988,12,131512.45628046012,0
pastimeautowash_1,2024,32704.0,80574.18514921251,12,47870.18514921251,0
pastimeautowash_1,2025,31422.0,79960.00328476403,12,48538.003284764025,0
pelicanautowash_1,2024,40057.0,67710.09853859337,12,27653.098538593375,0
pelicanautowash_1,2025,43606.0,67155.36847869396,12,23549.368478693956,0
prestigeautospa_1,2024,87627.0,66799.70136942642,12,20827.298630573583,0
prestigeautospa_1,2025,86008.0,66630.42234006988,12,19377.577659930117,1
quicknclean_da71772e6d0af388e68a7b1f6d3a56f71385f0e891707c19d22a257ad328bb14,2024,110409.0,120244.55546141908,12,9835.555461419077,1
racewaycarwash_3373a2d0ef0457583cf26ec9e262b1535106c5955ba5bc2b0ed24de7ae559a38,2024,148932.0,125868.95379548217,12,23063.04620451783,0
radiantexpresscarwash_3,2024,179617.0,115936.02438423847,12,63680.975615761534,0
radiantexpresscarwash_3,2025,163847.0,117157.7863445775,12,46689.2136554225,0
radiantexpresscarwash_6,2024,202447.0,219349.99678813404,12,16902.99678813404,1
radiantexpresscarwash_6,2025,187745.0,199626.6878058385,12,11881.687805838505,1
ridethru_1,2025,60437.0,117027.15597826592,10,56590.15597826592,0
riptide_2,2024,114687.0,95302.80794165097,12,19384.19205834903,1
riptide_2,2025,141126.0,94519.48834315472,12,46606.51165684528,0
roadrunnerexpress_1,2024,82417.0,96396.43221634686,12,13979.43221634686,1
roadrunnerexpress_1,2025,111026.0,95781.38790198174,12,15244.61209801826,1
rocketcarwash_4a368357015caf0983845d7268c485f97c318c6b09f9b82b2da4b8cabe8ff927,2024,155287.5,73749.67918415705,12,81537.82081584295,0
rocketwash2_3,2024,66147.0,99469.47817899942,12,33322.478178999416,0
rocketwash2_3,2025,71146.0,99492.09517501958,12,28346.09517501958,0
rocketwash2_7,2024,190188.0,154284.22178535056,12,35903.77821464944,0
rocketwash2_7,2025,214061.0,157454.88311118176,12,56606.116888818244,0
seafordcarwash_1,2024,41880.0,39141.12287533989,12,2738.87712466011,1
seafordcarwash_1,2025,40120.0,38726.21933906159,12,1393.7806609384133,1
snappykedzieexpresswash_1,2024,128670.0,95234.56069990325,12,33435.439300096754,0
snappykedzieexpresswash_1,2025,142011.0,95659.02702582878,12,46351.97297417122,0
soapatopia_4,2024,26151.0,72471.0428341766,12,46320.042834176595,0
soapatopia_4,2025,38644.0,65093.275377289116,12,26449.275377289116,0
sourceonecarwashadvisors_234de8168ad707816d38830e2bdcfc826c36d039f44a969710b3294bf2ee37f5,2024,76649.0,122083.19319955724,12,45434.19319955724,0
sudsdeluxe_1,2024,142313.0,106403.88477692052,12,35909.11522307948,0
sudsdeluxe_1,2025,127291.0,107536.86263894373,12,19754.137361056273,1
sudsdeluxe_5,2024,159563.0,109486.2153921942,12,50076.78460780581,0
sudsdeluxe_5,2025,134493.0,106894.00164449746,12,27598.99835550254,0
sudstop_1,2025,142156.0,54912.59786357444,10,87243.40213642556,0
sudstop_d61dd6f92bb11bfd9f6ec746cea13cc7489766c9de986032e86f77352f40511d,2024,68451.0,138952.01233909623,12,70501.01233909623,0
sunsetcw_1,2024,58649.0,112533.20606603319,12,53884.20606603319,0
sunsetcw_1,2025,58363.0,112423.38559411836,12,54060.38559411836,0
superspray_1,2024,25467.0,45667.99264901217,12,20200.992649012172,0
superspray_1,2025,25868.0,44764.47789507397,12,18896.47789507397,1
theautospa_1,2024,63484.0,78572.83199445084,12,15088.83199445084,1
theautospa_1,2025,57459.0,78421.99788412382,12,20962.99788412382,0
thoroughbred_21,2025,70580.0,149283.76932055663,10,78703.76932055663,0
tidalwave_2b0b251eedf29874263a6041816ee4a926599049e531a8c8122df2ba46e1feef,2024,71675.0,131672.26021641493,12,59997.26021641493,0
tidalwave_376f5ff0b1fd16725f96e7cd8cda0d657b40054d0ea5fe08eba1651b7b2e0164,2024,55264.0,132222.48480216917,12,76958.48480216917,0
tidalwave_376f5ff0b1fd16725f96e7cd8cda0d657b40054d0ea5fe08eba1651b7b2e0164,2025,72107.0,117670.43305273954,11,45563.433052739536,0
tidalwave_496eca5de76b336ce6324ba1d91edc5c675c585c75f7451f750e25b23eeee026,2024,41347.0,129208.04452649578,12,87861.04452649578,0
tidalwave_587131d1742e5607ee037bc9700e7f7714e9dcab727bd9b6834751b0bad82ead,2024,37945.0,146273.59476529626,12,108328.59476529626,0
tidalwave_5b0888aceaec1d3eedf3c970b783c76433d3b46b013df53b782c975aacbcca12,2024,66377.0,127297.98838267753,12,60920.98838267753,0
tidalwave_5b0888aceaec1d3eedf3c970b783c76433d3b46b013df53b782c975aacbcca12,2025,104278.0,122801.7886094031,12,18523.7886094031,1
tidalwave_fa9f42f95298721ec5f53de27bdfedba00edce3bcd689369c96f78655437709f,2024,57640.104999999996,133757.0005163952,12,76116.8955163952,0
tidalwave_fa9f42f95298721ec5f53de27bdfedba00edce3bcd689369c96f78655437709f,2025,82939.0,132595.1960010737,12,49656.196001073695,0
tigerwash_1,2024,83199.0,96900.60489099611,10,13701.60489099611,1
tigerwash_1,2025,121599.0,94288.657643827,10,27310.342356173,0
touch&gocarwash_1,2024,115518.0,120551.11668919737,12,5033.11668919737,1
touch&gocarwash_1,2025,115211.0,119944.23108930873,12,4733.231089308727,1
trushine_1,2024,67186.0,85281.35106356576,12,18095.35106356576,1
trushine_1,2025,70474.0,85048.74869184993,12,14574.748691849934,1
trushine_5,2024,81837.0,84775.00923315046,12,2938.0092331504566,1
trushine_5,2025,100145.0,86059.85562704936,12,14085.144372950643,1
tsunamicarwash_3,2024,219901.0,142105.16869264675,12,77795.83130735325,0
tsunamicarwash_3,2025,300934.0,142086.3013147732,12,158847.6986852268,0
tsunamicarwash_9,2024,196951.0,154829.7349698118,12,42121.265030188195,0
tsunamicarwash_9,2025,291234.0,141107.84051146568,12,150126.15948853432,0
uscarwash_1,2024,15180.0,59192.8148041945,12,44012.8148041945,0
uscarwash_1,2025,16585.0,50808.26339841652,12,34223.26339841652,0
vicscarwash_1,2024,55122.0,96141.5628897883,12,41019.5628897883,0
vicscarwash_1,2025,57894.0,94133.35751526112,12,36239.357515261116,0
washrite_3,2024,131699.0,169284.15654297295,12,37585.15654297295,0
washrite_3,2025,143241.0,165196.46217550634,12,21955.46217550634,0
washrite_5,2024,203296.0,153340.92903433717,12,49955.07096566283,0
washrite_5,2025,199825.0,139078.42428489652,12,60746.57571510348,0
washrite_7,2024,201305.0,161904.40123423166,12,39400.59876576834,0
washrite_7,2025,231308.0,149866.48012019752,12,81441.51987980248,0
washup_2,2024,56501.0,93752.07128965326,12,37251.071289653264,0
washup_2,2025,54968.0,94829.60046503737,12,39861.600465037365,0
washworksexpress_1,2024,32848.0,102911.86682732664,12,70063.86682732664,0
washworksexpress_1,2025,28134.0,102911.86682732664,12,74777.86682732664,0
waterscarwash_1,2024,268670.0,182214.3710701071,12,86455.6289298929,0
waterscarwash_1,2025,295257.0,182392.5050239115,12,112864.49497608849,0
waterwayscarspa_1,2024,24130.0,116319.86465178823,12,92189.86465178823,0
waterwayscarspa_1,2025,20259.0,116769.2677902868,12,96510.2677902868,0
wetrabbitexpresscarwash_3,2024,125333.0,117024.88260422194,12,8308.117395778056,1
wetrabbitexpresscarwash_3,2025,133972.0,118537.31152579872,12,15434.688474201277,1
zipsexpresscarwash_1,2024,125666.0,127303.27445404333,12,1637.2744540433341,1
zipsexpresscarwash_1,2025,164601.0,122608.50384584068,12,41992.49615415932,0
