key,n_excluded,pred_y1,pred_y2,pred_y3,pred_y4,pred_y5,plateau,model_plateau,anchor_level,n_local_mature,proxy_used,region,mature,mean_y1,mean_y2,mean_y3,mean_y4,mean_y5,size_y1,size_y2,size_y3,size_y4,size_y5,open_idx,open_year,cal,ramp1,ramp2,ramp3,ramp4,ramp5,cal_y1,cal_y2,cal_y3,cal_y4,cal_y5
luvcarwash_000457::49,2,4766.348152471445,5824.961038344442,5881.617284276729,5819.553480975555,5750.374954255884,6056.506849915366,7016.914688691698,6124.307692307692,7,True,South,9274.5,10246.416666666666,10323.5,10757.333333333334,,,12.0,12.0,6.0,,,24289,2024,6404.475010924637,0.7869797344550268,0.9617690828543917,0.9711236906070567,0.9608762319911978,0.9494540494635518,4927.69693372007,6367.366095925138,,,
luvcarwash_000457::5,1,8094.907469762208,10801.464425948445,10591.60949820142,9663.38185395371,9367.253721436482,11108.383953179658,7785.386264067501,13080.53846153846,6,True,West,8517.0,11646.083333333334,13992.833333333334,12124.0,8641.0,,12.0,12.0,12.0,12.0,,24271,2022,9122.139802131402,0.7287205325168047,0.9723704610387219,0.9534788807124085,0.869917883166765,0.8432598081699547,6599.39051264839,9316.705253314598,9367.818866377696,8325.785238619219,
luvcarwash_000457::50,2,4766.348152471454,5824.961038344453,5881.617284276738,5819.553480975565,5750.374954255894,6056.506849915377,7016.914688691711,6124.307692307692,7,True,South,5882.5,5743.75,6741.083333333333,6599.2,,,12.0,12.0,5.0,,,24290,2024,6324.8247446362,0.7869797344550269,0.9617690828543918,0.9711236906070564,0.9608762319911976,0.9494540494635518,4899.1194503349925,6344.385370274679,,,
luvcarwash_000457::51,1,9113.534637433748,12955.914810480652,13455.294155892092,13352.72810221859,13501.411667956876,13471.40232932245,8110.09445247682,16283.223214285714,4,True,West,20701.0,19328.333333333332,20028.583333333332,18114.0,,,12.0,12.0,1.0,,,24294,2024,11086.91175133107,0.6765097214561564,0.9617346801587414,0.998804268996161,0.991190655270866,1.002227632870047,7469.202753672518,11382.625944782032,,,
luvcarwash_000457::52,1,6743.713642227206,8767.713361036725,8435.928759342505,7545.608257810753,7273.6372146649,8974.083213845412,8974.083213845412,,0,False,West,20386.5,18773.5,20827.666666666668,19669.0,,,12.0,12.0,1.0,,,24294,2024,10153.002672792898,0.7514654680071227,0.9770037954974282,0.9400323752656282,0.8408221851753306,0.8105159091285196,7551.212260472049,10418.966138646934,,,
luvcarwash_000457::53,1,5545.957354460352,6585.78642712973,6768.612468393068,6992.339212985313,7116.955864741936,6802.537339233307,7314.995982927829,7054.384615384615,23,True,South,7829.0,3923.25,8389.25,9221.666666666666,,,12.0,12.0,3.0,,,24292,2024,7482.920993204697,0.8152777526812399,0.9681367552584422,0.9950129092795157,1.0279016290961511,1.0462207717251673,6037.95539941828,7721.016286067351,,,
luvcarwash_000457::54,1,7770.802878450544,9739.359558566715,10027.970868074435,10108.722552822068,10075.705149156747,10183.443419471389,10264.810225013896,10207.26923076923,10,True,South,14453.0,14354.416666666666,15311.666666666666,15334.0,,,12.0,12.0,5.0,,,24290,2024,12383.277714097594,0.7630820497899833,0.9563915816475637,0.9847328113887607,0.9926625146749036,0.9894202514928655,9290.305340529218,12455.221951621654,,,
luvcarwash_000457::55,1,9775.620561223015,14493.60290947766,15294.030670205144,15309.003466664226,15433.13377549994,15174.005593116535,9102.548757330622,18610.131868131863,4,True,West,30447.0,26077.5,29199.166666666668,26883.0,,,12.0,12.0,1.0,,,24294,2024,12610.586981282899,0.6442346749666141,0.9551599820190175,1.0079099138557757,1.0088966537358421,1.0170771113001933,7981.612044840575,12858.43214399174,,,
luvcarwash_000457::56,1,9799.01411705003,14486.996316939774,15404.970267283526,15567.018812454948,15770.766485589407,15160.203280186632,8742.643041277755,20351.69230769231,5,True,West,16731.5,15362.25,18316.75,16084.666666666666,,,12.0,12.0,3.0,,,24292,2024,13894.643181723826,0.6463642957780575,0.9555938036710435,1.0161453631309014,1.0268344378205005,1.0402740777361963,8943.641310047224,14156.76578800258,,,
luvcarwash_000457::57,1,10428.412012206398,14964.284011695188,15526.91816376764,15240.511874910835,15251.89973904944,15583.875936679491,8844.594494472183,20508.666666666668,3,True,West,18755.5,17408.083333333332,18218.916666666668,,,,12.0,12.0,,,,24295,2024,12524.432926129724,0.6691796093975074,0.9602414747459597,0.9963450830112301,0.9779667097477024,0.9786974563337812,8249.103522394005,12543.212449824476,,,
