source_file,m5_mature,m5_y1,m5_y2,m5_y3,m5_y4,m5_y5
Sonny's Express Exterior Proforma Fischer Park Dr._0695w00000OwhmfAAB.xlsx,4372.744814055024,3633.955046710541,4616.6114552913305,4625.670187080319,4865.917196076554,4480.5856017381575
Sonny's Express Exterior Proforma Update_0695w00000HJAnSAAX.xlsx,4288.853491294793,3690.23396685631,4441.193603423379,4466.607739541852,4513.843736592884,4150.712329556675
"Sonny's Express Exterior Proforma _3373 SE Federal Hwy, Stuart, FL 34997_069Uc0000038IUHIA2.xlsx",9360.865857942961,7822.708187838539,9893.557014991531,9579.549976010634,9547.077184367741,8512.624924629534
Sonny's Express Exterior Proforma_0695w0000097m9tAAA.xlsx,8984.856689047934,6750.827919512314,9536.46926477488,9610.659834252785,9648.15914017685,8884.920052819036
Sonny's Express Exterior Proforma_0695w0000097obzAAA.xlsx,3839.622158552285,3554.0309765336283,4142.785769418049,3933.0275146804506,3969.0710029365555,3603.050875519117
Sonny's Express Exterior Proforma_0695w0000097tEHAAY.xlsx,7510.4309532129355,5745.597334015861,7807.698278453312,8644.847651855474,10359.638298754726,10277.280484929357
Sonny's Express Exterior Proforma_0695w0000097wpaAAA.xlsx,12184.263661220288,8910.3762250076,12565.812309674719,13010.492706024766,13770.292511086715,12602.947018656214
Sonny's Express Exterior Proforma_0695w000009med9AAA.xlsx,5461.652365318271,4150.961888582061,5807.464545857294,5796.44781389542,5743.820809208328,5258.246138470082
Sonny's Express Exterior Proforma_0695w000009mphMAAQ.xlsx,10086.142121634568,7415.946647891819,10411.7783834506,11021.889045127251,12070.719476091768,11272.400349737536
Sonny's Express Exterior Proforma_0695w000009mpupAAA.xlsx,3560.685351688864,2908.5889632604653,3746.880729939748,3968.332689412153,4560.898726505679,4440.166955160267
Sonny's Express Exterior Proforma_0695w000009ncIkAAI.xlsx,7660.2373780955395,5090.27510807863,7982.86399004211,8310.29707558502,8538.711084548957,7828.949567216301
Sonny's Express Exterior Proforma_0695w00000A9eDQAAZ.xlsx,7058.261346005925,5411.406905269665,7340.506540774005,7491.062412681745,7854.471498188886,7166.470231168683
Sonny's Express Exterior Proforma_0695w00000AA9l6AAD.xlsx,5195.859284761541,3785.0407956962163,5488.46154968543,5556.497721027261,5576.156797802905,5108.667266005462
Sonny's Express Exterior Proforma_0695w00000AAVe5AAH.xlsx,8408.61673262744,6356.391819852918,8722.720221673253,9708.954684373688,11671.74577625663,11587.462328629446
Sonny's Express Exterior Proforma_0695w00000AOKRXAA5.xlsx,12628.08056930571,8261.595918250934,13131.119466056058,13842.929322019132,14608.37322154071,13609.70006847796
Sonny's Express Exterior Proforma_0695w00000AP7usAAD.xlsx,4018.9986615044677,2908.563849582469,4241.072599810184,4227.44740877488,4142.311593887416,3737.2578413064707
Sonny's Express Exterior Proforma_0695w00000CDgIcAAL.xlsx,4505.007107647027,3057.985442593403,4709.0340713325595,4840.245079758722,4891.0704387551,4453.659070639803
Sonny's Express Exterior Proforma_0695w00000CE2D0AAL.xlsx,3449.3153416414816,2685.267462544088,3531.5802402702125,3707.8998049387146,3864.2373495979264,3548.694535952382
Sonny's Express Exterior Proforma_0695w00000CFRZEAA5.xlsx,1486.7050821411685,1333.8684396532226,1548.6005771931318,1535.7000182963025,1557.5792431876469,1420.1008642206148
Sonny's Express Exterior Proforma_0695w00000D8SHiAAN.xlsx,8711.191827078184,6494.336391897988,9014.3402487316,9507.399260175142,10409.64950806048,9731.729376807585
Sonny's Express Exterior Proforma_0695w00000D8vi4AAB.xlsx,4586.568051707345,3875.4489153919676,4739.377400286499,4954.810105815493,5344.8225660292455,5103.5180047516
Sonny's Express Exterior Proforma_0695w00000DyF6PAAV.xlsx,8119.038665808514,6060.394012717368,8403.423329769053,8703.29234443468,9250.966720414357,8492.314329914969
Sonny's Express Exterior Proforma_0695w00000DzJq4AAF.xlsx,6922.569129342095,5601.295822914703,7271.450121732851,7262.66753381009,7513.929092877509,6832.18736611089
Sonny's Express Exterior Proforma_0695w00000EPxlQAAT.xlsx,9461.435597632237,7012.209896284584,10020.844629196998,10135.856476986519,10211.632435495017,9402.106760013568
Sonny's Express Exterior Proforma_0695w00000EwmfXAAR.xlsx,3730.08447042155,3267.1371976659757,3979.118684262965,3876.633931027503,3981.631822895431,3631.95191699087
Sonny's Express Exterior Proforma_0695w00000FIVssAAH.xlsx,6421.722015069128,4822.017490790291,6549.630462649577,7097.268973676483,7676.655219487652,7165.244090540157
Sonny's Express Exterior Proforma_0695w00000FT0KlAAL.xlsx,4206.700807351245,3103.2146915286485,4452.199444102461,4597.473509710676,4800.182347668103,4513.239397883554
Sonny's Express Exterior Proforma_0695w00000HGlE6AAL.xlsx,6521.981933771995,4879.749019822495,6917.8214370906335,6941.590220543043,6911.535934282341,6329.083504596313
Sonny's Express Exterior Proforma_0695w00000IU8STAA1.xlsx,7909.453184190345,6016.534344419692,8214.09936296032,8359.058188831777,8704.814067335341,7904.144917040407
Sonny's Express Exterior Proforma_0695w00000IUcprAAD.xlsx,2900.747637495173,2372.748447794972,3121.727971920632,3039.6212867539393,2947.8168698019676,2698.7611974132715
Sonny's Express Exterior Proforma_0695w00000IV7VYAA1.xlsx,5414.783050144405,4693.2161517728355,5764.150790644222,5653.565245700343,5844.0870800464145,5345.949165081917
Sonny's Express Exterior Proforma_0695w00000IWL8vAAH.xlsx,5897.423440532955,4910.596339273197,6228.665343880399,6146.721556103174,6312.005703175227,5728.365561140426
Sonny's Express Exterior Proforma_0695w00000JZlgYAAT.xlsx,5240.37824212011,4462.462096596588,5559.091960480687,5478.768527991643,5595.173939079967,5108.799357504647
Sonny's Express Exterior Proforma_0695w00000Lzv2xAAB.xlsx,5226.578263357864,4074.9226620003274,5452.207228232815,5452.219328732113,5590.730578661826,5044.792982133934
Sonny's Express Exterior Proforma_0695w00000M2PM8AAN.xlsx,7834.99824420411,6547.6877419183,8280.887477007844,8707.39923521533,9975.039317463206,9707.162259551684
Sonny's Express Exterior Proforma_0695w00000M3aHzAAJ.xlsx,6065.688147215364,4975.508332054781,6246.448941393427,6416.733001948478,6585.533371978138,6051.7121605176035
Sonny's Express Exterior Proforma_0695w00000NQGu9AAH.xlsx,7175.255083489881,5581.9410892273245,7481.997949254574,7730.092738951661,8324.872246426148,7731.736404033883
Sonny's Express Exterior Proforma_0695w00000NQbdyAAD.xlsx,5614.914126899492,3837.205047234573,5874.937954401225,6022.905950124193,6083.308058410105,5541.667532611392
Sonny's Express Exterior Proforma_0695w00000NQsShAAL.xlsx,5939.903846737463,4721.868870887245,6218.5883330231,6270.264522778722,6540.217100433938,5966.9592506408035
Sonny's Express Exterior Proforma_0695w00000NRHDmAAP.xlsx,4149.195519042594,3230.130261998993,4248.153876973403,4587.358375901968,5007.931314998198,4728.953651314318
Sonny's Express Exterior Proforma_0695w00000NRsyVAAT.xlsx,6015.76848996867,4604.995302309533,6254.572031068614,6495.1891662972575,7007.392376822564,6505.995167968832
Sonny's Express Exterior Proforma_0695w00000NRw9rAAD.xlsx,17910.59542693193,13653.489198584542,18607.641783329087,19598.79094352477,21590.747550527765,20296.753033997426
Sonny's Express Exterior Proforma_0695w00000NS2LnAAL.xlsx,7380.567399728594,5744.084700524473,7696.681269250346,7990.458053493861,8671.49324023514,8091.313460373461
Sonny's Express Exterior Proforma_0695w00000NS46vAAD.xlsx,7378.909682228862,5348.431711496015,7788.478552091106,7525.130250200557,7068.556639345912,6234.697998961516
Sonny's Express Exterior Proforma_0695w00000NTLEfAAP.xlsx,12317.070350856262,8777.044080184767,12967.285560798184,12738.342675644793,12211.46067603156,10863.954357001792
Sonny's Express Exterior Proforma_0695w00000NTSyBAAX.xlsx,9825.346026103827,6945.456884306125,10331.593344322468,10177.748828004274,9785.911346121522,8712.111924614566
Sonny's Express Exterior Proforma_0695w00000NTTWNAA5.xlsx,9026.670256683594,6524.836066580698,9523.717543009443,9307.027139760217,8872.303673913533,7882.615766887301
Sonny's Express Exterior Proforma_0695w00000OuG88AAF.xlsx,4802.490801095618,3693.9239333069277,5116.319287469277,5085.585395139195,5020.619813549932,4595.135179980958
Sonny's Express Exterior Proforma_0695w00000Q9fLQAAZ.xlsx,4237.857649525297,3203.57543381291,4502.348509890247,4522.020759144237,4526.00238864399,4164.185333137026
Sonny's Express Exterior Proforma_0695w00000ShakSAAR.xlsx,3979.333493004333,3337.0295483939703,4208.619263556955,4023.4976957132076,3945.175018706889,3485.968798646651
Sonny's Express Exterior Proforma_069f2000005RKKcAAO.xlsx,6278.685391381757,4913.4087977461,6432.061515481985,6883.747158994987,7410.947695176708,6947.477872137693
Sonny's Express Exterior Proforma_069f2000005RXyRAAW.xlsx,6150.240194157096,5150.271658360964,6348.53503977148,6463.052109010707,6590.06370182699,6057.5641889645585
Sonny's Express Exterior Proforma_069f2000005YrmtAAC.xlsx,7969.047254563897,5984.331624474093,8256.979338055049,8490.907027820791,8942.015512645246,8166.565228374588
Sonny's Express Exterior Proforma_069f2000005ZqijAAC.xlsx,4736.817962971957,3800.267123634634,4865.840689574091,5045.817561940591,5213.319631693038,4789.364362185392
Sonny's Express Exterior Proforma_069f2000005aZWaAAM.xlsx,5304.1522087603125,4305.260938630127,5700.807378255118,5496.115613951553,5252.224800217212,4760.822081677018
Sonny's Express Exterior Proforma_069f2000005bE4vAAE.xlsx,6423.807777301898,4483.712944558172,6742.091044862708,6941.091105937102,7086.398899750105,6517.268440485155
Sonny's Express Exterior Proforma_069f2000005bnKZAAY.xlsx,2909.7295017191623,2278.2439145099233,2980.9829314642607,3122.5276537605487,3248.948028169097,2983.8505088051807
Sonny's Express Exterior Proforma_069f2000007NfTCAA0.xlsx,5012.724825003695,4250.28255299839,5165.244065187206,5250.498207249925,5385.40740477147,4913.339733319225
Sonny's Express Exterior Proforma_069f2000007OHDbAAO.xlsx,7232.823935257762,5397.802663435434,7485.901687980532,7579.323544626131,7784.130814013735,7000.714754426321
Sonny's Express Exterior Proforma_069f2000007OO9hAAG.xlsx,6596.756949949998,5240.221739586753,6717.195402309765,7079.14756248269,7454.171449960806,6866.805447056231
Sonny's Express Exterior Proforma_069f2000007PSrqAAG.xlsx,5951.912812926106,4200.70657713267,6257.106494949503,6416.065205640053,6525.212456337222,5997.080175152935
Sonny's Express Exterior Proforma_069f2000007PVkwAAG.xlsx,5070.605606839689,4194.328680853463,5201.011221236287,5330.6395740831,5474.503743681261,4985.862717518862
Sonny's Express Exterior Proforma_069f2000008KdYrAAK.xlsx,6530.455001681066,5511.604291028091,6915.371581305972,7244.892194325985,8311.66505357414,8117.488309423129
Sonny's Express Exterior Proforma_069f200000960PmAAI.xlsx,5484.183234528604,4462.772817988244,5766.782275667956,5835.8819792361255,6185.06664054758,5710.200061634302
Will Ream Proforma - Southern_069f2000004wAxRAAU.xlsx,11984.660711504019,9136.06899562751,12451.080943912844,13437.311405011647,15415.723276691424,14868.888866965151
