key,n_excluded,pred_y1,pred_y2,pred_y3,pred_y4,pred_y5,plateau,model_plateau,anchor_level,n_local_mature,proxy_used,region
bigpeachcw_000300::4,1,4125.541400152793,5073.190192231904,5395.178038389372,5791.993831824067,6015.088392389619,5282.211334872573,6109.356588281825,5837.115384615385,4,True,South
bigpeachcw_000300::5,1,6955.893710048334,8369.408313414791,8991.69028059466,9951.22697012243,10572.706167480044,8671.26432975801,8671.26432975801,10312.846153846154,1,False,South
bigpeachcw_000300::7,1,7033.660433409675,8837.917423208126,9143.776761892916,9279.344715853384,9284.35976870552,9246.032472156206,6647.815079495703,11142.23076923077,5,True,South
bigpeachcw_000300::9,1,4037.2731664955018,4703.635082261481,4637.808043353118,4515.945117825588,4444.198232652335,4836.561918855328,5701.665375233445,5237.115384615385,4,True,South
bigrivercw_000344::1,1,7133.408051920634,8084.179496800677,7976.229979430412,7890.554034790584,7863.363632732365,8256.862506858322,8256.862506858322,,0,False,South
bigrivercw_000344::3,1,7043.777887328005,8073.827162825929,8007.027627049857,7939.519241007079,7912.386546542223,8269.37256617474,8269.37256617474,,0,False,South
bigrivercw_000344::4,1,5048.535531288907,5991.9831460393325,6192.503183093116,6459.526234700844,6615.46329177548,6188.437816429077,6188.437816429077,5457.538461538461,2,False,South
blastcw_000602::1,1,6196.436235075867,7273.216444612805,7026.504544448914,6623.877925725706,6391.557183027606,7492.063080432884,9849.011250104895,7158.333333333333,3,True,South
blueiguanacw_000349::1,1,7300.555431647113,9399.496447539366,10626.53643552688,11616.827324962722,12161.02043511124,10044.010650555749,10263.267969932433,10981.153846153846,5,True,Midwest
blueiguanacw_000349::3,1,7224.991911955737,9358.024271003973,10618.993101878876,11655.47585270844,12221.31560227114,10006.43537802508,9786.46054684261,10981.153846153846,5,True,Midwest
blueiguanacw_000349::4,1,7088.880592052112,9147.356141099868,10203.86611518757,10893.855836037086,11230.833258449717,9777.043955529649,8859.511640165903,11560.846153846154,5,True,Midwest
blueiguanacw_000349::5,1,7728.587589296148,9984.1617982329,11165.128781165857,11957.325247533656,12346.837476389275,10672.820245376322,9580.105561110797,11560.846153846154,5,True,Midwest
blueiguanacw_000349::6,1,6833.702360394778,8653.00063129285,9540.12431103302,10076.807366063344,10356.552347197658,9228.766727405897,7721.416436385769,11560.846153846154,5,True,Midwest
blueiguanacw_000349::7,1,7218.361357053804,9432.445140807644,10774.28877069427,11891.14409568222,12485.996885114995,10095.977559139314,9274.731332693,10981.153846153846,5,True,Midwest
bluepenguincw_000433::1,2,6299.2489330403105,7648.429798859656,7800.265261537344,7867.075917052178,7870.163736815482,7940.752484235332,8003.275934083362,8347.538461538461,6,True,South
bluepenguincw_000433::2,2,6910.811502253536,8322.862893950287,8982.899997672914,10092.16892983881,10867.185514420087,8624.874883694521,8624.874883694521,10432.222222222224,1,False,South
bluepenguincw_000433::3,2,4980.952620138119,5814.675991368519,5870.215627278423,5941.5171533228795,5983.484581830588,5981.857778699443,7240.83183936565,6480.692307692308,13,True,South
bluerhinocw_000596::1,1,7121.483190196867,8760.981072307164,9108.905952665687,9421.154008124093,9558.9444293011,9122.799801870038,9127.973246987913,9153.517094017094,8,True,South
blueskycw_000466::1,1,5909.966079569375,7689.358826008577,7605.697698639825,7052.498593969033,6926.433870501632,7871.416961833179,7969.146160095442,8212.76923076923,7,True,West
bluewave_000567::1,1,7439.016621322166,8212.34199657335,8004.594139884609,7874.371349383458,7846.6951425525485,8332.554234252011,8332.554234252011,,0,False,South
bluewave_000567::10,1,6274.370600031786,7115.092688051579,6535.418355603783,5790.7690869890985,5414.013875575442,7268.200655603285,7268.200655603285,8460.346153846154,2,False,South
bluewave_000567::11,1,10191.056308145093,13805.038570207184,14653.447727035593,15029.280180301035,15043.655496292711,14670.70270172221,9048.991580045828,17269.23076923077,11,True,South
bluewave_000567::12,1,10372.97063000265,13846.293838497302,14512.81764626709,14685.52748397306,14599.4620919459,14671.111238333166,9256.427153956816,16995.990384615383,10,True,South
bluewave_000567::13,1,10140.903879413056,13716.076727816591,14668.23356798327,15233.86543647245,15367.664623829778,14571.71163933056,9722.171217446676,16467.18269230769,10,True,South
bluewave_000567::14,1,10172.23822598688,13783.627857591724,14762.34097354355,15355.024371783644,15501.63046920928,14648.81326745708,9427.258647937397,16995.990384615383,10,True,South
bluewave_000567::15,1,10185.168812259222,13688.56289780259,14498.113092959124,14869.977993015296,14895.04651367614,14523.954161175316,9488.528074802967,16467.18269230769,10,True,South
bluewave_000567::16,1,8149.371595648568,9378.430227768718,8525.905927480146,7423.225990257363,6884.065158045076,9614.912628669244,9614.912628669244,21645.846153846152,1,False,South
bluewave_000567::17,1,11927.498062292963,15382.28702746283,15691.395337405716,15442.478633251749,15144.029998173572,16182.79544442434,10552.483836383872,16740.423076923078,4,True,South
bluewave_000567::18,1,8197.105904108654,8923.342097526407,8710.63351961389,8672.883554836502,8726.184733519967,9021.258485055112,9021.258485055112,,0,False,South
bluewave_000567::19,1,8815.230329256878,9565.026934339085,8668.475384415573,7667.21603497229,7190.014477527976,9661.76468923628,9661.76468923628,20689.30769230769,1,False,South
bluewave_000567::20,1,10376.73680194116,13962.97058331724,14749.298901975852,15059.942771205298,15044.33756063377,14818.724354761262,10034.833103559366,16467.18269230769,10,True,South
bluewave_000567::21,1,10536.14355840684,14263.94493260036,15084.491074938507,15385.69128110825,15349.594426179125,15156.573996791252,10233.1513695945,16995.990384615383,10,True,South
bluewave_000567::22,1,6701.605397186137,7737.013771064429,7697.624311414619,7643.774068334511,7617.787002444995,7938.2609972734335,7938.2609972734335,,0,False,South
bluewave_000567::24,1,9994.03131499794,13552.588831850708,14242.389045299817,14365.112209011992,14228.823741921697,14405.480667138305,9264.591651824554,16722.75,11,True,South
bluewave_000567::25,1,9994.03131499794,13552.588831850708,14242.389045299817,14365.112209011992,14228.823741921697,14405.480667138305,9264.59165182457,16722.75,11,True,South
bluewave_000567::26,1,9994.031314997925,13552.588831850684,14242.389045299791,14365.112209011968,14228.82374192167,14405.480667138278,9264.591651824538,16722.75,11,True,South
bluewave_000567::27,1,7022.0422975819265,8665.47220255629,8806.006220731446,8760.6483949013,8676.053600833598,9029.59956576448,7208.605996262921,9536.076923076924,15,True,South
bluewave_000567::28,1,7022.0422975819265,8665.47220255629,8806.006220731446,8760.6483949013,8676.053600833598,9029.59956576448,7208.605996262921,9536.076923076924,15,True,South
bluewave_000567::29,1,7022.0422975819265,8665.47220255629,8806.006220731446,8760.6483949013,8676.053600833598,9029.59956576448,7208.605996262908,9536.076923076924,15,True,South
bluewave_000567::30,1,7022.042297581938,8665.472202556304,8806.006220731462,8760.648394901316,8676.053600833611,9029.599565764496,7208.605996262921,9536.076923076924,15,True,South
bluewave_000567::31,1,7022.042297581938,8665.472202556304,8806.006220731462,8760.648394901316,8676.053600833611,9029.599565764496,7208.605996262921,9536.076923076924,15,True,South
bluewave_000567::32,1,7022.042297581938,8665.472202556304,8806.006220731462,8760.648394901316,8676.053600833611,9029.599565764496,7208.605996262921,9536.076923076924,15,True,South
bluewave_000567::33,1,7509.951425764847,9309.567643112525,9480.018646163562,9442.150990630282,9353.19646579849,9710.519482839543,7338.800645583526,10066.692307692309,14,True,South
bluewave_000567::34,1,6889.493427576562,8508.68440388044,8649.820372425567,8607.037413168955,8524.284624161432,8867.799631277092,7284.574705440856,9382.153846153848,14,True,South
bluewave_000567::35,1,7669.259217683514,9473.706886580829,9631.773538175872,9584.653496697778,9492.60665870827,9874.014503520342,7263.107691122741,10220.615384615385,14,True,South
bluewave_000567::36,1,6928.419978871093,8559.241749319597,8702.3662278849,8659.970503633795,8576.83987706512,8921.067133658587,7314.30351460082,9382.153846153848,14,True,South
bluewave_000567::37,1,7649.964180885764,9451.908996179349,9610.555407342852,9564.070066169576,9472.328441193784,9851.768424438696,7243.254761461399,10220.615384615385,14,True,South
bluewave_000567::38,1,6842.73137491538,8499.457083328738,8662.920030802616,8632.723423420239,8552.2864294868,8869.450190288266,7325.912845099806,9382.153846153848,14,True,South
riptideneuse_000337::2,1,4699.538781824939,5480.880565999111,5514.173416034803,5547.573313658304,5566.006647410515,5637.168651842898,6670.961694676932,5536.164835164835,4,True,South
riptideneuse_000337::3,1,6074.53988690635,6968.051304816089,7243.563498153574,7741.998062124938,8074.989901819107,7138.11588440277,9445.557667509647,6954.538461538462,3,True,South
riptideneuse_000337::5,1,7744.07800791472,9310.309617709798,10022.624627793632,11136.823364568872,11865.440701990849,9644.324949811984,9644.324949811984,7473.923076923077,1,False,South
riptideneuse_000337::6,1,6955.692852964734,8257.545996964564,8625.116536592755,9177.80911450715,9526.86466451132,8528.764313225349,8528.764313225349,17147.615384615383,1,False,South
riptideneuse_000337::7,1,5211.358521331239,6219.474029197998,6690.5959914300465,7436.933263937933,7923.543874268828,6431.660277486084,6431.660277486084,4463.115384615385,2,False,South
riptideneuse_000337::8,1,7761.240019396037,9716.669697929052,10004.103344172265,10088.459506662692,10059.03413671728,10157.269730167738,8740.600675524869,11119.81923076923,4,True,South
riptideneuse_000337::9,1,7000.4611213049475,8191.328260193557,8197.854375006036,8162.077517730984,8134.59141737437,8431.53813873116,8431.53813873116,,0,False,South
roadrunner_000462::1,1,5757.47981942213,7038.618820875033,7399.338060912153,7454.561662829067,7538.562874263704,7476.064606616617,7476.064606616617,6811.0,1,False,Midwest
roadrunner_000462::2,1,6505.645035399585,8237.68898316712,8516.9463247929,8174.089349925584,7949.177005993105,8785.83059671103,6419.098641502225,11417.153846153846,3,True,Midwest
roadrunner_000462::4,1,5437.692993782234,6619.691883124462,6970.208765405499,6937.812220580646,6926.901872307069,7027.5427544694985,7027.5427544694985,6213.615384615385,1,False,Midwest
rocketwash_000183::5,1,7117.839641854897,8514.258054907043,8388.428047861695,8090.048159493504,7899.124100754422,8809.420225675529,8809.420225675529,21977.846153846152,1,False,South
rocketwashnc_000309::10,1,7435.735079786587,8713.337603323982,8670.416679409967,8550.314312447099,8470.41423741145,8971.965331586447,8971.965331586447,6155.6923076923085,2,False,South
rocketwashnc_000309::3,1,6042.838614347897,7155.6607188225025,7377.020549467227,7668.198972573607,7836.621845416703,7386.296714543875,7386.296714543875,9804.153846153846,1,False,South
rocketwashnc_000309::4,1,5998.3617326453605,7459.762573949206,8038.054888195807,8782.896162233783,9218.56897462997,7786.5994442490655,7786.5994442490655,3841.307692307693,1,False,South
