source_file,n_excluded,pred_loo_y1,pred_loo_y2,pred_loo_y3,pred_loo_y4,pred_loo_y5,plateau_loo,proxy_loo,nmat_loo,pred_leaky_y1,pred_leaky_y2,pred_leaky_y3,pred_leaky_y4,pred_leaky_y5,plateau_leaky,proxy_leaky,nmat_leaky
Sonny's Express Exterior Proforma_0695w00000DyF6PAAV.xlsx,1,7257.358190200755,9235.999323793914,9626.259805650518,9826.664699380552,9854.88251523928,9689.199592726629,True,9,5954.792936856458,7196.90583615342,7339.370328815211,7413.239490053876,7426.097223446454,7464.108314073242,True,10
Sonny's Express Exterior Proforma_0695w00000DzJq4AAF.xlsx,1,7058.658381655557,8410.167315241843,8453.29698059054,8399.280158108464,8343.362531131914,8693.738042368825,False,2,6650.741629520534,8370.617371545184,8606.216301379776,8638.772665244478,8584.673763647812,8760.313132896526,True,3
Sonny's Express Exterior Proforma_0695w00000EPxlQAAT.xlsx,1,8464.40412005804,11101.860439973709,11300.51520542751,10933.972509717163,10998.01616212421,11381.620867271127,False,2,11219.717563557217,15038.170412827778,15450.181976136331,15081.022161854422,15188.528201738174,15477.908406049415,True,3
Sonny's Express Exterior Proforma_0695w00000EwmfXAAR.xlsx,1,4877.765737489161,5452.433932285317,5345.701055135826,5272.978326727384,5254.620424208553,5549.806330258204,False,1,5237.047457278842,5645.909484660327,5440.522913541791,5323.449111078908,5304.386812541322,5693.341411415198,False,2
Sonny's Express Exterior Proforma_0695w00000FIVssAAH.xlsx,1,6371.0535293061685,7942.353675509531,8661.040038411045,8996.960821051813,9174.05110382709,8455.505358459768,False,1,6420.610691799434,7373.912105042026,7750.716020407953,7858.531927919899,8030.535423484133,7771.733392851987,False,2
Sonny's Express Exterior Proforma_0695w00000FT0KlAAL.xlsx,1,4099.524832318562,5398.16633308835,5609.669090917738,5624.9770549137065,5777.736907554801,5538.203608158975,False,3,4667.485652701315,5680.595489071901,5649.492892663448,5395.808914347732,5470.285256628883,5740.565442310308,False,4
Sonny's Express Exterior Proforma_0695w00000HGlE6AAL.xlsx,1,5365.357322936681,6981.045445915654,7049.469675075615,6740.887144470712,6743.567103519472,7146.384039715595,False,0,4045.6019289076353,5080.101880873897,5055.6904534984205,4771.0342509891425,4769.088688176201,5165.499431049547,False,1
Sonny's Express Exterior Proforma_0695w00000IU8STAA1.xlsx,1,8092.62559848027,10140.350177504271,10384.765779617635,10385.893583027026,10302.571451279708,10602.178278462394,True,8,8035.279988122119,10071.992304418773,10316.372515067704,10318.408389792878,10235.820787218265,10531.50774335651,True,8
Sonny's Express Exterior Proforma_0695w00000IUcprAAD.xlsx,1,3397.4586005706983,4102.4895523123005,4019.927881038038,3744.072900763189,3744.679260678328,4139.215305443811,False,8,3531.796325918833,4162.445127694588,4032.1956996370095,3712.931341661792,3709.181758650978,4178.769746618817,False,8
Sonny's Express Exterior Proforma_0695w00000IV7VYAA1.xlsx,1,6292.693597663693,7093.348785662077,7001.397686396379,6950.627728151827,6946.060257384011,7235.235715121282,False,4,5262.480438209078,6001.423098319622,5955.586899938258,5927.498971999027,5924.278473466515,6139.115474808889,False,4
Sonny's Express Exterior Proforma_0695w00000IWL8vAAH.xlsx,1,6238.2029807501385,7262.233627570648,7212.156056848468,7112.691456179025,7051.860037006933,7466.089167733743,False,1,5104.218355486909,5945.472045352043,5906.047527179707,5825.416097232687,5775.70472687146,6113.1958784612025,False,1
Sonny's Express Exterior Proforma_0695w00000JZlgYAAT.xlsx,1,5978.471913951496,6835.487033631517,6779.457061975961,6649.217911639676,6632.575347062894,6996.549038689627,False,0,6806.023192637374,7908.491580466602,7901.424772052079,7781.034726469494,7762.491365025224,8123.886986050687,False,0
Sonny's Express Exterior Proforma_0695w00000Lzv2xAAB.xlsx,1,5627.1194117221685,6910.175338462152,6954.0272436624255,6848.20331253954,6750.839807579756,7192.664665580512,False,2,5299.9926110051165,6187.7920553051035,6031.199422814734,5783.886189072745,5642.775795910819,6365.867233859127,False,2
Sonny's Express Exterior Proforma_0695w00000M2PM8AAN.xlsx,2,6620.560962882493,7684.819387736165,8131.891877766793,8946.697763034359,9511.451790505487,7894.98532798245,False,2,5404.797570698341,6120.534774920109,6348.991343876044,6853.65507810205,7223.272594984423,6250.099635961275,False,3
Sonny's Express Exterior Proforma_0695w00000M3aHzAAJ.xlsx,1,6626.792076629264,7635.7030995292125,7893.61906934018,7780.332587805035,7810.733904608797,8051.032122568201,False,0,6782.9886472566395,7842.0750534383005,8120.218177424892,8013.031220965258,8043.940597743163,8272.191009015176,False,1
Sonny's Express Exterior Proforma_0695w00000NQGu9AAH.xlsx,1,7121.483190196891,8760.981072307193,9108.90595266572,9421.154008124124,9558.944429301131,9122.799801870073,True,8,5770.091219632387,6968.1394309698335,7175.072359168734,7372.992676358925,7466.071269415042,7225.534452326121,True,9
Sonny's Express Exterior Proforma_0695w00000NQbdyAAD.xlsx,1,5016.459179762808,7049.129878137338,7272.5156789639,7054.454005001632,7020.538663610117,7315.280589786044,True,11,4960.8581328381,6948.936634373513,7159.671606450088,6936.3520193474205,6901.450360877058,7207.422526391357,True,11
Sonny's Express Exterior Proforma_0695w00000NQsShAAL.xlsx,1,6201.361985031224,7495.7470159337245,7605.982681215326,7619.152148126101,7594.058268079661,7774.244047891132,False,0,5850.1855297317825,6310.780100211665,6083.033393319788,5952.977349876506,5931.671541074487,6364.825558464815,False,1
Sonny's Express Exterior Proforma_0695w00000NRHDmAAP.xlsx,1,4415.809104297129,5330.162455146133,5792.275800497836,6072.813428413793,6264.739317307041,5652.749611707792,True,3,5547.283480398671,6430.231563750832,6836.558338775026,7042.552954434065,7249.4418458271475,6785.171607056091,True,4
