site_key,client_id,site_id,latitude,longitude,,created_date,first_hour,last_hour,hours_observed,span_days,span_years,washes_year_1,washes_year_2,washes_year_3,washes_year_4,washes_year_5
soapy_000006___1,soapy_000006,1,36.613366,-83.701519,,2016-07-18 20:52:16,2020-01-01 5:00:00,2026-07-10 5:00:00,24093,2382,6.521560575,,,,34486,78406
soggydogcarwash_000077___1,soggydogcarwash_000077,1,37.749717,-81.141077,,2018-06-06 23:21:46,2020-01-01 5:00:00,2026-07-10 5:00:00,22540,2382,6.521560575,,9722,24212,23528,23536
sonoranexpress_000053___1,sonoranexpress_000053,1,33.638416,-112.151143,,2017-11-28 16:25:26,2020-01-01 0:00:00,2026-07-10 1:00:00,30828,2382,6.521560575,,,70952,101477,97775
moyoka_000134___1,moyoka_000134,1,26.096032,-80.201639,,2019-01-21 20:38:34,2020-01-01 5:00:00,2026-07-10 5:00:00,33213,2382,6.521560575,5107,81204,136080,145549,154055
mojoxpresswash_000048___1,mojoxpresswash_000048,1,32.590001,-82.330008,,2017-10-30 13:03:06,2020-01-01 0:00:00,2026-07-10 5:00:00,28587,2382,6.521560575,,,51063,79815,78616
riverside_000010___2,riverside_000010,2,44.254988,-85.403278,,2016-12-23 16:39:29,2020-01-01 5:00:00,2026-07-10 5:00:00,30010,2382,6.521560575,,,,86845,108582
wash37135_000143___1,wash37135_000143,1,35.961462,-86.672324,,2019-03-06 20:01:54,2020-01-01 6:00:00,2026-07-09 23:00:00,25750,2381,6.518822724,12799,94165,120324,137646,139601
buggybath_000045___1,buggybath_000045,1,39.499955,-119.800875,,2017-09-20 17:48:48,2020-01-01 0:00:00,2026-07-09 0:00:00,21656,2381,6.518822724,,,25513,46378,48531
pasttime___1,pasttime,1,39.505424,-121.544439,,2014-12-06 17:20:35,2020-01-01 8:00:00,2026-07-10 1:00:00,22178,2381,6.518822724,,,,,
washpoint___1,washpoint,1,34.412433,-103.196157,,2016-09-13 15:29:15,2020-01-01 7:00:00,2026-07-10 0:00:00,17710,2381,6.518822724,,,,15155,23989
westchestercw_000036___1,westchestercw_000036,1,39.967686,-75.552732,,2017-05-16 12:06:30,2020-01-01 13:00:00,2026-07-09 18:00:00,22096,2381,6.518822724,,,11932,44387,52767
westchestercw_000036___2,westchestercw_000036,2,39.983301,-75.242248,,2017-10-13 15:42:51,2020-01-01 13:00:00,2026-07-09 17:00:00,25579,2381,6.518822724,,,79904,114325,97488
westchestercw_000036___3,westchestercw_000036,3,40.033231,-75.180872,,2018-01-10 19:32:19,2020-01-01 13:00:00,2026-07-09 17:00:00,24974,2381,6.518822724,,1375,88728,103315,84568
westchestercw_000036___4,westchestercw_000036,4,39.932747,-75.168333,,2018-02-27 19:08:36,2020-01-01 13:00:00,2026-07-09 15:00:00,24366,2381,6.518822724,,10914,49478,70730,68105
westchestercw_000036___5,westchestercw_000036,5,39.992844,-75.15517,,2018-04-03 13:02:39,2020-01-01 0:00:00,2026-07-09 17:00:00,25880,2381,6.518822724,,24977,150836,150974,116639
westchestercw_000036___6,westchestercw_000036,6,40.027156,-75.15135,,2018-04-05 15:11:34,2020-01-01 13:00:00,2026-07-09 16:00:00,25454,2381,6.518822724,,23160,142156,141963,114031
