site_key,client_id,site_id,latitude,longitude,tunnel_length_actual_ft,p25_daily_peak_volume_cars,median_daily_peak_volume_cars,p75_daily_peak_volume_cars,p90_daily_peak_volume_cars,max_daily_peak_volume_cars,washes_year_2020,washes_year_2021,washes_year_2022,washes_year_2023,washes_year_2024,washes_year_2025,washes_year_2026,created_date,name,code,address1,country,state,city,postal_code
pearlcw_000793___1,pearlcw_000793,1,32.855055,-79.800146,121.6,10.0,14.5,21.0,27.0,41.0,,,,,,3836.0,23056.0,2025-08-01 14:53:30,Mount Pleasant,MOUP,2727 N Hwy 17,US,SC,Mount Pleasant,29466
prestigeautospa_000140___1,prestigeautospa_000140,1,25.915846,-80.156975,112.0,2.0,3.0,5.0,7.0,34.0,1593.0,3718.0,4852.0,4079.0,6335.0,10379.0,5833.0,2019-02-18 15:26:16,Prestige Auto Spa,6CW,15180 Biscayne Blvd,US,FL,North Miami Beach,33160
rocknrollexpress_000224___3,rocknrollexpress_000224,3,27.183995,-80.241785,89.60000000000001,7.0,9.0,11.0,14.0,34.0,,,,10941.0,2513.0,,,2023-01-12 16:54:48,Rock N Roll Jupiter,JUP,6751 W Indiantown Rd,US,FL,Jupiter,33458
scrubbrothers_000726___1,scrubbrothers_000726,1,35.565813,-77.358489,128.0,16.0,22.0,30.5,39.0,76.0,,,,,,43053.0,43977.0,2024-12-23 16:24:37,Scrub Brothers,DEF,1809 E Fire Tower Rd,US,NC,Greenville,27858
shammysunlimited_000449___7,shammysunlimited_000449,7,32.908682,-96.766409,102.4,23.0,28.0,35.0,43.0,97.0,,,,,,73388.0,41790.0,2024-09-25 13:27:40,Shammy's Unlimited Central,CNTRAL,8040 Forest Ln,US,TX,Dallas,75243
shinetimeexpcw_000734___1,shinetimeexpcw_000734,1,34.07247,-83.9835,115.2,37.0,47.0,59.0,70.19999999999999,93.0,,,,,,88034.0,88603.0,2025-01-13 15:46:32,Shine Time Buford,STB,3361 Buford Dr,US,GA,Buford,30519
splashpatrol_000816___1,splashpatrol_000816,1,35.755982,-83.94236,124.8,16.0,20.0,26.0,30.0,45.0,,,,,,2786.0,26024.0,2025-11-24 22:16:36,Splash Patrol Maryville,SPMV,2017 E Lamar Alexander Pkwy,US,TN,Maryville,37804.0
sudstop_000639___1,sudstop_000639,1,27.448152,-82.533549,147.20000000000002,35.0,43.0,52.0,60.0,81.0,,,,,80081.0,130388.0,77842.0,2024-03-14 16:07:02,Sud Stop Bradenton,24BRD,5225 24th St E,US,FL,Bradenton,34203
sudstop_000639___10,sudstop_000639,10,32.38589,-86.202806,140.8,19.0,25.0,33.0,41.0,72.0,,,,,23757.0,71673.0,40323.0,2024-05-06 21:58:51,Sud Stop Montgomery,05MON,4150 Eastdale Cir,US,AL,Montgomery,36117
sudstop_000639___3,sudstop_000639,3,33.935745,-84.184764,121.6,38.0,47.0,59.0,70.0,101.0,,,,,77547.0,142433.0,76863.0,2024-04-23 19:41:02,Sud Stop Norcross,58NOR,2185 Beaver Ruin Rd,US,GA,Norcross,30071
sudstop_000639___5,sudstop_000639,5,25.985267,-80.176663,147.20000000000002,70.0,86.0,96.0,103.0,115.0,,,,,94246.0,278298.0,151284.0,2024-05-06 21:43:29,Sud Stop Pembroke Park,57PEM,3301 W Hallandale Beach Blvd,US,FL,Pembroke Park,33023
sudstop_000639___7,sudstop_000639,7,33.808623,-85.761157,137.6,26.0,33.0,40.0,49.0,80.0,,,,,38532.0,89057.0,50669.0,2024-05-06 21:49:55,Sud Stop Jacksonville,12JAX,620 Pelham Rd S,US,AL,Jacksonville,36265
sudstop_000639___9,sudstop_000639,9,30.710327,-86.122866,160.0,19.0,23.0,29.0,34.0,52.0,,,,,18465.0,65376.0,35849.0,2024-05-06 21:55:35,Sud Stop Defuniak Springs,10DEF,2750 US Hwy 331 S.,US,FL,DeFuniak Springs,32435
washdepot_000710___1,washdepot_000710,1,33.902222,-84.487515,128.0,22.0,29.0,37.0,47.0,91.0,,,,,,57911.0,53550.0,2024-11-06 13:57:27,Wash Depot,DEF,2050 Cobb Pkwy SE,US,GA,Marietta,30060
washguys_000366___1,washguys_000366,1,33.580325,-112.186591,144.0,3.0,5.0,7.0,8.0,13.0,,3306.0,7901.0,1060.0,,,,2021-08-16 19:37:26,Wash Guys,DEF,10380 N 59th Ave,US,AZ,Glendale,85302
waterworxcw_000815___1,waterworxcw_000815,1,30.442627,-86.581214,108.8,9.0,12.0,14.0,17.0,30.0,,,,,,,11302.0,2025-11-03 19:49:42,Waterworx Car Wash,DEF,1196 Eglin Pkwy,US,FL,Shalimar,32579
westchestercw_000036___1,westchestercw_000036,1,39.967686,-75.552732,112.0,16.0,23.0,32.0,43.0,80.0,37907.0,49268.0,56386.0,56944.0,55083.0,51197.0,28347.0,2017-05-16 12:06:30,West Chester Car Wash,2000,1309 West Chester Pike,US,PA,West Chester,19382
slimolson_000166___1,slimolson_000166,1,40.716075,-111.952094,105.6,9.0,14.0,20.0,26.0,57.0,38048.0,32667.0,30004.0,26463.0,22717.0,21286.0,10115.0,2019-06-27 20:40:10,Slim Olson Car Wash,DEF,2301 S Main St,US,UT,Bountiful,84010
zippycarwash_000145___1,zippycarwash_000145,1,34.045901,-85.235689,115.2,21.0,28.0,35.0,41.0,59.0,60150.0,73666.0,67115.0,75787.0,69430.0,68087.0,35739.0,2019-03-13 15:07:54,Cedar Town,CER,1559 Rome Hwy,US,GA,Cedartown,30125
