month_offset,year_month,site_age_months,calendar_month,calendar_month_sin,calendar_month_cos,latitude,longitude,region_code,cbsa_code,peer_ref_level,peer_recent,peer_seasonal,peer_count,peer_level_resolved,peer_trend_ratio,h3_ref_level,h3_seasonal_factor,h3_peer_count,h3_used,h3_vs_cbsa_ratio,ramp_factor,anchor_wash,log_anchor,maturity_indicator,site_train_mean,site_train_median,site_train_max,site_train_std,site_train_recent6,site_train_months,site_vs_peer_ratio,predicted_washes,predicted_washes_low,predicted_washes_high,cbsa_id,cbsa_name,sample_label,sample_lat,sample_lon
21,2028-03,21,3,1.0,6.123233995736766e-17,32.7767,-96.797,2,0,10527.75,10036.875,1.2569037468644897,15,cbsa,0.953373227897699,10527.75,1.2569037468644897,0,0,,1.0097056357069811,13360.79696848793,9.50015494167517,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11410.514311660423,4651.209184885721,27992.685704116815,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
22,2028-04,22,4,0.8660254037844387,-0.49999999999999983,32.7767,-96.797,2,0,10527.75,10036.875,0.9533043622806392,15,cbsa,0.953373227897699,10527.75,0.9533043622806392,0,0,,1.018179740738384,10218.604605011531,9.232063174654245,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10888.953041785328,4438.6078504792,26713.17276506078,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
23,2028-05,23,5,0.49999999999999994,-0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.960575621571561,15,cbsa,0.953373227897699,10527.75,0.960575621571561,0,0,,1.0097056357069811,10210.85018221399,9.231304107495237,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10777.037385951979,4392.98824805579,26438.61723727781,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
24,2028-06,24,6,1.2246467991473532e-16,-1.0,32.7767,-96.797,2,0,10527.75,10036.875,1.0005755763396285,15,cbsa,0.953373227897699,10527.75,1.0005755763396285,0,0,,1.0,10533.809523809523,9.262440245753009,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11665.727237073397,3395.1883204815827,40082.95832924309,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
25,2028-07,25,7,-0.4999999999999998,-0.8660254037844388,32.7767,-96.797,2,0,10527.75,10036.875,0.9761141473045726,15,cbsa,0.953373227897699,10527.75,0.9761141473045726,0,0,,1.0,10276.285714285714,9.237691468570308,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10269.858641476592,2988.9353148707432,35286.81132414286,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
26,2028-08,26,8,-0.8660254037844384,-0.5000000000000004,32.7767,-96.797,2,0,10527.75,10036.875,1.0472232682106586,15,cbsa,0.953373227897699,10527.75,1.0472232682106586,0,0,,1.0,11024.904761904761,9.308002761519795,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12284.742700049519,3575.34631898295,42209.869965645594,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
27,2028-09,27,9,-1.0,-1.8369701987210297e-16,32.7767,-96.797,2,0,10527.75,10036.875,0.9419564311635267,15,cbsa,0.953373227897699,10527.75,0.9419564311635267,0,0,,1.0,9916.681818181818,9.202074485286413,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,9955.972553689204,2897.5820406547455,34208.31165402136,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
28,2028-10,28,10,-0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,1.0668773652317145,15,cbsa,0.953373227897699,10527.75,1.0668773652317145,0,0,,1.0,11231.818181818182,9.326594967435454,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12320.098918774303,3585.63637792495,42331.352477024855,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
29,2028-11,29,11,-0.5000000000000004,0.8660254037844384,32.7767,-96.797,2,0,10527.75,10036.875,0.8048426129212621,15,cbsa,0.953373227897699,10527.75,0.8048426129212621,0,0,,1.0,8473.181818181818,9.04477938696079,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8485.781738986083,2469.698327833462,29156.796565060224,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
30,2028-12,30,12,-2.4492935982947064e-16,1.0,32.7767,-96.797,2,0,10527.75,10036.875,0.8155804680703163,15,cbsa,0.953373227897699,10527.75,0.8155804680703163,0,0,,1.0,8586.227272727272,9.05803117739191,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8269.75747941934,2406.8267187073016,28414.546106228856,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
