client_name,client_id,site_id,year,month,mem_purchase_count,mem_wash_count,mem_revenue,ret_wash_count,ret_revenue,ASP_mem,ASP_ret,mem_revenue_pct,mem_count_pct,timezone,address1,state,postal_code,region,lat,lon,operational_start,imputed
Cliff's Car Wash #2,000004_cliff,3,2022,12,286.0,778.0,8771.0,844.0,11185.22,30.67,13.25,43.95,47.97,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2023,1,290.0,695.0,8035.0,531.0,6753.4,27.71,12.72,54.33,56.69,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2023,2,323.0,982.0,11219.0,1104.0,13892.34,34.73,12.58,44.68,47.08,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2023,3,344.0,858.0,9786.0,664.0,7959.3,28.45,11.99,55.15,56.37,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2023,4,372.0,1225.0,14866.0,1313.0,17596.25,39.96,13.4,45.79,48.27,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2023,5,391.0,1417.0,16920.0,1163.0,15005.84,43.27,12.9,53.0,54.92,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2023,6,434.0,1535.0,18182.0,1436.0,17872.28,41.89,12.45,50.43,51.67,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2023,7,477.0,1745.0,20012.0,1390.0,19124.34,41.95,13.76,51.13,55.66,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2023,8,460.0,1473.0,16829.0,1058.0,13420.46,36.58,12.68,55.63,58.2,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2023,9,458.0,1305.0,14446.0,1034.0,15046.43,31.54,14.55,48.98,55.79,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
